Geneid	0_R1	0_R2	0_R3	0_R4	2_R1	2_R2	2_R3	2_R4	5_R1	5_R2	5_R3	5_R4	10_R1	10_R2	10_R3	10_R4	20_R1	20_R2	20_R3	20_R4	30_R1	30_R2	30_R3	30_R4	40_R1	40_R2	40_R3	40_R4	Entity	Symbol
gene-NRS_170	234	202	226	193	226	118	152	218	132	146	125	123	57	75	161	89	82	91	43	59	101	74	133	68	124	63	55	53	host	gene-NRS_170
gene-NRS_340	530	576	501	676	541	461	463	649	292	334	457	385	179	370	433	378	235	263	111	138	315	279	325	249	323	252	169	143	host	gene-NRS_340
gene-NRS_644	5521	5487	4806	6004	5252	4470	5150	6584	3262	3533	3974	3536	1641	2481	3329	2176	1629	1845	843	978	2040	1691	2040	1553	1922	1389	1130	923	host	gene-NRS_644
gene-NRS_1998	1653	1856	2177	2543	2008	2518	1795	3072	1268	1142	1366	1214	773	864	1197	729	723	1047	519	591	1092	888	1236	1056	1121	784	700	548	host	gene-NRS_1998
gene-NRS_2560	244	288	246	299	232	182	187	302	120	168	223	159	79	167	212	125	92	147	56	44	136	109	151	84	122	76	92	67	host	gene-NRS_2560
gene-NRS_277	362	485	405	449	307	306	358	462	173	236	246	213	99	84	154	139	83	85	27	46	72	79	97	81	103	78	76	51	host	gene-NRS_277
gene-NRS_383	704	365	426	301	776	451	364	453	747	391	315	384	264	149	641	178	272	316	216	260	372	192	391	282	348	197	147	158	host	gene-NRS_383
gene-NRS_1080	1364	1129	1215	849	1366	783	946	1067	799	805	820	730	362	395	698	487	267	408	144	204	392	278	434	266	376	244	151	146	host	gene-NRS_1080
gene-NRS_2642	944	1693	626	756	1251	311	945	976	543	478	503	663	178	244	572	520	265	304	110	198	426	247	405	266	394	290	235	277	host	gene-NRS_2642
gene-NRS_946	6886	8163	5607	6200	6619	5055	4763	7533	3948	3420	3967	3493	1574	2864	4055	2693	1928	2075	960	1210	2532	1820	2393	1746	10264	1395	1301	1199	host	gene-NRS_946
gene-NRS_1017	132428	141071	120449	169934	128348	118217	115846	166150	75009	77058	89177	80113	35365	89085	90950	97402	47703	52055	30355	35614	62593	51209	56353	41578	69715	45864	38239	34059	host	gene-NRS_1017
gene-NRS_788	37	54	34	38	41	39	29	44	25	53	34	25	15	7	19	9	6	8	4	5	20	7	13	10	9	5	8	6	host	gene-NRS_788
gene-NRS_1523	11491	11276	10183	11773	12273	7999	9398	12942	7664	5504	6231	5809	2447	4685	8519	5554	3963	4212	3110	3306	4865	3728	4713	3417	4860	2874	3018	2629	host	gene-NRS_1523
gene-NRS_516	738	732	700	584	814	486	536	727	562	481	554	460	254	291	540	236	277	316	117	164	368	249	340	266	344	167	180	171	host	gene-NRS_516
gene-NRS_1024	3747	4785	4146	3615	2782	2972	3460	4517	1359	2638	2706	2564	980	1059	1273	1279	636	753	348	454	987	607	883	685	1326	607	494	469	host	gene-NRS_1024
gene-NRS_1261	1985	1288	1002	681	1674	773	823	1082	893	669	525	511	237	218	583	249	228	239	64	100	259	241	265	203	278	187	142	114	host	gene-NRS_1261
gene-NRS_1923	2933	2418	2443	3224	3673	2190	2110	3177	1937	1174	1342	1236	562	1256	2193	893	1194	1125	692	807	1316	836	1201	997	1332	694	733	631	host	gene-NRS_1923
gene-NRS_1317	2874	1998	1740	2166	2983	1526	1821	2478	2264	1308	1508	1354	717	1398	2701	1252	1136	1253	603	765	1327	994	1358	961	1101	633	650	603	host	gene-NRS_1317
gene-NRS_2323	2163	1937	1687	1824	2213	1574	1687	2320	1316	1213	1397	1132	525	881	1298	862	709	761	427	483	931	604	871	661	805	430	442	411	host	gene-NRS_2323
gene-NRS_1976	360	693	360	277	275	261	384	406	189	270	305	625	240	131	220	164	108	207	153	179	163	188	313	168	161	161	153	127	host	gene-NRS_1976
gene-NRS_2337	5295	7368	6980	7171	4279	4873	5245	6841	1893	3033	3467	2730	1097	2208	1800	1995	1050	1229	646	733	1579	1112	1457	1039	1862	1018	882	810	host	gene-NRS_2337
gene-NRS_1631	82248	127326	115071	125478	68152	93479	98665	137518	34315	73916	83022	79161	35402	55091	48704	68203	26546	32247	20115	21397	37039	30765	37508	26900	44296	26537	23915	21729	host	gene-NRS_1631
gene-NRS_15	1468	2333	2261	2566	1468	1775	2145	2805	885	1203	1661	1332	600	960	1060	959	670	758	336	426	926	771	1051	755	953	686	627	515	host	gene-NRS_15
gene-NRS_2082	268	263	262	341	299	226	229	358	165	148	208	159	87	219	235	186	128	152	85	62	167	131	173	117	136	99	78	67	host	gene-NRS_2082
gene-CPT_phageK_gp074	109	189	155	107	1546	1348	1810	2803	8810	12411	11684	13325	13916	8595	16000	8332	3755	5145	3258	3260	2434	2647	3663	2545	1519	1055	1268	1065	phage	gene-CPT_phageK_gp074
gene-NRS_605	654	474	388	346	721	368	563	571	420	365	392	352	208	211	450	214	230	296	188	220	312	214	383	229	240	143	126	109	host	gene-NRS_605
gene-NRS_731	1538	1974	1847	1945	1572	1514	1614	2129	829	1017	1211	1110	434	649	824	645	416	524	149	241	638	543	627	425	631	366	340	323	host	gene-NRS_731
gene-NRS_2357	2062	2072	1647	2080	2347	1560	2012	2256	1217	1169	1356	1271	567	1185	1289	962	619	854	511	593	833	628	804	596	655	410	458	439	host	gene-NRS_2357
gene-NRS_538	54111	68346	66586	86397	45789	83159	68983	108938	32405	57678	60357	57793	37569	45704	34504	26785	21626	30812	16853	18496	25475	20429	29066	24529	23416	15650	13443	11307	host	gene-NRS_538
gene-NRS_894	13877	11033	9907	11764	14979	9585	9233	12783	8635	6014	6824	6464	2865	5499	8220	2715	3757	3633	2168	2464	4216	3093	3617	2978	2978	1755	1971	1706	host	gene-NRS_894
gene-NRS_373	3414	4453	4111	3841	3144	3210	3700	4484	1707	2481	2521	2321	1030	1319	1782	1172	1054	1212	269	490	1341	1064	1600	1118	1276	770	792	582	host	gene-NRS_373
gene-NRS_839	35161	35399	31323	39228	34830	26173	27982	39518	19204	16899	19254	17313	7484	16463	21881	18568	11693	13063	8806	8952	15694	11529	14020	9988	16352	10545	9487	8529	host	gene-NRS_839
gene-NRS_1127	3081	2651	2205	2529	3022	2002	2273	2960	1945	1686	1689	1562	733	1398	2037	1453	929	1119	854	742	1197	968	1166	826	1076	645	641	582	host	gene-NRS_1127
gene-NRS_2290	5092	3413	2718	3099	4273	2513	2939	3666	3058	2154	2087	2202	1024	1747	3158	1949	1455	1513	814	980	1670	1290	1700	1241	1724	1107	987	868	host	gene-NRS_2290
gene-NRS_490	11781	9915	7151	9953	11958	7959	21173	13212	7615	6605	8684	7915	2407	5822	6809	5092	3410	3394	2438	2394	4630	3186	3663	2820	3509	2460	2129	1947	host	gene-NRS_490
gene-NRS_719	4388	3536	2930	3641	4350	2809	2986	3869	2521	2065	2471	2007	937	1901	2369	1740	937	1203	548	644	1200	990	1232	900	1178	657	634	549	host	gene-NRS_719
gene-NRS_1118	2382	10829	10173	11747	1801	7635	8511	12106	774	4350	5729	4963	1086	1472	881	1842	533	865	635	629	873	836	1093	694	1274	826	822	655	host	gene-NRS_1118
gene-CPT_phageK_gp088	352	581	664	454	4873	3805	5631	7840	20502	33131	32241	35986	28549	26396	40764	33266	8553	11867	3406	4604	5880	7445	8728	5473	4312	3434	3535	2821	phage	gene-CPT_phageK_gp088
gene-CPT_phageK_gp034	3222	3859	4000	4742	18221	17574	18593	25388	23871	25594	29485	26088	12557	18206	23937	16676	10937	13621	3712	5368	10823	11356	13282	9409	7915	7294	5550	4423	phage	gene-CPT_phageK_gp034
gene-NRS_545	621716	846411	725638	1047263	556703	669425	678768	970064	271552	422924	524709	451489	182087	468999	310713	538070	198089	224059	213326	195846	307409	245070	271099	197725	409821	280128	225512	212425	host	gene-NRS_545
gene-NRS_46	2134	2318	1991	2393	1873	1520	1790	2400	1132	1307	1510	1359	622	1019	1345	1081	722	802	299	409	796	697	890	664	848	600	493	406	host	gene-NRS_46
gene-NRS_891	1823	1788	2088	2100	1827	1990	1774	2474	1145	1242	1403	1379	797	1017	1317	707	681	943	580	671	897	664	1067	814	803	639	436	413	host	gene-NRS_891
gene-NRS_650	5124	4302	3792	4664	5269	3183	3630	4843	2992	2283	2640	2431	1115	2224	3160	2276	1419	1564	550	739	1786	1499	1721	1293	1752	1116	990	830	host	gene-NRS_650
gene-CPT_phageK_gp140	642	1338	1199	1246	11430	9539	11317	18732	44668	53695	58661	62829	59780	75757	112565	79022	28792	36880	16116	17898	27096	23464	24567	18061	12051	9022	10123	8033	phage	gene-CPT_phageK_gp140
gene-NRS_1280	5572	6318	5695	6816	5705	5271	5521	7389	3297	3723	4443	3928	1820	3303	4089	3440	2047	2245	1807	1795	2673	2265	2772	1953	2539	1592	1717	1464	host	gene-NRS_1280
gene-NRS_478	1011	1372	1078	1252	957	899	950	1280	443	617	767	680	264	493	488	462	221	278	180	145	293	260	327	220	305	178	184	139	host	gene-NRS_478
gene-NRS_1676	16136	14901	14170	20201	16916	12988	13108	19334	9837	7855	9340	8112	3641	9316	11140	8291	6065	6154	4518	4603	7677	5631	6614	5161	7767	4095	4370	3946	host	gene-NRS_1676
gene-NRS_2479	2996	2423	2427	2778	1776	2045	2137	6248	1548	1780	2113	1812	1119	1957	2178	1642	1601	1526	983	915	2247	1787	2266	1622	2381	1657	1414	1104	host	gene-NRS_2479
gene-NRS_270	714	600	508	670	704	567	579	728	389	331	429	385	190	366	390	233	228	230	184	175	279	191	284	197	219	123	120	119	host	gene-NRS_270
gene-NRS_1095	12569	12920	10997	12658	14503	8414	11074	12954	7402	6139	7684	6880	3270	5986	8634	6256	4178	4444	4627	4195	5448	4240	5339	3774	5519	3912	3903	3402	host	gene-NRS_1095
gene-NRS_2366	2634	2108	2364	1611	2473	1986	1851	2263	1594	1569	1328	1410	785	570	1165	496	498	603	294	363	681	377	776	524	688	267	258	221	host	gene-NRS_2366
gene-NRS_678	75	99	98	77	98	73	56	59	31	55	74	78	32	21	38	31	17	21	27	15	26	22	40	35	32	22	17	8	host	gene-NRS_678
gene-NRS_1623	12800	12255	10623	7248	7982	8793	9963	11500	5214	9212	8446	8236	3941	2141	3144	2631	1511	1968	1145	1064	1764	1872	2215	1565	1784	1223	1124	962	host	gene-NRS_1623
gene-NRS_2639	190	87	96	85	220	62	84	96	131	68	50	51	27	64	141	40	64	88	29	54	62	63	84	68	60	42	37	26	host	gene-NRS_2639
gene-NRS_117	6704	7763	7146	9284	6748	6918	7439	9771	3782	5115	6330	5155	2210	4831	4650	4275	2744	2989	1465	1813	4257	3313	3887	2646	4515	2786	2384	2090	host	gene-NRS_117
gene-NRS_2610	15	29	19	16	12	33	7	19	6	16	10	5	7	10	12	10	8	12	2	9	9	2	14	10	6	6	7	7	host	gene-NRS_2610
gene-NRS_1006	26564	27796	27961	36144	31036	26205	25917	37231	19242	17355	20392	18790	10492	24591	30583	25820	14444	17411	13015	13766	16975	13985	18386	13138	18525	11921	11610	9887	host	gene-NRS_1006
gene-NRS_1967	1760	1892	4587	2618	1255	1245	1438	4613	930	1338	6640	1068	701	594	706	629	395	620	380	334	475	650	845	567	472	504	471	341	host	gene-NRS_1967
gene-NRS_1636	653	840	896	860	764	950	802	1330	529	598	659	706	465	473	631	297	385	498	269	321	439	313	557	391	364	293	271	218	host	gene-NRS_1636
gene-NRS_626	594	636	556	522	521	338	418	619	319	248	280	275	128	227	495	214	298	229	96	122	354	287	328	258	447	175	221	174	host	gene-NRS_626
gene-NRS_2457	2628	1800	1799	1458	1926	835	1139	1560	1465	831	897	721	341	465	1379	517	842	627	503	472	1081	570	895	734	1276	571	564	510	host	gene-NRS_2457
gene-NRS_1208	10097	8154	7170	7884	9195	5929	6405	8870	5761	4719	5208	4524	2036	3556	5464	3690	2489	2706	1967	1965	3201	2517	3030	2188	3276	1732	1838	1543	host	gene-NRS_1208
gene-NRS_385	889	763	733	632	897	609	723	845	603	473	513	525	260	330	572	323	331	345	148	201	400	314	424	265	407	206	224	170	host	gene-NRS_385
gene-NRS_2375	1953	1820	1478	1970	1656	1030	1363	1911	820	687	849	733	303	630	780	699	398	382	222	225	448	341	472	423	589	353	270	259	host	gene-NRS_2375
gene-NRS_1762	12727	11327	10458	14210	12551	10182	10527	14188	6983	8420	7724	6764	2977	7302	7714	6516	3750	4463	2670	2980	4894	3998	4762	3530	4643	3453	2853	2641	host	gene-NRS_1762
gene-NRS_1178	18559	19131	17365	19168	17090	13988	15544	21393	10278	10394	12015	11273	4764	7997	10944	8845	5612	5785	4764	4874	7759	5576	6712	5358	8090	4340	4700	4146	host	gene-NRS_1178
gene-NRS_1810	380	665	594	1242	467	632	703	824	215	301	507	409	169	515	402	329	259	272	107	148	406	252	361	302	314	315	229	163	host	gene-NRS_1810
gene-NRS_1287	647	269	230	258	577	222	222	296	436	202	213	182	77	160	417	212	152	165	62	68	193	133	184	104	115	96	78	63	host	gene-NRS_1287
gene-NRS_2668	129	165	124	166	142	99	116	184	122	126	120	87	70	86	154	132	104	113	28	23	106	88	129	78	106	71	65	44	host	gene-NRS_2668
gene-NRS_1359	1921	3697	3758	4393	1649	3212	3365	4361	611	2074	2946	2109	765	1199	454	979	259	519	340	330	489	404	621	446	509	383	323	275	host	gene-NRS_1359
gene-NRS_2139	71816	58731	37254	45280	36736	32424	63437	53657	16328	20780	26003	21808	9311	17822	20438	16382	12507	12002	5442	6398	15089	11743	19940	10645	15657	10686	8360	7296	host	gene-NRS_2139
gene-NRS_2678	24192	28175	32510	26185	21133	29834	25647	35145	14173	21927	22264	27718	13098	8758	15264	6547	5963	7491	5766	6205	6764	5560	8956	6744	9397	6257	5300	4052	host	gene-NRS_2678
gene-CPT_phageK_gp172	17	76	46	38	233	146	259	329	475	583	724	746	968	1238	1640	1718	4560	5078	4710	4184	3853	3811	4540	3095	3099	2468	2653	2213	phage	gene-CPT_phageK_gp172
gene-NRS_518	24308	19989	16762	23337	27705	15116	15901	22124	17208	11141	12769	11382	5739	14658	21274	14854	8589	9720	5402	6379	8795	8445	9487	6600	8889	5515	6353	5302	host	gene-NRS_518
gene-NRS_2349	1227	1250	1174	974	1313	593	915	1253	844	736	742	834	359	400	1024	570	555	557	163	288	732	465	703	530	858	515	343	318	host	gene-NRS_2349
gene-NRS_1276	1144	784	756	547	1325	560	662	747	703	518	524	443	217	288	591	262	211	268	152	176	299	218	363	215	233	126	133	106	host	gene-NRS_1276
gene-NRS_739	3557	3989	3384	3915	3720	3219	3666	4633	2337	2453	2995	2439	1086	2161	2633	2204	1305	1629	984	1025	1832	1446	1804	1281	1485	1125	1022	859	host	gene-NRS_739
gene-NRS_125	2397	2497	2259	3159	2666	2171	2052	2858	1751	1395	1735	1441	794	1764	2835	1619	1342	1518	785	934	1477	1151	1463	1066	1263	919	863	716	host	gene-NRS_125
gene-NRS_985	100909	103564	91107	115631	99152	78419	78382	113809	49122	43492	49456	46582	18744	39730	50555	41642	23709	25989	14253	16689	32891	23896	28379	21178	41388	22719	19266	17738	host	gene-NRS_985
gene-NRS_2280	1114	1035	918	914	1052	707	770	1169	603	559	602	528	259	328	626	447	354	351	176	190	505	344	474	309	487	333	204	194	host	gene-NRS_2280
gene-NRS_1576	1129	832	780	861	1251	682	722	987	953	579	631	593	299	589	954	473	406	545	212	262	497	389	494	409	481	241	251	218	host	gene-NRS_1576
gene-CPT_phageK_gp162	123	274	367	214	2885	2262	2604	4260	8864	13224	12571	12910	9823	9380	13393	9537	3727	6459	2327	2993	3294	3428	4990	3278	2330	1639	1741	1438	phage	gene-CPT_phageK_gp162
gene-NRS_1849	3187	5268	5163	12299	3708	5933	5511	7335	1953	2979	4999	4094	1761	5845	2956	2809	1780	2181	1899	1678	2739	1813	2390	2058	2391	2092	1499	1335	host	gene-NRS_1849
gene-NRS_288	23014	16485	16887	14413	19218	15580	15325	26044	20635	17247	19792	17166	18561	9528	18297	5970	11467	10676	5052	5927	11338	7104	10718	8718	8170	5390	4271	3639	host	gene-NRS_288
gene-NRS_1018	180689	187998	156930	216001	166424	144623	150292	210781	97957	104123	121467	107406	47352	102523	108761	113674	55154	58268	32130	35061	72348	56800	61767	44533	84070	52080	42307	38203	host	gene-NRS_1018
gene-NRS_1841	5570	4095	4723	4456	5832	3380	3493	4972	3473	2552	2624	2507	1169	2467	3094	1896	1376	1615	741	868	1987	1428	1701	1370	1940	1109	1057	931	host	gene-NRS_1841
gene-NRS_1387	1946	1531	1527	956	1678	1149	1313	1569	1000	1225	1076	1117	527	411	884	617	292	450	214	265	454	342	633	360	437	231	215	214	host	gene-NRS_1387
gene-NRS_281	2803	2049	2048	2074	2804	1595	1843	2460	1725	1415	1479	1273	591	950	1810	1001	699	925	381	485	905	701	972	691	1026	553	445	440	host	gene-NRS_281
gene-NRS_2329	1826	2882	2597	3041	1836	2671	2348	3300	1157	1952	2316	2151	1218	2261	1480	1554	621	1231	541	632	747	813	1140	835	616	545	436	430	host	gene-NRS_2329
gene-NRS_1980	869	2768	765	757	687	677	774	942	500	713	734	636	491	687	525	415	356	462	199	155	386	467	640	359	343	305	343	249	host	gene-NRS_1980
gene-NRS_2598	2568	2281	2145	2295	2584	1629	1880	2700	1537	1235	1366	1232	579	1236	1997	1243	1011	981	786	776	1205	926	1172	834	1232	724	781	699	host	gene-NRS_2598
gene-NRS_2358	2404	1851	1911	1144	2235	1194	1300	1854	1305	1345	1931	1082	1227	434	977	329	386	461	122	235	488	317	595	463	505	234	230	182	host	gene-NRS_2358
gene-NRS_2607	459	587	459	610	426	310	418	560	267	315	344	355	148	323	344	322	165	185	97	100	242	223	278	182	250	178	177	134	host	gene-NRS_2607
gene-NRS_439	603	873	717	533	745	440	694	713	344	461	516	473	199	261	417	254	172	250	103	118	227	187	287	190	200	136	135	113	host	gene-NRS_439
gene-NRS_1525	4200	3702	2860	3248	4136	2399	3002	3847	2617	1982	2026	1849	803	1621	2410	1385	1113	1285	659	803	1235	960	1397	920	1072	600	717	598	host	gene-NRS_1525
gene-NRS_89	3293	2891	2591	3214	3177	3808	2314	3342	2202	1741	1917	1781	866	1828	2685	1442	1376	1178	646	664	1486	1085	1182	929	1327	698	767	673	host	gene-NRS_89
gene-NRS_996	4886	1221	997	1098	5158	714	866	1230	3408	801	691	831	510	1277	3109	1495	1071	1403	564	653	1231	863	1206	833	1463	607	563	529	host	gene-NRS_996
gene-NRS_1947	171	233	230	152	185	173	160	204	93	152	150	131	120	91	134	82	66	109	46	62	79	67	96	69	85	65	64	47	host	gene-NRS_1947
gene-NRS_2351	30324	37710	30388	31518	28396	14907	27271	37837	14602	13399	12628	13817	5657	7486	15401	12068	10521	8400	2115	4236	13660	7836	11639	8828	17954	9480	7458	6801	host	gene-NRS_2351
gene-CPT_phageK_gp096	667	1470	1189	847	9987	7927	11076	17403	47890	64777	62283	71876	99492	78386	136809	88554	55024	63556	27250	30006	29649	29227	36722	26157	15114	11313	11329	9668	phage	gene-CPT_phageK_gp096
gene-NRS_807	3056	2266	2237	2572	3658	2561	2245	3356	2618	1611	1789	1795	1016	1316	2755	787	1229	1355	829	875	1365	993	1315	1102	1014	531	643	527	host	gene-NRS_807
gene-NRS_2096	46139	47085	42431	46857	42540	36126	37494	50587	22943	25417	27952	25761	11057	18244	25108	26226	11717	14174	7458	8976	14849	12724	15844	11033	17873	11244	9814	8733	host	gene-NRS_2096
gene-CPT_phageK_gp109	248	963	419	339	2747	2838	3620	5908	19025	24971	31052	36892	86770	96625	119496	105212	104822	137634	53336	71675	100036	92453	114472	86321	76170	52112	50823	43834	phage	gene-CPT_phageK_gp109
gene-CPT_phageK_gp107	296	906	563	548	4387	4360	5148	8667	21629	29880	33571	36160	54745	74026	101382	84137	53026	66479	33335	35174	44711	40792	53144	36633	33641	28037	26372	24493	phage	gene-CPT_phageK_gp107
gene-NRS_1358	10977	8325	7770	6920	10312	6027	6889	8852	6192	5098	5305	4762	2216	2951	5986	3551	2370	2963	1089	1521	3095	2570	3460	2336	3219	1922	1522	1420	host	gene-NRS_1358
gene-CPT_phageK_gp026	119	510	219	195	1384	1091	1426	2223	8829	12291	12546	16462	27875	38732	52047	43857	33140	38043	17149	19471	22967	20982	31837	19620	15841	12112	10638	9307	phage	gene-CPT_phageK_gp026
gene-NRS_992	6291	1421	1154	1526	5887	1130	943	1586	3838	1080	940	954	717	2208	3220	1973	1181	1354	770	911	1391	900	1105	814	1416	673	610	595	host	gene-NRS_992
gene-NRS_1215	6889	8416	7487	10446	6789	6806	7572	10689	3892	4538	5367	4846	1961	4968	4302	4441	2178	2625	2201	2090	2646	2309	2840	2127	2631	1897	1819	1616	host	gene-NRS_1215
gene-NRS_140	90	114	98	83	125	61	82	110	39	59	45	40	23	31	65	44	30	37	16	11	35	40	49	23	47	15	15	13	host	gene-NRS_140
gene-CPT_phageK_gp230	251	678	536	534	4917	4188	4314	7216	20725	25489	26682	30699	37729	72367	75365	60328	25767	35087	19730	21742	17046	33403	22297	15733	11951	8239	9186	7921	phage	gene-CPT_phageK_gp230
gene-CPT_phageK_gp130	571	2553	921	945	6188	3805	7533	13459	46490	67889	77576	92527	222066	401698	442124	454736	304724	389102	152395	178632	179170	232855	232237	169737	109717	102196	84006	73287	phage	gene-CPT_phageK_gp130
gene-NRS_1483	1405	2124	1212	1612	1775	1045	1439	1927	977	884	1058	1002	389	722	1117	779	643	553	277	378	774	550	702	526	730	524	454	403	host	gene-NRS_1483
gene-NRS_1213	3251	3328	3298	2873	2704	2356	2608	3483	1768	2054	2100	2017	792	888	1892	1044	831	876	463	517	1072	820	1111	710	1171	555	576	487	host	gene-NRS_1213
gene-NRS_459	5885	11344	7030	11064	8458	5156	8132	10468	3553	3589	4680	4908	1852	4631	4852	5171	2850	2642	1725	2082	4330	2917	3658	2683	4651	3243	2694	2532	host	gene-NRS_459
gene-NRS_1193	3708	4301	4062	4820	4176	3182	3632	4677	1968	1918	2172	2149	861	1523	2220	1453	1151	1145	928	760	1477	1126	1410	1013	1520	869	887	818	host	gene-NRS_1193
gene-NRS_1278	13773	12389	11708	13284	14537	10392	10759	15228	9550	7628	8425	7581	3532	6870	11389	6188	5819	5744	3573	4279	7679	5398	6570	4989	7262	3869	4217	3838	host	gene-NRS_1278
gene-CPT_phageK_gp206	589	2301	1110	1060	9012	7695	10319	18056	52252	70349	74727	84939	146362	184806	251353	206725	154840	200846	185717	156167	105980	106951	159610	93545	87654	46287	55199	45541	phage	gene-CPT_phageK_gp206
gene-NRS_1776	256	365	285	295	261	248	253	284	110	153	164	159	54	62	78	99	41	63	31	40	55	48	46	51	72	36	31	39	host	gene-NRS_1776
gene-NRS_945	3426	3248	2782	3401	3687	2766	3052	3821	2079	1929	2172	1739	1618	1567	1829	1331	881	954	606	659	1084	853	1073	777	1143	577	604	537	host	gene-NRS_945
gene-NRS_1948	10086	7606	6557	7475	10601	6463	6648	8879	6501	4967	5454	4715	2386	4313	6662	4229	2824	3560	987	1568	3781	2904	3876	2604	3367	2297	1693	1593	host	gene-NRS_1948
gene-NRS_1315	864	616	530	620	1077	457	593	764	656	431	461	479	222	467	915	490	313	441	197	245	425	334	479	287	346	252	212	178	host	gene-NRS_1315
gene-NRS_1771	4397	4777	3985	3649	3636	3053	3644	4760	1907	2477	2515	2313	981	1004	1430	1017	781	760	256	351	921	746	909	708	1059	704	405	404	host	gene-NRS_1771
gene-NRS_1320	589	481	338	262	527	295	442	438	338	343	361	284	158	124	211	93	105	120	39	59	114	88	126	89	74	56	46	60	host	gene-NRS_1320
gene-NRS_2458	479	523	468	361	474	332	368	485	260	283	304	309	172	145	259	166	100	136	53	51	171	106	174	143	131	95	57	51	host	gene-NRS_2458
gene-NRS_941	3432	2773	2177	2174	2843	2032	2300	2921	1879	1932	1879	2467	807	1164	1337	897	571	606	341	407	637	572	644	465	526	292	342	294	host	gene-NRS_941
gene-NRS_2078	4303	3818	3185	3489	4350	2468	2856	3744	2639	2130	2390	2243	950	1869	2910	1882	1210	1388	858	922	1719	1186	1610	1086	1562	887	814	802	host	gene-NRS_2078
gene-NRS_2514	812	682	505	591	984	553	685	710	596	387	419	411	201	339	628	307	237	291	125	179	342	246	343	267	249	147	150	142	host	gene-NRS_2514
gene-NRS_1264	1397	1762	1888	1806	1514	1576	1411	2006	697	868	933	840	394	511	625	308	437	371	236	207	596	393	521	396	559	256	264	243	host	gene-NRS_1264
gene-CPT_phageK_gp015	2339	2369	2804	1912	10444	7444	8619	11759	10904	11909	10869	10499	5903	4101	9793	4635	3880	5231	1282	2251	3815	3097	5411	3919	2829	2079	1749	1409	phage	gene-CPT_phageK_gp015
gene-NRS_2205	1734	1489	1210	1100	1631	904	1147	1406	914	712	655	689	303	306	672	353	317	326	187	195	374	267	348	281	394	201	172	178	host	gene-NRS_2205
gene-NRS_2468	1209	877	814	817	1234	630	626	909	752	540	491	475	266	354	695	409	292	322	110	176	333	299	338	260	304	175	179	159	host	gene-NRS_2468
gene-NRS_2016	13694	12041	8973	7992	12266	7423	8658	11322	8644	6806	6764	10265	3847	4151	7973	3892	3306	3793	1248	1607	3623	3366	4055	3132	2712	2110	1807	1451	host	gene-NRS_2016
gene-NRS_2046	738	605	499	611	798	330	494	644	675	346	460	420	252	520	909	605	442	588	274	365	437	531	577	412	473	462	371	317	host	gene-NRS_2046
gene-NRS_1057	197	120	155	119	219	138	142	127	133	87	110	70	37	58	90	54	27	38	18	26	35	30	38	28	35	18	27	12	host	gene-NRS_1057
gene-NRS_551	3203	3337	2546	3182	3131	2303	2567	3510	1849	1640	1813	1693	713	1374	1840	1367	844	878	503	548	1161	798	1015	772	1180	807	665	602	host	gene-NRS_551
gene-NRS_1067	17839	13324	12758	11657	17694	12538	12372	16577	12320	8868	9327	8984	4971	5199	11280	3112	5520	5188	1909	2490	5838	4150	5824	4467	4358	2354	2332	1942	host	gene-NRS_1067
gene-NRS_1786	43	48	42	32	29	23	36	42	27	27	22	21	16	15	29	26	14	14	10	7	23	31	28	20	23	25	15	13	host	gene-NRS_1786
gene-NRS_2084	111	96	73	67	91	69	64	89	57	67	59	53	39	60	67	37	29	44	15	30	27	42	36	29	37	26	24	24	host	gene-NRS_2084
gene-NRS_1906	4321	4215	3633	4218	4443	3139	3329	4809	2569	2465	2636	2653	1316	2670	3383	2568	2171	2490	947	1289	2948	2219	2758	2167	2928	2162	1573	1390	host	gene-NRS_1906
gene-NRS_1745	2978	2771	2205	2571	3017	1639	2068	2658	1895	1243	1397	1279	551	1145	2539	1177	1362	1229	494	669	1628	1152	1393	1060	1487	863	862	819	host	gene-NRS_1745
gene-NRS_621	31	42	50	44	30	47	29	39	27	25	33	27	16	28	42	15	15	19	12	13	10	19	20	17	22	15	14	4	host	gene-NRS_621
gene-NRS_38	223	227	179	159	231	160	156	233	114	104	103	105	49	37	120	26	50	45	18	19	71	26	85	35	42	17	25	24	host	gene-NRS_38
gene-NRS_1491	20730	23354	20628	27710	20169	16915	18125	26630	11152	11521	13922	12380	5201	11886	13694	12004	6751	7347	4142	4711	8702	6747	8281	5845	9344	5601	5251	4747	host	gene-NRS_1491
gene-NRS_2310	8731	6317	5431	8007	9118	5262	5498	7582	5264	3665	4176	3816	1724	4793	5553	4437	2662	2743	1512	1783	3455	2666	3090	2282	3421	2205	1840	1757	host	gene-NRS_2310
gene-NRS_2565	3574	5397	4776	5232	3410	3906	4434	5537	2046	2701	3248	2729	972	1529	2409	1623	1104	1196	545	649	1665	1239	1663	1093	1852	1232	931	828	host	gene-NRS_2565
gene-NRS_2088	622	519	472	467	762	369	422	615	458	296	325	294	135	186	394	189	194	211	74	101	265	163	249	165	212	99	134	98	host	gene-NRS_2088
gene-NRS_1386	5349	4820	4328	5149	5701	4557	4540	5524	3239	3112	3636	3218	1491	3470	3750	2582	1516	1785	1439	1194	2031	1570	2099	1462	1858	1147	1128	978	host	gene-NRS_1386
