Geneid	0_R1	0_R2	0_R3	0_R4	2_R1	2_R2	2_R3	2_R4	5_R1	5_R2	5_R3	5_R4	10_R1	10_R2	10_R3	10_R4	20_R1	20_R2	20_R3	20_R4	30_R1	30_R2	30_R3	30_R4	40_R1	40_R2	40_R3	40_R4	Entity	Symbol
gene-NRS_642	4204	3670	3075	3034	3785	2188	2780	3681	2391	2007	2050	1937	862	1219	2477	1525	1152	1133	599	783	1204	1030	1270	938	1179	864	680	669	host	gene-NRS_642
gene-NRS_548	36829	7697	6013	6989	9026	5978	6778	8707	19217	4946	5365	5376	2709	4475	7512	4180	3065	3605	1903	2274	3288	2737	3788	2783	2836	1994	1831	1547	host	gene-NRS_548
gene-NRS_2686	765	1415	1397	1416	610	1259	1193	1570	326	854	910	832	337	401	398	380	218	302	149	165	320	278	335	269	369	232	200	176	host	gene-NRS_2686
gene-NRS_874	34794	30433	26638	30883	34929	22664	25465	34861	22748	19365	22540	20501	10061	18027	28647	18635	13064	14644	7051	9245	16504	13115	16543	11690	15144	10425	8997	7733	host	gene-NRS_874
gene-NRS_641	3433	4402	2454	2286	3568	1757	2250	3131	1888	1612	1593	1616	767	864	1755	947	695	817	241	368	825	703	926	650	799	497	455	354	host	gene-NRS_641
gene-NRS_627	2205	2382	2141	2386	3251	1498	1875	2557	1326	1217	1384	1242	568	1048	2209	1112	1300	1068	440	563	1568	1179	1309	1038	1688	921	950	764	host	gene-NRS_627
gene-NRS_107	2711	1705	1603	1763	2791	1245	1406	1812	1710	1085	1176	1066	598	1029	1663	1014	659	804	463	450	798	640	734	577	692	397	456	346	host	gene-NRS_107
gene-CPT_phageK_gp095	180	528	461	424	4194	3174	3899	7599	18244	21074	21994	25062	35463	48192	73439	56041	34359	42287	26059	27151	21169	17979	26404	19531	11591	9275	8708	7478	phage	gene-CPT_phageK_gp095
gene-NRS_694	3394	2851	2886	2181	3600	2009	2305	3158	2220	2156	2017	2027	1052	1284	2848	1369	1353	1430	839	1032	1626	1091	1761	1383	1697	905	839	798	host	gene-NRS_694
gene-NRS_32	8236	7858	7033	8509	8144	4837	5602	8015	4616	3599	3928	3781	1433	3128	5559	3442	2690	2672	1539	1794	3427	2397	2916	2196	3698	1860	2003	1828	host	gene-NRS_32
gene-NRS_1130	1222	1030	957	723	1059	819	865	1253	1103	927	812	856	492	336	1082	290	569	569	336	403	700	455	666	508	532	264	244	260	host	gene-NRS_1130
gene-NRS_1568	181177	137169	122946	149297	142891	101764	118721	165034	92086	78761	95856	92946	47542	82421	118963	89634	63024	66178	37824	44223	74955	64161	80983	57746	69954	53257	45276	39633	host	gene-NRS_1568
gene-NRS_2106	9313	11667	18273	12086	7311	8495	8891	12220	3960	5900	7023	6213	4109	4165	4182	4816	2120	2636	1702	1753	3047	2557	3083	2257	3621	2143	2057	1850	host	gene-NRS_2106
gene-NRS_2432	838	640	578	636	866	518	576	849	566	412	329	403	190	379	690	354	364	355	207	192	461	333	407	268	409	245	243	166	host	gene-NRS_2432
gene-NRS_424	289	229	199	204	184	142	122	167	108	109	86	68	45	70	74	36	53	52	17	34	42	42	58	54	51	13	34	30	host	gene-NRS_424
gene-NRS_608	3443	2950	2511	3226	2789	1580	2364	3496	1675	1275	1109	1187	484	1019	1657	1310	1225	771	621	698	1264	874	979	805	2219	844	801	924	host	gene-NRS_608
gene-NRS_1629	109589	64935	16307	21163	11181	14462	15179	20180	5823	8860	10015	8853	3781	6897	5627	5277	3248	3365	2428	2077	4595	3690	3871	3013	5293	2998	2857	2374	host	gene-NRS_1629
gene-NRS_1520	649	600	599	385	827	463	517	721	420	427	466	335	186	168	433	277	173	269	92	147	282	176	347	232	255	163	147	120	host	gene-NRS_1520
gene-NRS_76	63	43	71	36	82	19	51	60	46	44	41	37	27	16	43	17	18	26	11	24	32	25	52	25	25	15	25	18	host	gene-NRS_76
gene-NRS_2523	14964	15357	13943	19142	16912	13795	14580	19911	9821	9142	11009	9747	4513	9956	12492	10933	6790	7532	4412	5142	8628	7178	8769	6455	8189	5730	5276	4615	host	gene-NRS_2523
gene-NRS_1413	32	37	40	12	26	21	29	35	19	25	18	24	14	8	13	8	3	13	0	4	9	10	9	18	22	3	13	6	host	gene-NRS_1413
gene-NRS_2680	118	135	93	146	98	92	88	135	63	67	86	100	36	79	96	62	52	58	26	25	57	45	73	37	43	27	34	37	host	gene-NRS_2680
gene-NRS_1070	18004	20512	15964	21520	17579	12601	15155	20924	10179	9751	11582	10643	4241	10313	11274	11016	5292	5745	3356	3817	6879	5584	6017	4509	8130	5104	4348	3899	host	gene-NRS_1070
gene-NRS_568	23954	16808	13966	16789	20937	12214	13507	17565	14199	9725	11231	10256	5170	11139	20941	11660	9769	9126	5134	6004	10225	8998	10190	7590	9403	5946	6442	5392	host	gene-NRS_568
gene-NRS_2461	3852	3398	2650	3260	4069	2440	2929	3468	2941	1859	1964	1930	879	2053	3207	1825	1439	1461	599	780	1617	1384	1507	1042	1302	852	779	704	host	gene-NRS_2461
gene-NRS_1515	220	201	178	159	229	182	150	249	146	127	157	118	69	132	201	130	101	129	59	69	132	112	130	93	138	105	84	89	host	gene-NRS_1515
gene-NRS_1243	761	691	660	617	783	474	582	737	499	415	443	415	169	302	446	305	198	235	169	163	281	161	263	159	276	139	185	120	host	gene-NRS_1243
gene-NRS_54	46	39	44	16	32	10	32	34	21	31	28	23	23	7	27	13	20	9	11	10	22	10	18	3	14	12	8	17	host	gene-NRS_54
gene-NRS_953	11199	10366	10197	10315	11222	7435	8174	10946	6873	7197	7076	7213	4323	7645	10032	9009	4758	4562	3071	3550	5293	4582	4890	3533	6195	3223	3241	2984	host	gene-NRS_953
gene-NRS_2557	2456	2152	1838	2142	2406	1688	1875	2257	1849	1344	1596	1377	715	1310	2516	1289	1118	1167	412	542	1274	1088	1242	955	1150	811	660	546	host	gene-NRS_2557
gene-NRS_1076	328	273	266	217	304	183	248	322	168	165	161	181	84	113	205	91	100	137	48	48	188	97	139	95	192	96	72	70	host	gene-NRS_1076
gene-NRS_636	6319	6863	5500	5883	6624	3971	4783	6284	3636	3424	3763	3928	1768	2545	4027	2402	1628	1842	1277	1396	2021	1614	2183	1604	1953	1160	1205	1097	host	gene-NRS_636
gene-NRS_275	482	442	323	427	443	269	356	482	299	269	272	238	130	277	339	196	186	186	74	95	249	194	236	196	251	165	151	104	host	gene-NRS_275
gene-NRS_232	2011	1191	1137	1138	2296	943	1110	1436	1458	808	868	786	424	759	1366	785	595	723	377	442	805	545	805	590	681	423	434	384	host	gene-NRS_232
gene-NRS_231	3284	4054	3107	3632	2797	1423	3528	4582	1532	1390	1378	1338	544	829	1562	1651	1392	826	358	495	1651	832	1102	1018	2372	1185	857	900	host	gene-NRS_231
gene-NRS_394	2231	1899	1534	1526	2316	1128	1382	1818	1337	942	937	933	470	605	1312	680	585	669	145	261	737	512	759	555	688	441	303	256	host	gene-NRS_394
gene-NRS_431	4226	3113	2789	2814	4099	2648	2703	3380	2321	1647	1649	1474	717	1069	2007	778	918	927	549	557	1076	726	1029	778	882	440	513	472	host	gene-NRS_431
gene-CPT_phageK_gp184	54	221	136	72	687	535	869	1348	2093	2695	2661	3024	5541	5360	6410	3136	4956	6523	2444	2608	3619	3186	4568	3198	2150	1683	1766	1316	phage	gene-CPT_phageK_gp184
gene-NRS_671	8847	8906	8208	12060	8731	7165	7656	10371	4922	4698	5276	4765	2167	5493	6180	4951	3058	3015	2257	2260	3781	2893	3418	2449	4091	2375	2402	2074	host	gene-NRS_671
gene-NRS_305	1433	1076	963	678	1131	719	795	1008	885	870	729	730	370	284	503	157	220	242	174	156	250	203	275	263	242	96	128	93	host	gene-NRS_305
gene-NRS_1063	569	605	623	559	635	432	548	730	339	347	341	373	152	239	362	349	211	261	214	208	309	236	298	213	310	202	204	159	host	gene-NRS_1063
gene-NRS_162	27	24	24	30	37	15	24	34	26	14	13	27	18	12	24	18	19	16	6	12	18	26	18	12	36	21	9	19	host	gene-NRS_162
gene-NRS_776	91227	77077	69629	82363	79731	57851	66790	96253	63590	46632	54138	45541	25373	39797	52635	43051	23014	25674	15455	14934	25969	27115	27402	19131	29550	19640	16102	13594	host	gene-NRS_776
gene-NRS_2476	347	241	339	148	395	261	272	300	232	291	218	235	105	79	138	71	60	74	55	51	82	54	97	62	70	19	42	26	host	gene-NRS_2476
gene-NRS_392	3370	2774	2209	3139	3539	1889	2035	2822	2300	1344	1634	1455	758	2157	2954	2162	1664	1911	866	1249	2181	1620	1975	1484	2049	1356	1216	1035	host	gene-NRS_392
gene-NRS_2541	90	115	94	69	103	72	100	128	57	75	62	55	22	46	81	47	44	41	17	28	42	45	56	39	40	26	29	32	host	gene-NRS_2541
gene-NRS_2334	4747	2747	2274	2607	5733	2470	2806	3338	3746	1914	2138	1560	828	1617	3091	1447	1271	1645	448	675	1768	1149	1713	1224	1316	756	713	616	host	gene-NRS_2334
gene-NRS_282	3183	2402	2332	2129	3381	2006	2041	2757	2235	1645	1710	1583	727	1186	2348	1415	891	1176	450	618	1273	836	1262	832	1309	787	600	550	host	gene-NRS_282
gene-NRS_1140	10772	11240	13605	15642	11086	15925	12161	19305	9968	10735	11160	10970	7469	10753	12482	6977	9961	11035	17724	13847	15095	9202	14234	11081	14376	8674	7930	7733	host	gene-NRS_1140
gene-NRS_534	16519	19745	16908	19884	15468	14763	16175	21343	8561	10756	11863	10112	4390	7688	9328	6580	4461	5067	2881	3159	5956	4962	6113	4243	5641	3596	3496	2941	host	gene-NRS_534
gene-NRS_1443	38	31	33	26	27	20	21	24	16	27	17	15	6	16	20	6	7	15	4	4	8	15	18	15	24	20	9	12	host	gene-NRS_1443
gene-NRS_171	232	235	201	163	182	133	175	202	143	127	130	103	59	63	126	73	58	80	36	51	105	67	81	74	105	47	52	43	host	gene-NRS_171
gene-NRS_705	2847	2155	1916	1994	2844	1570	1833	2509	2123	1592	1609	1505	920	1376	3047	1460	1397	1403	701	754	1468	1091	1399	1044	1267	723	712	579	host	gene-NRS_705
gene-CPT_phageK_gp151	173	471	345	326	3736	3778	4682	7712	22050	31562	31113	34144	36045	38153	59953	43827	20747	26780	15737	16306	14532	13658	18797	12857	9096	7463	7523	6379	phage	gene-CPT_phageK_gp151
gene-NRS_993	16886	3763	3035	4009	17023	2855	2629	4338	10890	2717	2334	2834	1975	6067	10056	6326	3589	4349	2405	2818	4359	2995	3574	2594	5061	2335	2175	2036	host	gene-NRS_993
gene-NRS_1744	4965	4168	3263	3760	4537	2458	3143	4103	3117	2073	2175	2108	939	1510	3415	1502	1927	1462	649	908	2100	1530	1820	1365	1839	1112	997	935	host	gene-NRS_1744
gene-NRS_930	5236	4234	3631	4361	5210	2994	3408	4545	3195	2375	2541	2092	956	1626	3424	1931	1400	1594	481	704	1947	1370	1737	1238	1852	1080	796	801	host	gene-NRS_930
gene-NRS_1409	299	288	281	220	231	176	239	309	140	152	179	188	63	88	149	103	81	80	34	46	103	87	109	105	132	72	74	43	host	gene-NRS_1409
gene-CPT_phageK_gp011	2971	3553	4091	4747	14644	12480	12732	17827	14239	13581	15941	14412	6755	12404	16480	10620	5872	7336	4450	4614	5485	4879	6361	4768	4119	3659	3076	2570	phage	gene-CPT_phageK_gp011
gene-NRS_681	377	443	373	388	342	357	456	436	179	241	319	233	108	136	195	134	72	134	82	80	142	120	142	95	79	62	75	75	host	gene-NRS_681
gene-NRS_1429	57	66	68	54	53	45	53	72	36	37	46	36	14	23	32	13	5	13	8	10	27	20	25	19	27	13	14	11	host	gene-NRS_1429
gene-NRS_1149	1916	2062	1919	1907	1856	1590	1977	2120	1081	1278	1406	1181	457	835	941	695	390	488	255	272	589	484	533	397	475	274	249	222	host	gene-NRS_1149
gene-NRS_1850	3652	6060	5868	12996	4159	5984	5971	6335	2056	3238	5252	4264	1765	5814	3005	3182	1848	2221	1565	1582	2805	1815	2426	2124	2596	2335	1510	1326	host	gene-NRS_1850
gene-CPT_phageK_gp144	500	2474	868	899	5072	3007	6702	10770	31054	43400	50044	61358	144711	279583	304971	310601	349083	448353	258768	360980	342555	457766	395334	381727	236585	183645	256619	295428	phage	gene-CPT_phageK_gp144
gene-NRS_869	9321	9439	8465	9969	9782	5745	6675	9300	5126	4167	4685	4510	1928	4070	6904	4630	3265	3245	980	1634	3810	2999	3821	2734	4274	2464	2062	1820	host	gene-NRS_869
gene-NRS_2161	8794	7504	6194	7424	9113	8085	6338	8312	5970	3762	3940	3716	1693	3166	5458	1838	2498	2376	1081	1277	2565	1980	2489	1934	1997	1358	1267	988	host	gene-NRS_2161
gene-CPT_phageK_gp209	359	1285	537	461	4286	3481	4838	7847	27352	39545	40289	48366	88741	105662	120132	108145	69089	89140	30413	36843	38363	43378	53574	46289	21042	17239	15958	12933	phage	gene-CPT_phageK_gp209
gene-NRS_1748	408	356	324	291	427	244	298	376	317	261	294	244	109	180	324	170	137	183	91	95	201	142	184	135	142	86	99	58	host	gene-NRS_1748
gene-NRS_734	23695	14680	14797	15103	27271	12924	13517	17892	16234	9693	10956	9636	5402	7748	16529	8446	6380	8203	4941	5382	7272	5582	8353	5476	6488	4362	3952	3423	host	gene-NRS_734
gene-NRS_2395	77871	62359	52986	64013	71154	42555	45742	61285	38311	25537	27816	29891	12026	26385	43052	25008	22343	22761	12181	15321	27789	21039	25353	18581	31653	17429	16171	14484	host	gene-NRS_2395
gene-NRS_1591	2450	1961	1341	1746	2611	1175	1354	2033	1606	10988	1163	1097	593	1188	1398	1079	640	829	499	915	711	685	847	566	664	421	381	364	host	gene-NRS_1591
gene-NRS_406	201	178	150	133	161	99	150	186	125	110	130	117	74	44	122	63	47	63	11	25	55	79	78	65	60	55	39	41	host	gene-NRS_406
gene-NRS_1026	23003	19362	17499	17020	19879	13664	14367	19631	11753	10431	10639	10601	4628	6345	11404	7026	5855	5907	3841	4155	7562	5559	6611	4997	8402	4372	4071	3883	host	gene-NRS_1026
gene-NRS_1392	432	381	409	698	646	416	378	647	349	191	266	228	109	434	555	392	228	275	85	121	285	193	270	195	324	173	135	130	host	gene-NRS_1392
gene-NRS_967	4680	5156	4023	4296	4009	3794	4166	5089	2491	2759	3088	2677	1195	1536	2246	1268	1019	1244	644	665	1207	1052	1356	916	1141	688	625	525	host	gene-NRS_967
gene-NRS_1496	1969	2216	1844	1744	2266	1601	1915	2109	1174	1009	1346	1184	554	816	1243	740	562	750	294	409	775	555	881	595	678	405	384	350	host	gene-NRS_1496
gene-NRS_1914	2591	2546	2201	1977	2465	2133	2663	2460	1277	1617	1933	1663	4226	595	860	602	375	534	200	236	540	449	529	387	394	323	263	221	host	gene-NRS_1914
gene-NRS_2042	251	135	137	139	288	78	115	158	185	87	84	86	55	90	218	125	90	136	20	45	107	89	98	86	75	48	54	30	host	gene-NRS_2042
gene-NRS_614	1517	1085	978	1059	1657	926	944	1335	952	571	678	630	278	488	777	529	392	433	230	248	536	397	497	371	479	271	244	248	host	gene-NRS_614
gene-NRS_1645	2870	2992	2647	2653	2579	2226	2362	3167	1367	1589	1779	1534	640	898	1176	925	598	722	347	437	866	634	849	552	874	482	407	391	host	gene-NRS_1645
gene-NRS_75	1665	2047	1993	1703	1620	1423	1612	2247	934	1064	1308	1108	539	604	905	489	462	508	218	252	785	435	682	543	772	414	334	337	host	gene-NRS_75
gene-NRS_865	4398	5193	4293	5300	4659	3692	4047	5666	2529	2749	3304	3017	1362	3182	2874	2843	1223	1703	1058	1179	1756	1492	2054	1302	1716	1008	1034	963	host	gene-NRS_865
gene-NRS_111	723	610	493	359	621	340	411	531	344	326	287	305	150	162	267	137	135	125	68	74	130	74	137	103	157	75	68	66	host	gene-NRS_111
gene-NRS_810	341	251	198	259	279	195	176	316	197	144	144	128	59	85	168	80	74	101	33	44	82	68	92	94	81	42	43	29	host	gene-NRS_810
gene-NRS_1238	984	543	617	228	978	353	411	559	721	454	333	396	233	75	587	155	229	290	165	208	254	164	391	253	294	147	139	127	host	gene-NRS_1238
gene-NRS_262	40511	35601	32084	33826	36906	23156	26524	38055	21937	18337	18976	17692	7677	11952	21904	13236	10714	10876	6556	7247	12770	9760	12749	9138	13407	7515	7534	6641	host	gene-NRS_262
gene-NRS_473	7196	6168	5585	6875	8716	5282	5647	8026	5235	3353	3703	4001	1974	3603	5362	2713	2929	3102	3654	2936	3256	2267	3432	2699	2851	2042	1803	1498	host	gene-NRS_473
gene-NRS_813	658	634	633	606	794	465	484	654	488	353	401	316	145	311	646	393	300	326	202	245	390	276	351	269	360	192	207	171	host	gene-NRS_813
gene-NRS_1807	542	954	833	1782	726	1018	1109	1168	387	440	775	614	463	912	563	428	336	393	172	247	566	418	542	452	389	409	289	240	host	gene-NRS_1807
gene-NRS_2053	221	526	534	665	281	542	711	699	195	412	508	333	178	221	188	139	136	168	97	83	180	156	277	218	139	116	121	69	host	gene-NRS_2053
gene-CPT_phageK_gt001	81	521	176	180	942	724	1056	1497	3619	5143	6202	7320	9343	14372	15628	18429	28553	35492	31489	27620	30559	30902	35505	25124	20539	45942	18833	15863	phage	tRNA-Met
gene-NRS_1918	13471	13269	10449	12287	12491	10225	10702	14096	7955	9976	9968	7781	3282	5084	7178	5335	3305	3872	1836	2206	4000	3242	4153	2841	3895	2403	2205	1985	host	gene-NRS_1918
gene-NRS_1846	1876	3038	2870	5929	1934	2609	3078	3195	1038	1613	2793	2146	800	2841	1582	1563	859	1108	649	718	1227	849	1129	931	1208	1078	683	609	host	gene-NRS_1846
gene-NRS_2356	661	735	600	673	783	535	764	733	397	417	438	401	169	275	341	270	155	198	138	142	225	178	241	176	176	145	128	132	host	gene-NRS_2356
gene-NRS_119	32	43	52	49	40	23	34	46	23	29	21	20	18	13	29	12	21	24	14	11	16	17	31	17	20	15	28	17	host	gene-NRS_119
gene-NRS_359	4067	2693	2191	2231	4078	2020	2296	2725	3085	1797	1908	1843	1021	1330	4324	1768	1731	1738	398	812	1786	1498	1930	1376	1786	1346	938	735	host	gene-NRS_359
gene-NRS_2650	306	381	275	401	314	190	258	364	197	219	249	288	113	275	307	255	148	183	69	113	164	135	201	140	153	146	109	101	host	gene-NRS_2650
gene-NRS_2552	1211	1165	1050	1335	1095	925	889	1312	665	655	789	670	288	710	1011	766	409	515	285	321	510	396	564	354	537	315	330	304	host	gene-NRS_2552
gene-NRS_906	2055	1112	783	895	2762	591	806	1081	1943	559	623	591	413	860	2231	677	688	988	339	519	814	712	923	670	668	431	426	303	host	gene-NRS_906
gene-NRS_1500	12538	12660	11836	11011	11343	8713	8963	12873	5902	6443	6321	6213	2521	3425	5776	4552	2781	2951	1587	1925	3694	2685	3671	2469	4856	2506	2224	2026	host	gene-NRS_1500
gene-NRS_589	877	1181	2715	1190	793	1435	1008	1295	402	663	720	671	245	350	318	244	193	227	156	137	301	181	262	195	311	171	172	125	host	gene-NRS_589
gene-NRS_173	449	403	324	345	410	232	288	388	258	192	225	175	76	137	325	188	145	140	64	87	208	147	200	119	202	95	115	99	host	gene-NRS_173
gene-NRS_2385	351	360	386	389	266	230	312	431	173	147	141	163	86	99	173	154	125	104	25	53	192	109	156	118	263	128	116	81	host	gene-NRS_2385
gene-NRS_2448	525	587	542	705	624	450	532	712	299	263	381	329	147	360	326	289	142	191	100	139	208	178	257	154	217	149	142	133	host	gene-NRS_2448
gene-NRS_536	110138	161682	151205	212808	101534	146578	137001	206008	48141	83619	105577	91410	40029	96083	62895	87544	38613	46913	37505	35162	54537	46190	55245	39942	65565	41096	39492	33754	host	gene-NRS_536
gene-NRS_1926	6700	7665	3836	4324	7583	3650	4443	5467	4738	3301	3507	2959	1516	2984	4576	2668	1908	2151	971	1052	2315	1741	2254	1548	1912	1116	1072	920	host	gene-NRS_1926
gene-NRS_525	3966	4272	3997	4086	3913	2973	3326	4893	2556	2453	2832	2378	1103	1626	2569	1635	1162	1359	844	927	1641	1208	1642	1265	1842	950	913	816	host	gene-NRS_525
gene-CPT_phageK_gp069	85	158	126	44	1010	795	1229	1605	6479	10372	8801	10276	13793	6985	13872	6791	4151	5086	3215	2859	2559	2848	3884	2610	1619	1113	1311	1103	phage	gene-CPT_phageK_gp069
gene-NRS_1688	4114	4392	3866	3630	3769	3507	3967	4642	2118	2643	2928	2534	1159	1343	2002	1353	876	1135	389	532	1129	994	1279	865	970	725	574	464	host	gene-NRS_1688
gene-NRS_2259	3161	2574	2115	1999	2425	1749	2007	2490	1586	1438	1435	1189	502	632	1152	775	580	565	230	278	681	617	643	502	719	481	345	331	host	gene-NRS_2259
gene-NRS_1202	54515	55547	46882	58585	51452	39719	43076	57687	28598	27781	32395	30761	12684	23245	31160	22326	15100	14778	8011	9400	18851	15119	16684	12136	20095	12403	10703	9621	host	gene-NRS_1202
gene-NRS_152	257	288	198	288	315	211	225	327	190	145	177	175	72	156	262	174	143	111	51	62	156	131	155	105	175	107	103	79	host	gene-NRS_152
gene-NRS_1066	11107	13551	11653	14023	9524	9790	10579	14935	5434	6984	7750	6513	2703	4480	5770	4518	3029	3295	1548	1769	3993	3058	3755	2770	3978	2210	2144	1761	host	gene-NRS_1066
gene-NRS_2537	1416	1596	1522	1595	1361	1162	1249	1715	908	870	996	934	408	818	1105	834	612	613	511	425	760	567	714	568	798	500	458	420	host	gene-NRS_2537
gene-NRS_2573	5538	3652	3124	3656	6024	3168	3302	4283	4164	2286	2438	2121	1096	1738	3177	1696	1426	1682	696	762	1812	1237	1687	1211	1239	857	802	634	host	gene-NRS_2573
