Geneid	5	10	20	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-AUO97_RS19195	83.29041683308665	77.06399677667154	48.98136544529382	host	csuD	None	None	3.178616424262467
gene-AUO97_RS10905	0.253485363145342	0.11574931748115176	0.3080564795288587	host	gene-AUO97_RS10905	None	None	0.09461759892613436
gene-AUO97_RS12300	18.13660692135993	11.784577318145073	9.689211029883168	host	gene-AUO97_RS12300	None	None	1.2541291986468786
gene-AUO97_RS11260	118.83618999605646	93.41601005739254	69.76855943321524	host	scpB	None	None	3.9738394711021465
gene-AUO97_RS16080	29.120440686039164	21.89666157162978	20.76900174954305	host	gene-AUO97_RS16080	None	None	0.8972358348510259
gene-AUO97_RS15360	99.22606404466772	90.57199861276933	93.70396285539826	host	gene-AUO97_RS15360	None	None	0.23636824344441373
gene-AUO97_RS09485	80.11008832251973	68.58292490948064	91.81368086572479	host	ptsP	None	None	1.3361488206838696
gene-AUO97_RS05425	83.71454392629465	91.59319503896252	128.42587473913602	host	gene-AUO97_RS05425	None	None	3.5623547985871755
gene-AUO97_RS07485	8.052452165548157	4.951061359284619	8.837672197689606	host	gene-AUO97_RS07485	None	None	0.4829991040487561
gene-AUO97_RS13265	0.05200890223317725	0.03881836866745944	0.04985071731984972	host	gene-AUO97_RS13265	None	None	0.0009062494945549026
gene-AUO97_RS17610	46.26879525253408	40.17797625650714	43.52030716558065	host	gene-AUO97_RS17610	None	None	0.9076990986412208
gene-AUO97_RS18735	33.61091798425468	26.580163990050337	23.151497940699286	host	gene-AUO97_RS18735	None	None	0.7519795422190235
gene-AUO97_RS19090	443.35423375553006	346.5432569663157	610.5780115860344	host	gene-AUO97_RS19090	None	None	26.03585064817539
gene-AUO97_RS07715	21.854063868912373	17.09065293663465	22.571809437928163	host	hutI	None	None	0.7864153483718274
gene-AUO97_RS11135	10.257139660182096	9.72479370686097	8.916434611469999	host	gene-AUO97_RS11135	None	None	0.0698701167799105
gene-AUO97_RS00175	89.89638018002233	81.77171618834164	76.81558802014905	host	gspL	None	None	0.49963539872574875
gene-AUO97_RS06135	49.67639976633177	33.1079114019927	37.038899780558936	host	gene-AUO97_RS06135	None	None	2.838984697813516
gene-AUO97_RS16060	3.9925536292521873	3.4718464397519617	6.466848277884848	host	gene-AUO97_RS16060	None	None	0.7370519625193278
gene-AUO97_RS05440	153.85056563160873	146.94055984455034	191.5611231378695	host	ycaC	None	None	2.8534073888252123
gene-AUO97_RS18400	50.97789488161169	46.82529388836929	47.90247943245022	host	gene-AUO97_RS18400	None	None	0.6923789671457953
gene-AUO97_RS11825	9.960907309901074	7.329578849934349	6.369489571238844	host	gene-AUO97_RS11825	None	None	0.45067819178638674
gene-AUO97_RS19005	44.96461672863696	40.701238493259474	33.928393536022774	host	alr	None	None	0.8379488749053199
gene-AUO97_RS04945	86.82073840431413	76.87421052038853	85.83013313798895	host	aroK	None	None	0.33054503677591546
gene-AUO97_RS06695	168.66152641667284	96.46558823171972	128.89525471513622	host	gene-AUO97_RS06695	None	None	8.291335207266965
gene-AUO97_RS15435	66.78566728434201	62.57437712754318	55.45459083272408	host	pyrF	None	None	0.36129876460511545
gene-AUO97_RS03830	0.04648207066071427	0.03469325592078119	0.04455322964825806	host	gene-AUO97_RS03830	None	None	0.0008099450523542452
gene-AUO97_RS10180	19.177166156285676	15.99902803256043	14.288988861380616	host	gene-AUO97_RS10180	None	None	0.2743805006076595
gene-AUO97_RS03565	2.9080577125055065	3.6491655012775097	4.911129268371869	host	gene-AUO97_RS03565	None	None	0.8182748379308881
gene-AUO97_RS11560	108.30351602104281	116.16983570221517	131.43376681393235	host	gene-AUO97_RS11560	None	None	1.561243336500722
gene-AUO97_RS16245	21.31427035766123	24.85301973569162	24.887560563037415	host	gene-AUO97_RS16245	None	None	0.8050327155301553
gene-AUO97_RS17310	21.801887081939483	20.845272463202885	19.569091196877423	host	gene-AUO97_RS17310	None	None	0.1614472825011647
gene-AUO97_RS19460	423.8766113613902	294.63879154824696	264.3701452894491	host	gene-AUO97_RS19460	None	None	17.29549877090971
gene-AUO97_RS11190	23.44292175817335	22.903228446263014	22.680966422829506	host	gene-AUO97_RS11190	None	None	0.13955498290206472
gene-AUO97_RS12885	0.05047017731503591	0.03766989622167662	0.04837584402636304	host	gene-AUO97_RS12885	None	None	0.0008794373793313847
gene-AUO97_RS11405	102.92399955899346	94.38322298810981	90.56596195506404	host	rluD	None	None	0.4784539157585688
gene-AUO97_RS11425	142.68742378401905	126.11715233525508	143.02300194648058	host	coaD	None	None	0.9811122382862151
gene-AUO97_RS02665	825.6919481280474	832.1464283688119	1015.1645299060838	host	adeK	None	None	7.755265929268273
gene-AUO97_RS16215	48.295665646452456	39.12593177412043	33.43874580261853	host	gene-AUO97_RS16215	None	None	1.2395496396216674
gene-AUO97_RS19960	0.07259114864886015	0.08934594307656846	0.06957887353579026	host	gene-AUO97_RS19960	None	None	0.012519341682380674
gene-AUO97_RS10200	67.13411470233605	59.421207697929155	51.69066637776184	host	gene-AUO97_RS10200	None	None	0.8152216062643564
gene-AUO97_RS03005	9786.537582602994	9057.76551387379	5561.12023688965	host	gene-AUO97_RS03005	None	None	458.1855777053381
gene-AUO97_RS18515	58.00440000304743	68.27488622373522	87.30517413555586	host	gene-AUO97_RS18515	None	None	2.4497584288561174
gene-AUO97_RS16210	131.09870468179236	116.72986139456272	103.26862849886658	host	gene-AUO97_RS16210	None	None	1.7750863913864745
gene-AUO97_RS02825	33.28164263208344	30.29454513356681	29.151195185721804	host	gene-AUO97_RS02825	None	None	0.18292273516693658
gene-AUO97_RS11055	430.0073079007232	426.15635667095194	780.3397118711987	host	gene-AUO97_RS11055	None	None	71.4353925168155
gene-AUO97_RS01425	76.38389349103177	43.62914730190737	44.23890859638726	host	gene-AUO97_RS01425	None	None	6.024572147133314
gene-AUO97_RS17070	8.0120947326093	9.93776032064983	9.593792922654899	host	catC	None	None	0.2642527091409141
gene-AUO97_RS01935	210.02390696139216	190.86637112858003	214.0942902183795	host	cxpE	None	None	1.9224655024789215
gene-AUO97_RS05515	15.653911515926403	14.839086776833796	23.062508323055	host	gene-AUO97_RS05515	None	None	1.0077761162170364
gene-AUO97_RS06105	89.80365739628623	79.96045203354815	86.80115984687296	host	gene-AUO97_RS06105	None	None	0.396157883394574
gene-AUO97_RS17220	18.86766370076695	13.886888761000941	18.186742304027376	host	gene-AUO97_RS17220	None	None	0.6985846149645376
gene-AUO97_RS05820	7.836757359192423	4.890809028005032	6.400491622366944	host	uraH	None	None	0.3690616316850667
gene-AUO97_RS13075	0.06962824462237606	0.08693798716955142	0.06673891951392125	host	gene-AUO97_RS13075	None	None	0.013547827701634343
gene-AUO97_RS05950	0.2707765068647958	0.20210198290359835	0.2595402425541382	host	gene-AUO97_RS05950	None	None	0.004718251336730285
gene-AUO97_RS10970	749.7385513843332	844.2264202652437	933.1463705087256	host	nuoE	None	None	7.203174859936754
gene-AUO97_RS07770	310.77916841677614	281.2993518936036	286.1192507397309	host	gene-AUO97_RS07770	None	None	2.920877309516567
gene-AUO97_RS02980	8.94856186317363	9.125286529807092	8.522851070101712	host	gene-AUO97_RS02980	None	None	0.12855328146975123
gene-AUO97_RS00050	63.41027540457551	71.34459403918177	156.84429762447388	host	gene-AUO97_RS00050	None	None	24.65298976050112
gene-AUO97_RS18620	39.91642023648948	37.68823048659722	45.72965515252663	host	gene-AUO97_RS18620	None	None	0.7986063708392823
gene-AUO97_RS15220	44.017373367201515	41.536356102071245	37.338173328038025	host	gene-AUO97_RS15220	None	None	0.4380876452986575
gene-AUO97_RS11675	267.4914785688961	232.49230686663623	160.15244364778448	host	fur	None	None	7.927956834340987
gene-AUO97_RS19515	3.8030957711340414	0.8112991593663913	2.1125607206769637	host	gene-AUO97_RS19515	None	None	1.1501464146424336
gene-AUO97_RS01290	109.53610770315056	106.07535596849156	108.04579975462042	host	gene-AUO97_RS01290	None	None	0.09443024241377784
