Geneid	5	10	20	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-AUO97_RS19195	7.498298944793539	6.037952760839678	4.718799883625543	host	csuD	None	None	3.178616424262467
gene-AUO97_RS10905	0.1339860935626058	0.0021950310498981334	0.1701756332146981	host	gene-AUO97_RS10905	None	None	0.09461759892613436
gene-AUO97_RS12300	2.865250660940394	1.7203904218763544	0.7636477244741409	host	gene-AUO97_RS12300	None	None	1.2541291986468786
gene-AUO97_RS11260	5.880430260916426	1.9918953659932144	2.9275280566973048	host	scpB	None	None	3.9738394711021465
gene-AUO97_RS16080	3.2052103112698824	2.8710963033766497	1.8806024790059617	host	gene-AUO97_RS16080	None	None	0.8972358348510259
gene-AUO97_RS15360	0.8238244429676544	2.53375366832104	4.642555730379435	host	gene-AUO97_RS15360	None	None	0.23636824344441373
gene-AUO97_RS09485	5.399397417638976	5.449426785903563	1.983144271990625	host	ptsP	None	None	1.3361488206838696
gene-AUO97_RS05425	6.777894061026028	2.073799178550167	5.057487067824624	host	gene-AUO97_RS05425	None	None	3.5623547985871755
gene-AUO97_RS07485	0.9306250824401934	0.4773427414565306	0.861622150687892	host	gene-AUO97_RS07485	None	None	0.4829991040487561
gene-AUO97_RS13265	0.0025219989158087337	0.0007361384618560822	0.0036101895925397705	host	gene-AUO97_RS13265	None	None	0.0009062494945549026
gene-AUO97_RS17610	7.406625176742887	5.32330294373584	2.126422716966971	host	gene-AUO97_RS17610	None	None	0.9076990986412208
gene-AUO97_RS18735	2.802313142407918	0.4358354037966838	0.018771965970236337	host	gene-AUO97_RS18735	None	None	0.7519795422190235
gene-AUO97_RS19090	16.44881542743388	46.66228471808139	34.23798747817443	host	gene-AUO97_RS19090	None	None	26.03585064817539
gene-AUO97_RS07715	4.634500231588041	1.312028352392917	2.160642362913997	host	hutI	None	None	0.7864153483718274
gene-AUO97_RS11135	0.3173033357393672	0.9147200549738704	0.4822888498107005	host	gene-AUO97_RS11135	None	None	0.0698701167799105
gene-AUO97_RS00175	3.207109656247475	3.180311705959177	5.092148833517157	host	gspL	None	None	0.49963539872574875
gene-AUO97_RS06135	3.4607373393876473	11.61909479756115	4.137466167978108	host	gene-AUO97_RS06135	None	None	2.838984697813516
gene-AUO97_RS16060	0.28522705899728723	0.8565782368321989	2.446258453984297	host	gene-AUO97_RS16060	None	None	0.7370519625193278
gene-AUO97_RS05440	15.15163700819149	10.297501971914931	4.882798426568769	host	ycaC	None	None	2.8534073888252123
gene-AUO97_RS18400	6.706880240928598	5.972842785948282	0.2731133986638774	host	gene-AUO97_RS18400	None	None	0.6923789671457953
gene-AUO97_RS11825	1.726263253869443	0.814274623132016	0.13231780426344564	host	gene-AUO97_RS11825	None	None	0.45067819178638674
gene-AUO97_RS19005	1.7557891830699326	4.978379003871915	4.604861468917841	host	alr	None	None	0.8379488749053199
gene-AUO97_RS04945	3.2186712262735124	2.263413219219924	0.4615059947312119	host	aroK	None	None	0.33054503677591546
gene-AUO97_RS06695	14.227321063477733	6.627535285984739	8.792420022607715	host	gene-AUO97_RS06695	None	None	8.291335207266965
gene-AUO97_RS15435	1.169502441149322	2.659348058582407	0.59131025918213	host	pyrF	None	None	0.36129876460511545
gene-AUO97_RS03830	0.002253993581431237	0.0006579112138659264	0.0032265454669020283	host	gene-AUO97_RS03830	None	None	0.0008099450523542452
gene-AUO97_RS10180	0.8105342614505506	0.8001429785033326	0.8448744941240873	host	gene-AUO97_RS10180	None	None	0.2743805006076595
gene-AUO97_RS03565	0.8856203460951975	1.8103302820763936	1.8878228084988082	host	gene-AUO97_RS03565	None	None	0.8182748379308881
gene-AUO97_RS11560	10.2536563987841	10.54694555574639	9.138797492611268	host	gene-AUO97_RS11560	None	None	1.561243336500722
gene-AUO97_RS16245	3.63202953055591	4.748970924423804	3.214868588445807	host	gene-AUO97_RS16245	None	None	0.8050327155301553
gene-AUO97_RS17310	2.196864244146844	1.4706196865756578	0.09418170889865785	host	gene-AUO97_RS17310	None	None	0.1614472825011647
gene-AUO97_RS19460	44.096433064018704	23.190153942756524	14.493866380940645	host	gene-AUO97_RS19460	None	None	17.29549877090971
gene-AUO97_RS11190	1.2177088309325048	2.3327583250839083	1.4422385422212562	host	gene-AUO97_RS11190	None	None	0.13955498290206472
gene-AUO97_RS12885	0.002447383563270013	0.0007143592174224701	0.00350337924956522	host	gene-AUO97_RS12885	None	None	0.0008794373793313847
gene-AUO97_RS11405	5.584586992712477	4.777295558968391	0.3921860906450192	host	rluD	None	None	0.4784539157585688
gene-AUO97_RS11425	12.482034763485974	4.7329786653341746	2.634660394545776	host	coaD	None	None	0.9811122382862151
gene-AUO97_RS02665	14.58607701766921	7.22751460287616	26.72284582871538	host	adeK	None	None	7.755265929268273
gene-AUO97_RS16215	5.257451994162772	3.3882435082970392	1.7644513854488597	host	gene-AUO97_RS16215	None	None	1.2395496396216674
gene-AUO97_RS19960	0.0035200665718521924	0.04871883749667372	0.0050389029206512545	host	gene-AUO97_RS19960	None	None	0.012519341682380674
gene-AUO97_RS10200	4.2617177167571825	3.7157563003979917	1.9055540165301892	host	gene-AUO97_RS10200	None	None	0.8152216062643564
gene-AUO97_RS03005	966.2489438790888	268.669206278413	1552.924034537003	host	gene-AUO97_RS03005	None	None	458.1855777053381
gene-AUO97_RS18515	7.208593879067513	7.0269431616499185	2.966940932566523	host	gene-AUO97_RS18515	None	None	2.4497584288561174
gene-AUO97_RS16210	10.057920236358584	9.645191571111177	8.795973976780289	host	gene-AUO97_RS16210	None	None	1.7750863913864745
