Geneid	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	20_R2	20_R3	Entity	Symbol
gene-AUO97_RS12340	295	236	271	319	362	310	262	329	host	nth
gene-AUO97_RS14130	7	5	5	7	8	4	1	6	host	gene-AUO97_RS14130
gene-AUO97_RS11240	437	347	373	296	296	343	219	345	host	gene-AUO97_RS11240
gene-AUO97_RS01205	232	182	217	220	204	208	152	202	host	gene-AUO97_RS01205
gene-AUO97_RS15640	9	13	5	10	17	21	15	18	host	gene-AUO97_RS15640
gene-AUO97_RS07505	9	2	4	8	5	4	10	7	host	gene-AUO97_RS07505
gene-AUO97_RS04520	1985	1866	1791	2186	2447	2203	1440	1547	host	gene-AUO97_RS04520
gene-AUO97_RS05590	40	24	35	37	32	30	27	36	host	gene-AUO97_RS05590
gene-AUO97_RS09180	1432	1097	1154	1469	1571	1560	1032	1306	host	gene-AUO97_RS09180
gene-AUO97_RS01455	241	213	234	204	164	147	145	184	host	gene-AUO97_RS01455
gene-AUO97_RS02465	1717	1158	1198	2060	1973	1783	1582	1747	host	gene-AUO97_RS02465
gene-AUO97_RS01460	23	24	16	18	12	18	16	20	host	gene-AUO97_RS01460
gene-AUO97_RS04790	264	300	279	348	342	350	217	230	host	truB
gene-AUO97_RS08585	893	748	785	1020	1005	915	854	997	host	gene-AUO97_RS08585
gene-AUO97_RS16110	327	273	282	381	373	340	224	215	host	gene-AUO97_RS16110
gene-AUO97_RS18535	2	5	9	8	10	4	4	1	host	gene-AUO97_RS18535
gene-M172_gp35	0	0	1	12	1	1	0	0	phage	gene-M172_gp35
gene-AUO97_RS18150	0	0	0	0	0	0	0	0	host	gene-AUO97_RS18150
gene-AUO97_RS09030	1667	1524	1429	1599	1569	1486	1085	1256	host	ruvX
gene-AUO97_RS00005	2	0	0	0	2	2	3	2	host	gene-AUO97_RS00005
gene-AUO97_RS10475	2188	2081	2319	2826	2676	3081	2275	2856	host	ppx
gene-AUO97_RS09205	973	933	863	894	894	944	597	730	host	gene-AUO97_RS09205
gene-M172_gp34	3	0	1	5	1	1	1	0	phage	gene-M172_gp34
gene-AUO97_RS08680	866	860	891	1077	1283	1185	746	769	host	gluQRS
