Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-AUO97_RS09875	104.64434643160183	76.94848259530343	23.368055411929706	20.50343580728372	15.652114250367042	16.81029754241965	host	gene-AUO97_RS09875	None	None	28.21669543071555
gene-AUO97_RS02075	30.293180997422166	31.469289673409676	10.23348274237437	8.25274112901759	3.9263057443334097	2.5390797122486424	host	gene-AUO97_RS02075	None	None	9.796168860476717
gene-AUO97_RS09240	110.72795759257303	80.04486196505512	26.369039061667134	24.145678159409925	13.75437827364447	10.50255699157393	host	gene-AUO97_RS09240	None	None	31.984759345987943
gene-AUO97_RS12025	0.04214019428371812	0.450755490399899	0.11369974900173983	0.14895210681915563	0.0386092737413145	0.04827147741917571	host	gene-AUO97_RS12025	None	None	0.14910536541776365
gene-AUO97_RS18955	29.510343277105505	20.74174479724355	6.7637814971630235	4.694710331832641	2.8609165419506577	4.181420954695185	host	gene-AUO97_RS18955	None	None	8.824516184092873
gene-AUO97_RS12705	30.321062434143215	25.463003260914896	5.955530878005177	5.042575285821989	3.8956514379365323	2.634894041012742	host	gene-AUO97_RS12705	None	None	10.297717085437736
gene-AUO97_RS12080	8.503781484223472	5.919104107792149	2.473671105553176	2.224876652336833	1.759847767058338	1.6011283783504457	host	metH	None	None	1.771908446757626
gene-AUO97_RS11105	55.17107294682211	41.189756864544734	15.826727744581206	16.071060411015267	7.652828900330258	6.78120069490796	host	apbC	None	None	13.737401445080726
gene-AUO97_RS14605	0.8887207954835081	0.762534480972385	0.14105204711064895	0.1108709549814281	0.0478973537451213	0.17965186643268696	host	gene-AUO97_RS14605	None	None	0.3197846150485708
gene-AUO97_RS14845	19.140830127874434	16.388195184641365	4.1836813606305325	4.474507623516534	2.4454015925834867	2.1838414956266994	host	gene-AUO97_RS14845	None	None	5.859570254444358
gene-AUO97_RS05090	0.02348065910300395	0.022832953385048812	0.021117961855549136	0.016599323768405904	0.02151321820755448	0.02689703085009155	host	gene-AUO97_RS05090	None	None	0.00043050737258688317
gene-AUO97_RS12300	3.6443675227617303	3.058381539900052	0.40409505388456185	0.5999683509805809	0.4116583375932047	0.5146783200504005	host	gene-AUO97_RS12300	None	None	1.2939480153168332
gene-AUO97_RS00440	0.9554199221222297	0.5043495713229501	0.36826396536277806	0.36665698412577374	0.17507308610285716	0.09380836375302866	host	adeF	None	None	0.18881970821845087
gene-AUO97_RS01970	37.41073955321227	29.225382675102303	9.880624039523829	8.313869165681586	7.67110631421864	7.262433238091095	host	lolD	None	None	8.752722362174733
gene-AUO97_RS06505	28.157916518201368	18.20256153685786	6.056914380234629	6.110457289215677	3.1580169119989066	4.4342779663672465	host	gene-AUO97_RS06505	None	None	7.550130404113194
gene-AUO97_RS14145	0.48970825775753357	0.47619982780725056	0.20862581851714587	0.20042718373386847	0.07084352786487708	0.20666927890395928	host	abaF	None	None	0.08647372678929378
gene-AUO97_RS19485	11.914086428864206	7.813436648363703	0.7475758496864394	2.5463362660734656	3.3001276730388573	1.5869248201554014	host	gene-AUO97_RS19485	None	None	3.3550069903873703
gene-AUO97_RS14910	28.399857185083277	18.956244085315884	12.904583119587347	13.64108713967928	9.338273360522042	8.728086510854709	host	gene-AUO97_RS14910	None	None	2.959632961057835
gene-AUO97_RS05710	220.95060617364442	165.75372819487953	53.67798022748549	51.46637272479728	33.338024452127236	30.216344024591628	host	ftsZ	None	None	58.40072438484361
gene-M172_gp28	5446.954072210265	6143.247207563476	24181.337625907465	24895.921417441205	25773.743270458628	24852.829608453743	phage	gene-M172_gp28	early	late	4398.332214450352
gene-AUO97_RS13395	2043.392311839901	1589.1147855628583	668.0077766415523	653.7015778722382	323.7877773119328	320.9175966742089	host	gene-AUO97_RS13395	None	None	456.7790949224375
gene-AUO97_RS03915	5.62292724754877	6.471575317272168	2.614072415570229	2.246767293594234	1.0204014675308684	1.2135307448247188	host	gene-AUO97_RS03915	None	None	1.382148967688135
gene-AUO97_RS11945	1.6624306644926798	0.9699438597968735	0.8970910196237273	0.8618368900556345	2.5385597484914286	1.904309784186482	host	gene-AUO97_RS11945	None	None	0.2621167248562836
gene-AUO97_RS14160	5.902833518850819	4.709147725100762	1.2351253168732477	1.2433615212265081	0.46356308450713046	0.4139803878666265	host	gene-AUO97_RS14160	None	None	2.0016958646852743
gene-AUO97_RS04355	1475.1031115669193	1081.4830227166042	387.1186811872218	336.77247876749	264.5880973630904	229.85896419421653	host	rplN	None	None	359.3831793120366
gene-AUO97_RS13405	44.78694484249685	27.311965610718662	17.887202978798825	15.99174304088288	10.988833979771115	10.956302867922224	host	gene-AUO97_RS13405	None	None	6.5736014768993005
gene-AUO97_RS02245	4.040630087308597	3.1807572562783277	0.7268098538618161	0.6801111821777418	0.5288666142690477	0.30856871503021693	host	gene-AUO97_RS02245	None	None	1.3602990910499841
gene-AUO97_RS14485	4.301903912502987	1.63075356544796	1.2459597494773988	0.9793601023359482	0.2004126117230075	0.5846565126888321	host	gene-AUO97_RS14485	None	None	1.1997706708202314
gene-AUO97_RS16460	0.07973288558717888	0.07753348199815135	0.07170991363898699	0.05636604905530637	0.07305207909327852	0.09133380259887203	host	gene-AUO97_RS16460	None	None	0.001461866761589992
gene-AUO97_RS09540	86.41644084795281	55.779053799129514	14.68212029113908	15.56388486955507	6.723752847355676	12.180720241192812	host	infA	None	None	26.801026554563336
gene-AUO97_RS11730	47.97112548624833	32.937278342214675	10.763912628621316	10.222433257518418	11.205713446003584	6.1974578775299705	host	hemB	None	None	11.722171129185199
