Geneid	5_R1	5_R2	30_R1	30_R2	60_R1	60_R2	120_R1	120_R2	Entity	Symbol
gene-TX72_RS08590	92	103	13	15	9	4	1	4	host	gene-TX72_RS08590
gene-TX72_RS01495	91	77	13	16	14	11	0	4	host	gene-TX72_RS01495
gene-TX72_RS07975	103	93	16	25	9	12	6	3	host	gene-TX72_RS07975
gene-TX72_RS07490	285	292	30	71	17	12	8	10	host	gene-TX72_RS07490
gene-TX72_RS03220	198	189	28	46	24	3	2	3	host	gene-TX72_RS03220
gene-TX72_RS03265	275	238	43	86	41	15	15	21	host	gene-TX72_RS03265
gene-TX72_RS06075	145	149	87	64	23	18	20	12	host	gene-TX72_RS06075
gene-TX72_RS01165	517	490	54	100	39	18	7	11	host	gene-TX72_RS01165
gene-TX72_RS06145	1704	1990	264	424	174	75	35	47	host	pheT
gene-TX72_RS00335	3413	3052	616	989	497	160	84	148	host	gene-TX72_RS00335
gene-TX72_RS01690	153	204	17	42	15	10	4	4	host	gene-TX72_RS01690
gene-TX72_RS07460	64	66	8	12	5	2	0	2	host	folB
gene-TX72_RS05980	271	220	51	77	48	15	13	9	host	fmt
gene-BSV9_gp53	0	0	2482	5716	37462	19733	8696	12061	phage	gene-BSV9_gp53
gene-TX72_RS01810	9	10	3	6	2	0	0	0	host	gene-TX72_RS01810
gene-TX72_RS11635	907	828	189	263	136	95	36	33	host	gene-TX72_RS11635
