Geneid	5_R1	5_R2	30_R1	30_R2	60_R1	60_R2	120_R1	120_R2	Entity	Symbol
gene-TX72_RS06845	67	114	137	478	207	50	41	89	host	gene-TX72_RS06845
gene-TX72_RS00470	155	132	17	29	17	5	2	3	host	gene-TX72_RS00470
gene-TX72_RS12050	34	14	2	12	4	2	2	1	host	gene-TX72_RS12050
gene-BSV9_gp128	0	0	98	253	3890	2014	22539	34506	phage	19
gene-TX72_RS06185	153	175	17	32	19	3	4	7	host	gene-TX72_RS06185
gene-TX72_RS07910	8	6	1	6	3	0	0	1	host	gene-TX72_RS07910
gene-TX72_RS10040	93	117	21	40	9	2	4	2	host	gene-TX72_RS10040
gene-TX72_RS08215	175	170	20	54	22	6	3	4	host	gene-TX72_RS08215
gene-TX72_RS04585	234	245	39	78	36	19	7	10	host	gene-TX72_RS04585
gene-TX72_RS12110	721	792	104	159	67	25	11	19	host	gene-TX72_RS12110
gene-TX72_RS00050	578	547	84	148	58	34	10	12	host	nusB
gene-TX72_RS01505	11	15	4	7	2	4	2	0	host	gene-TX72_RS01505
gene-TX72_RS09190	1842	1564	261	418	202	99	46	59	host	gene-TX72_RS09190
gene-TX72_RS11200	42	59	10	12	6	3	1	1	host	cysK
gene-TX72_RS07860	29	18	5	12	8	6	0	1	host	gene-TX72_RS07860
gene-TX72_RS02510	1793	1746	222	341	127	75	30	26	host	gpmI
gene-TX72_RS09035	79	58	7	19	3	6	3	3	host	gene-TX72_RS09035
gene-TX72_RS11355	39	57	8	14	10	2	1	2	host	gene-TX72_RS11355
gene-TX72_RS11445	67	50	7	15	11	3	2	2	host	gene-TX72_RS11445
gene-TX72_RS01005	2255	2662	214	331	132	87	68	45	host	gene-TX72_RS01005
gene-TX72_RS06225	284	329	41	78	31	11	5	3	host	gene-TX72_RS06225
gene-TX72_RS10855	27	36	5	12	5	4	2	4	host	gene-TX72_RS10855
gene-TX72_RS07690	70	87	16	22	9	7	2	0	host	gene-TX72_RS07690
gene-TX72_RS11000	345	336	179	268	138	78	25	70	host	gene-TX72_RS11000
gene-TX72_RS09250	248	308	33	57	20	5	6	9	host	gmk
gene-TX72_RS08765	270	262	40	56	16	10	4	5	host	gene-TX72_RS08765
gene-TX72_RS00430	143660	139672	29273	49002	20776	15923	6805	6574	host	gene-TX72_RS00430
gene-TX72_RS10165	847	857	162	233	119	82	24	32	host	gene-TX72_RS10165
gene-TX72_RS08885	326	414	56	98	50	20	10	22	host	gene-TX72_RS08885
gene-TX72_RS14610	103	91	20	24	8	4	2	2	host	gene-TX72_RS14610
gene-TX72_RS10115	1265	1180	398	523	201	160	96	83	host	gene-TX72_RS10115
gene-TX72_RS08035	21	21	3	4	2	2	0	0	host	gene-TX72_RS08035
gene-TX72_RS09530	958	1066	131	220	98	55	27	40	host	serS
gene-TX72_RS03005	266	277	28	73	45	12	3	5	host	gene-TX72_RS03005
gene-TX72_RS00960	927	948	192	291	138	75	61	41	host	gene-TX72_RS00960
gene-TX72_RS03770	577	579	70	132	52	30	15	18	host	gene-TX72_RS03770
gene-TX72_RS04335	226	168	22	26	16	5	3	6	host	gene-TX72_RS04335
gene-TX72_RS04375	47	61	16	10	10	1	2	1	host	gene-TX72_RS04375
gene-TX72_RS14450	31	37	9	16	8	0	4	4	host	gene-TX72_RS14450
gene-TX72_RS07900	57	71	14	23	9	2	2	1	host	gene-TX72_RS07900
gene-BSV9_gp110	0	0	418	1080	4755	2459	17181	25500	phage	14
gene-TX72_RS00270	520	458	56	98	27	20	14	11	host	gene-TX72_RS00270
gene-TX72_RS02360	4562	4912	524	1079	493	247	106	122	host	gene-TX72_RS02360
gene-TX72_RS02435	28	34	4	7	5	1	2	0	host	gene-TX72_RS02435
gene-TX72_RS06220	2613	2682	273	413	187	100	53	67	host	gene-TX72_RS06220
gene-TX72_RS05415	233	248	29	48	14	10	11	2	host	gene-TX72_RS05415
gene-TX72_RS00810	216	226	26	51	22	5	4	5	host	gene-TX72_RS00810
gene-TX72_RS12105	108	91	22	27	12	8	0	3	host	gene-TX72_RS12105
gene-TX72_RS08100	153	139	23	40	17	4	7	10	host	larB
gene-BSV9_gp130	0	0	403	1084	7158	3418	15092	22838	phage	gene-BSV9_gp130
gene-TX72_RS04525	117	147	18	24	8	4	4	3	host	gene-TX72_RS04525
gene-TX72_RS06565	179	153	16	43	17	15	6	3	host	gene-TX72_RS06565
gene-TX72_RS00170	68	49	10	14	10	8	2	0	host	gene-TX72_RS00170
gene-TX72_RS10795	764	927	105	193	93	32	13	20	host	gene-TX72_RS10795
gene-TX72_RS01635	118	113	15	21	18	5	4	3	host	gene-TX72_RS01635
gene-TX72_RS05905	574	544	60	119	45	19	4	9	host	mfd
gene-TX72_RS11415	129	133	26	40	22	10	8	11	host	gene-TX72_RS11415
gene-TX72_RS12085	254	270	90	207	106	53	25	30	host	gene-TX72_RS12085
gene-TX72_RS14335	49	47	7	4	3	1	2	0	host	gene-TX72_RS14335
gene-TX72_RS05470	769	796	122	170	96	38	23	27	host	glyS
gene-BSV9_gp13	0	0	265	739	2689	1439	4568	7836	phage	gene-BSV9_gp13
gene-TX72_RS09175	128	125	16	27	9	7	1	6	host	gene-TX72_RS09175
gene-TX72_RS00860	1480	1462	253	326	158	86	52	51	host	gene-TX72_RS00860
gene-TX72_RS01685	689	755	70	122	50	18	16	18	host	psbX
gene-TX72_RS12830	617	698	138	225	85	55	20	21	host	gene-TX72_RS12830
gene-TX72_RS07360	196	187	40	62	24	8	10	4	host	gene-TX72_RS07360
gene-TX72_RS02375	5319	7174	950	1448	821	288	188	238	host	gene-TX72_RS02375
gene-TX72_RS05420	150	133	14	35	18	8	2	8	host	gene-TX72_RS05420
gene-TX72_RS14420	111	158	36	29	22	6	4	9	host	gene-TX72_RS14420
gene-TX72_RS14435	666	611	91	128	33	18	11	9	host	gene-TX72_RS14435
gene-TX72_RS08095	253	274	36	71	39	15	10	13	host	gene-TX72_RS08095
gene-TX72_RS12505	142	134	20	50	22	6	5	4	host	gene-TX72_RS12505
gene-TX72_RS09155	1045	919	123	200	114	34	22	30	host	gene-TX72_RS09155
gene-TX72_RS10080	413	418	96	133	41	34	17	7	host	gene-TX72_RS10080
gene-TX72_RS01215	247	233	27	42	18	10	4	3	host	tgt
gene-TX72_RS14690	35	35	7	6	1	1	0	1	host	gene-TX72_RS14690
gene-TX72_RS03915	20	18	8	7	1	0	0	0	host	gene-TX72_RS03915
gene-TX72_RS00950	130	134	15	29	19	5	2	2	host	galE
gene-TX72_RS10550	206	184	44	95	54	36	18	17	host	gene-TX72_RS10550
gene-TX72_RS02290	53	52	5	16	9	1	1	7	host	gene-TX72_RS02290
gene-TX72_RS12670	412	427	45	74	39	19	6	15	host	gene-TX72_RS12670
gene-TX72_RS02535	326	321	37	48	28	17	5	7	host	gene-TX72_RS02535
gene-TX72_RS03355	601	545	64	86	37	26	15	11	host	infA
gene-TX72_RS00405	1611	1617	231	427	151	100	43	66	host	ribH
gene-BSV9_gp96	0	0	6733	19536	81270	36732	18859	25593	phage	gene-BSV9_gp96
gene-TX72_RS03865	864	840	110	207	75	51	21	24	host	accD
gene-BSV9_gp94	0	0	40119	90896	112280	63928	40265	52939	phage	gene-BSV9_gp94
gene-TX72_RS06310	101	105	28	41	12	7	1	6	host	gene-TX72_RS06310
gene-TX72_RS03890	292	297	25	51	21	12	6	10	host	purQ
gene-BSV9_gp46	0	0	10055	24418	117400	60071	32975	47913	phage	gene-BSV9_gp46
gene-TX72_RS14105	77	89	7	11	4	3	2	1	host	gene-TX72_RS14105
gene-TX72_RS10090	1151	994	294	374	156	126	43	33	host	gene-TX72_RS10090
gene-TX72_RS11830	1221	1559	227	344	160	86	25	27	host	rplK
gene-TX72_RS11095	843	1189	97	173	61	30	11	15	host	gene-TX72_RS11095
gene-TX72_RS12515	30	30	7	9	3	2	1	1	host	gene-TX72_RS12515
gene-TX72_RS07570	68	81	15	14	6	2	2	0	host	gene-TX72_RS07570
gene-TX72_RS10540	127	148	14	37	9	8	3	3	host	alr
gene-TX72_RS02370	2740	3821	410	647	402	110	56	85	host	atpE
gene-TX72_RS07470	40	30	6	8	6	2	0	0	host	gene-TX72_RS07470
gene-TX72_RS02420	13	15	2	6	0	0	1	1	host	gene-TX72_RS02420
gene-TX72_RS10510	482	519	57	114	37	27	11	13	host	truA
gene-TX72_RS03270	1324	1405	184	275	148	47	20	36	host	gene-TX72_RS03270
gene-TX72_RS12710	774	694	134	209	74	62	12	32	host	gene-TX72_RS12710
gene-TX72_RS03725	124	122	34	45	20	20	4	8	host	gene-TX72_RS03725
gene-TX72_RS11940	393	314	42	80	27	11	7	10	host	gene-TX72_RS11940
gene-TX72_RS01610	701	768	96	198	104	41	17	25	host	sufC
gene-TX72_RS05140	262	281	24	61	23	5	8	6	host	gene-TX72_RS05140
gene-TX72_RS02735	28	33	1	8	2	1	0	0	host	gene-TX72_RS02735
gene-TX72_RS02765	66	59	7	13	5	1	2	3	host	gene-TX72_RS02765
gene-TX72_RS00895	465	443	42	82	29	16	4	12	host	kdsA
gene-TX72_RS04925	70	89	15	27	6	9	2	1	host	gene-TX72_RS04925
gene-TX72_RS14790	129	137	22	38	17	9	6	2	host	gene-TX72_RS14790
gene-TX72_RS01485	188	186	33	42	24	9	4	4	host	gene-TX72_RS01485
gene-TX72_RS02810	271	297	23	53	27	12	5	9	host	plsY
gene-TX72_RS00480	90	102	15	22	18	3	2	5	host	miaA
gene-TX72_RS08505	310	311	38	71	25	14	3	9	host	gene-TX72_RS08505
gene-TX72_RS03965	278	251	53	103	32	25	8	12	host	ppk2
gene-TX72_RS12315	111	109	13	31	9	2	4	3	host	gene-TX72_RS12315
gene-TX72_RS05740	357	437	70	91	19	22	4	9	host	gene-TX72_RS05740
gene-TX72_RS14840	70	69	14	21	12	2	2	8	host	gene-TX72_RS14840
gene-TX72_RS05690	472	376	36	65	18	15	6	3	host	gene-TX72_RS05690
gene-TX72_RS00800	515	484	57	111	42	27	13	7	host	gene-TX72_RS00800
gene-TX72_RS05775	39	47	6	9	6	0	1	1	host	gene-TX72_RS05775
gene-TX72_RS11130	88	91	13	23	13	8	0	1	host	gene-TX72_RS11130
gene-TX72_RS06930	99	91	14	36	10	12	0	3	host	gene-TX72_RS06930
gene-TX72_RS10715	109	132	16	61	31	3	2	21	host	gene-TX72_RS10715
gene-TX72_RS02805	582	487	71	100	44	32	16	18	host	gene-TX72_RS02805
gene-BSV9_gp2	0	0	6325	16363	39422	16254	6720	10408	phage	59
gene-TX72_RS00225	84	119	15	18	15	9	2	1	host	cbiD
gene-TX72_RS07580	187	164	28	32	17	8	4	9	host	gene-TX72_RS07580
gene-TX72_RS02855	72	58	10	21	8	0	3	1	host	gene-TX72_RS02855
gene-TX72_RS02970	617	646	87	188	72	35	16	22	host	rpiA
gene-TX72_RS10910	44	29	4	8	4	3	1	2	host	gene-TX72_RS10910
gene-TX72_RS07245	111	98	23	43	17	8	6	15	host	gene-TX72_RS07245
gene-TX72_RS08805	1450	1374	163	286	125	49	25	50	host	ilvB
gene-TX72_RS11040	5779	5532	687	1017	431	254	150	133	host	psbU
gene-TX72_RS11745	213	207	25	43	27	8	4	4	host	ylqF
gene-TX72_RS05335	155	152	20	36	15	5	6	4	host	gene-TX72_RS05335
gene-TX72_RS03860	107	109	15	30	9	2	4	3	host	gene-TX72_RS03860
gene-TX72_RS03240	31	31	4	4	4	3	0	0	host	gene-TX72_RS03240
gene-TX72_RS03660	157	123	25	44	20	6	6	8	host	zwf
gene-TX72_RS06445	98	101	9	25	15	14	3	4	host	gene-TX72_RS06445
gene-TX72_RS02670	673	703	116	165	68	34	12	19	host	gene-TX72_RS02670
gene-TX72_RS13735	187	183	85	137	110	70	20	33	host	gene-TX72_RS13735
gene-TX72_RS04820	21	34	5	4	4	2	1	1	host	gene-TX72_RS04820
gene-TX72_RS07915	4	2	2	4	1	0	1	0	host	gene-TX72_RS07915
gene-TX72_RS14460	94	86	19	24	8	6	2	5	host	gene-TX72_RS14460
gene-TX72_RS10450	1442	1785	225	337	250	84	29	68	host	rpsH
gene-BSV9_gt19	0	0	455	1491	3582	1323	918	1761	phage	gene-BSV9_gt19
gene-TX72_RS06780	377	369	92	166	68	45	18	14	host	gene-TX72_RS06780
gene-TX72_RS11990	147	154	15	26	12	7	4	1	host	gene-TX72_RS11990
gene-TX72_RS05390	96	104	19	20	18	8	3	2	host	lspA
gene-TX72_RS11440	414	380	50	103	32	17	8	9	host	gene-TX72_RS11440
gene-TX72_RS00820	175	177	28	42	37	9	4	8	host	gene-TX72_RS00820
gene-TX72_RS08470	114	105	8	25	6	4	2	4	host	trmH
gene-TX72_RS09855	1125	916	164	254	118	52	28	27	host	gene-TX72_RS09855
gene-TX72_RS07115	8	5	0	3	0	2	0	0	host	gene-TX72_RS07115
gene-TX72_RS03785	308	403	36	68	44	4	6	13	host	gene-TX72_RS03785
gene-TX72_RS14085	11	4	0	6	0	1	0	0	host	gene-TX72_RS14085
gene-TX72_RS03075	161	154	29	43	14	9	2	3	host	gene-TX72_RS03075
gene-TX72_RS08465	26	32	6	1	2	1	1	1	host	gene-TX72_RS08465
gene-TX72_RS11820	7267	7872	1607	2172	1222	632	215	276	host	rplJ
gene-TX72_RS14195	111	154	25	35	15	9	4	2	host	gene-TX72_RS14195
gene-TX72_RS05305	27	34	4	11	2	4	3	0	host	gene-TX72_RS05305
gene-TX72_RS01965	21	36	12	5	10	2	0	1	host	gene-TX72_RS01965
gene-TX72_RS04025	415	350	36	99	32	16	6	5	host	gene-TX72_RS04025
gene-TX72_RS08490	711	716	78	195	92	42	9	24	host	lepA
gene-BSV9_gp54	0	0	1169	3125	24474	12786	6424	8653	phage	gene-BSV9_gp54
gene-TX72_RS11075	414	407	52	53	21	11	10	7	host	gene-TX72_RS11075
gene-TX72_RS04080	692	843	53	95	40	19	10	8	host	gene-TX72_RS04080
gene-TX72_RS13420	26	15	18	39	14	4	3	4	host	gene-TX72_RS13420
gene-TX72_RS01570	24	21	4	10	4	0	1	4	host	gene-TX72_RS01570
gene-TX72_RS10030	76	49	27	51	157	6	3	26	host	gene-TX72_RS10030
gene-TX72_RS05225	409	360	76	83	18	12	4	7	host	gene-TX72_RS05225
gene-TX72_RS00605	463	430	54	98	51	19	12	14	host	gene-TX72_RS00605
gene-TX72_RS02640	472	544	49	96	43	21	2	10	host	gene-TX72_RS02640
gene-TX72_RS12415	69	52	37	90	58	18	15	26	host	gene-TX72_RS12415
gene-TX72_RS07095	37	39	3	11	4	3	1	0	host	gene-TX72_RS07095
gene-TX72_RS10850	233	207	31	63	28	26	7	5	host	gene-TX72_RS10850
gene-TX72_RS09900	70	90	18	38	18	9	5	6	host	gene-TX72_RS09900
gene-TX72_RS08945	107	114	12	39	18	8	3	1	host	cutA
gene-TX72_RS12405	260	208	62	88	68	14	9	20	host	ureC
gene-TX72_RS12240	94	95	12	32	10	2	2	0	host	mazG
gene-TX72_RS13880	25	34	12	43	16	8	4	5	host	gene-TX72_RS13880
gene-TX72_RS06155	1904	1822	208	327	112	79	57	48	host	apcD
gene-TX72_RS14355	116	89	13	24	9	7	0	3	host	gene-TX72_RS14355
gene-TX72_RS05670	77	65	15	14	9	3	2	2	host	gene-TX72_RS05670
gene-TX72_RS09740	664	522	136	245	92	59	16	31	host	gene-TX72_RS09740
gene-TX72_RS13825	15	18	4	4	3	1	0	0	host	gene-TX72_RS13825
gene-TX72_RS06025	96	96	13	13	14	6	1	1	host	gene-TX72_RS06025
gene-TX72_RS11180	131	139	19	27	13	2	2	7	host	gene-TX72_RS11180
gene-BSV9_gp47	0	0	5870	14127	77373	33879	16169	24609	phage	gene-BSV9_gp47
gene-TX72_RS05865	144	138	23	33	16	9	2	6	host	gene-TX72_RS05865
gene-TX72_RS06635	105	87	20	28	11	3	2	2	host	gene-TX72_RS06635
gene-TX72_RS08700	1056	1020	131	199	90	51	20	24	host	gene-TX72_RS08700
gene-TX72_RS09865	271	238	32	49	24	8	6	9	host	mtnB
gene-TX72_RS02045	868	861	88	144	64	31	10	19	host	purB
gene-TX72_RS12625	82	80	14	23	5	3	3	5	host	gene-TX72_RS12625
gene-TX72_RS10465	1271	1508	166	221	202	49	19	21	host	rpsE
gene-BSV9_gp89	55	122	23416	61184	46351	19985	6079	8734	phage	gene-BSV9_gp89
gene-TX72_RS13980	126	151	23	29	6	5	3	0	host	gene-TX72_RS13980
gene-TX72_RS01725	198	202	28	43	24	16	7	11	host	smc
gene-TX72_RS08845	92	92	30	31	17	10	10	5	host	gene-TX72_RS08845
gene-TX72_RS12720	236	246	41	71	29	12	6	1	host	recN
gene-TX72_RS03145	1033	974	114	223	93	54	19	20	host	rfbB
gene-TX72_RS03880	7646	11279	892	1321	585	276	118	185	host	fba
gene-TX72_RS08105	127	146	21	35	14	2	5	3	host	gene-TX72_RS08105
gene-TX72_RS02005	372	353	50	57	27	13	10	3	host	gene-TX72_RS02005
gene-TX72_RS02285	50	60	8	8	4	3	2	3	host	gene-TX72_RS02285
gene-TX72_RS07410	632	734	129	213	105	49	15	24	host	trpS
gene-TX72_RS11470	1608	1817	221	338	156	81	47	42	host	nuoH
gene-TX72_RS13125	153	119	36	55	32	10	28	14	host	gene-TX72_RS13125
gene-BSV9_gp114	0	0	355	929	10595	5866	29488	44956	phage	gene-BSV9_gp114
gene-TX72_RS06250	329	283	33	66	33	11	2	15	host	gene-TX72_RS06250
gene-TX72_RS10300	114	119	14	27	25	3	1	7	host	larE
gene-TX72_RS06325	147	130	22	33	19	6	4	2	host	purN
gene-TX72_RS14240	195	176	39	86	27	20	12	9	host	gene-TX72_RS14240
gene-TX72_RS11150	266	230	33	53	15	10	5	2	host	gene-TX72_RS11150
gene-TX72_RS03195	61	56	6	12	5	2	0	0	host	gene-TX72_RS03195
gene-TX72_RS01600	1549	1579	128	249	106	82	12	31	host	gene-TX72_RS01600
gene-TX72_RS13045	406	396	124	156	76	29	15	18	host	gene-TX72_RS13045
gene-TX72_RS12795	332	320	38	77	27	17	13	6	host	gene-TX72_RS12795
gene-TX72_RS06925	44	44	9	9	6	3	3	1	host	gene-TX72_RS06925
gene-TX72_RS00435	165	135	61	70	29	23	9	17	host	gene-TX72_RS00435
gene-TX72_RS09145	66	86	9	26	9	5	1	3	host	gene-TX72_RS09145
gene-TX72_RS08830	46	34	8	7	3	0	1	2	host	gene-TX72_RS08830
gene-TX72_RS14405	23	17	7	6	2	3	1	1	host	gene-TX72_RS14405
gene-TX72_RS04270	146	191	11	35	9	11	1	3	host	gene-TX72_RS04270
gene-TX72_RS02780	70	83	17	20	11	7	2	1	host	gene-TX72_RS02780
gene-TX72_RS09420	167	149	27	42	23	11	4	7	host	gene-TX72_RS09420
gene-TX72_RS14135	6	6	3	3	3	0	0	0	host	gene-TX72_RS14135
gene-TX72_RS00465	196	221	20	26	6	4	0	1	host	gene-TX72_RS00465
gene-TX72_RS04215	982	1043	124	187	71	48	22	15	host	gene-TX72_RS04215
gene-TX72_RS09160	108	107	14	33	13	6	2	3	host	ebsA
gene-TX72_RS10925	87	72	7	5	8	1	1	2	host	gene-TX72_RS10925
gene-TX72_RS00885	126	134	20	51	22	12	3	1	host	gene-TX72_RS00885
gene-TX72_RS06340	1220	1431	149	216	92	44	14	27	host	gene-TX72_RS06340
gene-TX72_RS04885	436	450	49	118	38	24	5	15	host	gene-TX72_RS04885
gene-TX72_RS12275	414	412	43	82	41	13	11	7	host	gcvT
gene-BSV9_gp25	0	0	6981	19115	25663	12870	5280	7401	phage	gene-BSV9_gp25
gene-TX72_RS12135	132	150	17	47	11	5	1	4	host	gene-TX72_RS12135
gene-TX72_RS11655	482	440	81	93	48	14	17	13	host	gene-TX72_RS11655
gene-BSV9_gp190	0	0	1269	3217	6410	3371	11448	18447	phage	gene-BSV9_gp190
gene-TX72_RS09475	159	169	32	52	21	12	2	5	host	gene-TX72_RS09475
gene-TX72_RS01360	62	50	10	10	6	2	2	0	host	gene-TX72_RS01360
gene-TX72_RS09070	92	87	15	27	15	4	0	4	host	larC
gene-TX72_RS01590	147	109	12	17	15	3	3	3	host	gene-TX72_RS01590
gene-BSV9_gp172	0	1	5661	14504	44837	23114	16404	21845	phage	gene-BSV9_gp172
gene-TX72_RS12450	117	119	27	38	21	5	5	7	host	gene-TX72_RS12450
gene-TX72_RS03140	631	623	151	258	89	61	28	25	host	gene-TX72_RS03140
gene-TX72_RS08555	292	296	66	100	45	29	7	5	host	gene-TX72_RS08555
gene-TX72_RS03390	1053	1161	235	407	171	84	40	42	host	gene-TX72_RS03390
gene-TX72_RS06015	995	985	137	202	97	56	19	20	host	gene-TX72_RS06015
gene-TX72_RS10890	283	287	68	67	52	15	11	13	host	gene-TX72_RS10890
gene-BSV9_gp149	0	0	895	2861	13722	6464	3968	6492	phage	gene-BSV9_gp149
gene-BSV9_gp226	0	0	8244	21430	57809	30984	21476	31375	phage	gene-BSV9_gp226
gene-TX72_RS01050	98	98	14	32	12	4	3	4	host	gene-TX72_RS01050
gene-TX72_RS13345	603	672	122	178	80	60	37	22	host	gene-TX72_RS13345
gene-TX72_RS04265	154	143	19	33	17	6	2	4	host	gene-TX72_RS04265
gene-TX72_RS10085	629	587	128	177	74	49	23	24	host	gene-TX72_RS10085
gene-TX72_RS03920	131	146	30	42	24	9	3	6	host	gene-TX72_RS03920
gene-BSV9_gp164	0	0	1509	3706	7576	4069	4427	7221	phage	gene-BSV9_gp164
gene-TX72_RS04380	33	27	6	9	2	4	1	0	host	gene-TX72_RS04380
gene-TX72_RS05645	462	521	85	116	45	22	13	12	host	cobW
gene-TX72_RS06305	544	426	63	74	51	20	15	19	host	gene-TX72_RS06305
gene-TX72_RS07140	115	107	28	37	23	15	12	6	host	gene-TX72_RS07140
gene-TX72_RS10425	1333	1323	198	254	223	59	36	45	host	rpmC
gene-TX72_RS05920	14	10	1	12	4	0	0	2	host	gene-TX72_RS05920
gene-TX72_RS05730	13	7	2	4	3	0	0	0	host	gene-TX72_RS05730
gene-TX72_RS07375	301	253	48	70	25	17	10	1	host	gene-TX72_RS07375
gene-TX72_RS05550	218	200	47	72	28	9	9	8	host	gene-TX72_RS05550
gene-TX72_RS03575	104	93	10	35	15	6	2	5	host	gene-TX72_RS03575
gene-TX72_RS10555	26	21	12	14	16	11	2	5	host	gene-TX72_RS10555
gene-TX72_RS09195	598	468	157	245	71	75	32	60	host	gene-TX72_RS09195
gene-TX72_RS14225	105	90	23	27	22	7	11	8	host	gene-TX72_RS14225
gene-TX72_RS01455	23	23	6	10	4	3	2	4	host	gene-TX72_RS01455
gene-TX72_RS11540	58	74	18	18	11	3	5	6	host	gene-TX72_RS11540
gene-TX72_RS01905	15	6	4	5	3	0	0	2	host	gene-TX72_RS01905
gene-TX72_RS01640	236	268	25	44	11	7	4	5	host	gene-TX72_RS01640
gene-TX72_RS03035	780	764	95	138	53	38	24	21	host	gene-TX72_RS03035
gene-TX72_RS00100	612	584	87	132	55	30	14	24	host	gene-TX72_RS00100
gene-TX72_RS11980	435	469	70	68	42	22	10	18	host	gene-TX72_RS11980
gene-TX72_RS13035	595	579	213	333	139	111	44	43	host	gene-TX72_RS13035
gene-BSV9_gp223	0	0	3817	13927	41296	19913	9662	17122	phage	gene-BSV9_gp223
gene-TX72_RS00085	195	178	33	43	27	11	2	5	host	gene-TX72_RS00085
gene-TX72_RS00985	101	102	19	28	7	6	3	4	host	gene-TX72_RS00985
gene-TX72_RS01955	38	24	1	6	2	2	2	0	host	gene-TX72_RS01955
gene-TX72_RS08125	192	183	23	43	14	5	3	4	host	era
gene-TX72_RS10665	22	40	3	12	2	2	0	0	host	gene-TX72_RS10665
gene-TX72_RS07795	454	380	109	172	72	30	20	16	host	gene-TX72_RS07795
gene-TX72_RS03000	7738	8230	1134	1850	928	401	147	221	host	gene-TX72_RS03000
gene-TX72_RS08725	54	44	7	17	6	5	0	2	host	gene-TX72_RS08725
gene-BSV9_gp92	0	0	8994	21583	12593	7230	4034	5914	phage	gene-BSV9_gp92
gene-TX72_RS08210	1732	1586	208	314	139	70	46	54	host	lpdA
gene-TX72_RS01335	361	390	50	73	18	12	4	9	host	gene-TX72_RS01335
gene-TX72_RS10060	811	895	154	170	67	35	23	24	host	gene-TX72_RS10060
gene-BSV9_gp181	0	0	7484	20227	30336	16506	3972	5196	phage	gene-BSV9_gp181
gene-TX72_RS01575	253	357	38	54	25	14	12	20	host	gene-TX72_RS01575
gene-BSV9_gt28	0	0	4748	18020	34146	11965	5479	11076	phage	gene-BSV9_gt28
gene-TX72_RS03260	222	184	37	63	14	11	4	6	host	gene-TX72_RS03260
gene-TX72_RS08050	37	35	6	15	4	2	4	1	host	gene-TX72_RS08050
gene-TX72_RS14890	24	23	0	4	5	0	0	0	host	gene-TX72_RS14890
gene-BSV9_gp97	0	0	4255	12945	50156	22561	11843	18051	phage	gene-BSV9_gp97
gene-TX72_RS08430	434	397	48	41	14	8	5	7	host	gene-TX72_RS08430
gene-BSV9_gp42	0	1	12633	31324	141827	73827	48768	68962	phage	gene-BSV9_gp42
gene-TX72_RS08995	1395	1497	172	255	126	47	33	38	host	hemC
gene-TX72_RS09470	544	588	102	153	64	28	14	15	host	gene-TX72_RS09470
gene-TX72_RS05535	79	82	33	43	20	11	5	6	host	gene-TX72_RS05535
gene-TX72_RS02025	358	319	57	89	39	11	8	7	host	gene-TX72_RS02025
gene-TX72_RS12205	22	17	7	9	11	4	1	1	host	gene-TX72_RS12205
gene-BSV9_gp101	0	0	7473	17592	80230	40548	131146	207139	phage	gene-BSV9_gp101
gene-TX72_RS02580	141	145	16	34	12	4	2	5	host	gene-TX72_RS02580
gene-TX72_RS11930	65	70	5	14	4	2	0	0	host	gene-TX72_RS11930
gene-TX72_RS04685	17	24	5	9	2	0	1	0	host	gene-TX72_RS04685
gene-TX72_RS03830	179	215	22	56	21	9	4	6	host	gene-TX72_RS03830
gene-TX72_RS04690	46	40	6	15	7	4	1	1	host	gene-TX72_RS04690
gene-TX72_RS05105	485	590	80	113	69	22	11	16	host	gene-TX72_RS05105
gene-TX72_RS07025	50	52	5	5	4	3	2	1	host	gene-TX72_RS07025
gene-TX72_RS10585	23	19	7	15	6	6	4	2	host	gene-TX72_RS10585
gene-BSV9_gp210	1	0	23218	70654	161659	72010	22882	34262	phage	gene-BSV9_gp210
gene-TX72_RS09380	82	110	10	24	13	7	2	5	host	gene-TX72_RS09380
gene-TX72_RS08890	81	129	17	35	14	9	0	4	host	gene-TX72_RS08890
gene-TX72_RS13715	145	119	21	31	12	11	2	1	host	gene-TX72_RS13715
gene-BSV9_gp35	0	0	774	1864	18903	10285	22150	31586	phage	gene-BSV9_gp35
gene-TX72_RS11240	170	163	26	40	23	9	1	3	host	gene-TX72_RS11240
gene-TX72_RS05210	20	23	3	4	2	1	0	1	host	gene-TX72_RS05210
gene-TX72_RS01085	94	105	15	24	10	5	1	2	host	gene-TX72_RS01085
gene-TX72_RS05490	255	263	44	58	24	13	10	8	host	gene-TX72_RS05490
gene-TX72_RS11740	119	113	25	38	8	5	3	1	host	gene-TX72_RS11740
gene-TX72_RS10885	77	88	21	25	14	6	3	2	host	hflX
gene-TX72_RS02560	170	171	22	41	17	13	7	9	host	gene-TX72_RS02560
gene-TX72_RS11125	94	95	10	23	9	8	1	5	host	rbfA
gene-TX72_RS07620	199	237	28	46	22	6	4	4	host	gene-TX72_RS07620
gene-TX72_RS04860	169	142	18	41	17	10	2	3	host	gene-TX72_RS04860
gene-TX72_RS08090	41	39	8	6	5	2	1	2	host	thiS
gene-TX72_RS03100	156	199	35	55	19	5	6	3	host	gene-TX72_RS03100
gene-TX72_RS08685	51	47	11	18	12	3	5	3	host	gene-TX72_RS08685
gene-TX72_RS02115	1338	1239	166	299	123	63	37	35	host	gene-TX72_RS02115
