Geneid	15	60	180	300	420	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-SynWH7803_1779	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1779	None	None	22.32857587149693
gene-SynWH7803_0777	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0777	None	None	6.428583477370031
gene-SynWH7803_0001	0.0	0.0	0.0	0.0	0.0	host	dnaN	None	None	31.497454907474335
gene-SynWH7803_0407	0.0	0.0	0.0	0.0	0.0	host	rpsI	None	None	759.5139309141297
gene-SynWH7803_0812	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0812	None	None	5.095709024643148
gene-SynWH7803_1796	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1796	None	None	120.87894117531948
gene-SynWH7803_0558	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0558	None	None	93.52451159730369
gene-SynWH7803_0412	0.0	0.0	0.0	0.0	0.0	host	rpsK	None	None	566.4733470046189
gene-SynWH7803_1166	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1166	None	None	62.901542057475446
gene-RNA_14	0.0	0.0	0.0	0.0	0.0	host	gene-RNA_14	None	None	54.90493288101741
gene-SynWH7803_1291	0.0	0.0	0.0	0.0	0.0	host	rpmG	None	None	974.9646750014201
gene-SynWH7803_2456	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2456	None	None	76.26311854067464
gene-SynWH7803_0935	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0935	None	None	6.991710029619312
gene-SynWH7803_1073	0.0	0.0	0.0	0.0	0.0	host	dnaG	None	None	0.39599964363129914
gene-SynWH7803_0664	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0664	None	None	6.0335234071647506
gene-SynWH7803_1394	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1394	None	None	18.670840889718352
gene-SynWH7803_1340	0.0	0.0	0.0	0.0	0.0	host	lspA	None	None	36.555187657151365
gene-SynWH7803_0956	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0956	None	None	23.045227155138
gene-SynWH7803_0910	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0910	None	None	10.65573881728341
gene-SynWH7803_0481	0.0	0.0	0.0	0.0	0.0	host	pebB	None	None	41.70705798485363
gene-SynWH7803_0669	0.0	0.0	0.0	0.0	0.0	host	por	None	None	67.28635721894517
gene-SynWH7803_1672	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1672	None	None	7.894011354490939
gene-SynWH7803_0222	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0222	None	None	43.42673559451462
gene-SynWH7803_0027	0.0	0.0	0.0	0.0	0.0	host	murB	None	None	11.504186950991462
gene-SynWH7803_1370	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1370	None	None	70.94466517115137
gene-SynWH7803_2040	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2040	None	None	7.642557496859301
