Geneid	30	480	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-SynWH7803_0440	0.0	0.0	host	gene-SynWH7803_0440	None	None	0.25440387179794033
gene-SynWH7803_0460	0.0	0.0	host	mrp	None	None	0.4384994715925451
gene-SynWH7803_1365	0.0	0.0	host	ispE	None	None	0.018640428830545154
gene-SynWH7803_2164	0.0	0.0	host	pmg	None	None	0.2739336501755963
gene-SynWH7803_0614	0.0	0.0	host	argB	None	None	0.058128378513747275
gene-SynWH7803_0060	0.0	0.0	host	gene-SynWH7803_0060	None	None	0.010633722785504666
gene-RNA_23	0.0	0.0	host	gene-RNA_23	None	None	1.3970711514946341
gene-SynWH7803_1771	0.0	0.0	host	gene-SynWH7803_1771	None	None	1.1630229648796457
gene-SynWH7803_1315	0.0	0.0	host	gene-SynWH7803_1315	None	None	0.015262774122017552
gene-SynWH7803_0511	0.0	0.0	host	gene-SynWH7803_0511	None	None	4.486718512226885
gene-SynWH7803_1508	0.0	0.0	host	recB	None	None	0.0682269119424441
gene-SynWH7803_1472	0.0	0.0	host	aspC	None	None	0.043378111946972275
gene-SynWH7803_0084	0.0	0.0	host	mutS	None	None	0.19599597991202114
gene-SynWH7803_2335	0.0	0.0	host	gene-SynWH7803_2335	None	None	0.1934781999404155
gene-SynWH7803_2200	0.0	0.0	host	gene-SynWH7803_2200	None	None	0.5016858131501697
gene-SynWH7803_2176	0.0	0.0	host	hflX	None	None	0.010232078545325558
gene-SynWH7803_2259	0.0	0.0	host	devB	None	None	3.3123722577312726
gene-SynWH7803_0603	0.0	0.0	host	gene-SynWH7803_0603	None	None	0.00017988179975974075
gene-SynWH7803_1878	0.0	0.0	host	gene-SynWH7803_1878	None	None	0.27922606871698363
gene-SynWH7803_1292	0.0	0.0	host	rpsR	None	None	2.7300296521346086
gene-SynWH7803_1237	0.0	0.0	host	rpmB	None	None	11.82520187795587
gene-SynWH7803_1425	0.0	0.0	host	gene-SynWH7803_1425	None	None	0.3335729144810826
gene-SynWH7803_1906	0.0	0.0	host	gene-SynWH7803_1906	None	None	0.5652497085572163
gene-SynWH7803_2376	0.0	0.0	host	secE	None	None	0.78609440164699
gene-SynWH7803_0478	0.0	0.0	host	gene-SynWH7803_0478	None	None	2.4701103264189763
gene-SynWH7803_2493	0.0	0.0	host	gene-SynWH7803_2493	None	None	73.62446384873824
gene-SynWH7803_1589	0.0	0.0	host	gyrA	None	None	0.12365932435648443
gene-SynWH7803_0450	0.0	0.0	host	gene-SynWH7803_0450	None	None	0.1932331960640209
gene-SynWH7803_0030	0.0	0.0	host	thiL	None	None	0.7339335707620938
gene-SynWH7803_2501	0.0	0.0	host	rpoD	None	None	11.669674817537205
gene-SynWH7803_0978	0.0	0.0	host	gene-SynWH7803_0978	None	None	0.02308783051840189
gene-SynWH7803_0002	0.0	0.0	host	gene-SynWH7803_0002	None	None	0.266824975420078
gene-SynWH7803_1987	0.0	0.0	host	gene-SynWH7803_1987	None	None	4.159036869450071
gene-SynWH7803_0161	0.0	0.0	host	gene-SynWH7803_0161	None	None	1.643702314688544
gene-SynWH7803_0943	0.0	0.0	host	gene-SynWH7803_0943	None	None	0.009860145403798422
gene-SynWH7803_1974	0.0	0.0	host	nagB	None	None	0.2374796268994376
gene-SynWH7803_0705	0.0	0.0	host	gene-SynWH7803_0705	None	None	12.874065243443585
gene-SynWH7803_1880	0.0	0.0	host	gene-SynWH7803_1880	None	None	4.2650390435084227e-05
gene-SynWH7803_1582	0.0	0.0	host	gene-SynWH7803_1582	None	None	0.39978772396722484
gene-SynWH7803_0931	0.0	0.0	host	hli	None	None	1.391647980015067
gene-SynWH7803_0897	0.0	0.0	host	gene-SynWH7803_0897	None	None	7.684743265110887
gene-SynWH7803_0315	0.0	0.0	host	pth	None	None	0.10141914970471047
gene-SynWH7803_1900	0.0	0.0	host	gene-SynWH7803_1900	None	None	1.6841447670647491
gene-SynWH7803_0763	0.0	0.0	host	gene-SynWH7803_0763	None	None	0.13072809855301779
gene-SynWH7803_1620	0.0	0.0	host	gene-SynWH7803_1620	None	None	1.086184897883671
gene-SynWH7803_0639	0.0	0.0	host	pyrH	None	None	3.1375847060305815
gene-SynWH7803_1869	0.0	0.0	host	ctaB	None	None	0.02613718684534367
gene-SynWH7803_1287	0.0	0.0	host	gene-SynWH7803_1287	None	None	0.0558220497876235
gene-SynWH7803_2101	0.0	0.0	host	gene-SynWH7803_2101	None	None	0.7916352471904271
gene-SynWH7803_0053	0.0	0.0	host	gene-SynWH7803_0053	None	None	20.398170375039268
gene-SynWH7803_2141	0.0	0.0	host	def	None	None	1.398279570057401
gene-SynWH7803_2408	0.0	0.0	host	gene-SynWH7803_2408	None	None	0.5983145051950766
gene-SynWH7803_2297	0.0	0.0	host	gene-SynWH7803_2297	None	None	0.09171616220010186
