Geneid	30_R1	480_R1	Entity	Symbol
gene-SynWH7803_0852	66	60	host	gene-SynWH7803_0852
gene-SynWH7803_0947	239	356	host	gene-SynWH7803_0947
gene-SynWH7803_0939	207	284	host	gene-SynWH7803_0939
gene-SynWH7803_1647	3918	2682	host	psbD
gene-SynWH7803_1776	925	650	host	chlG
gene-SynWH7803_1914	185	163	host	gene-SynWH7803_1914
gene-SynWH7803_0234	99	137	host	pcnB
gene-SynWH7803_0469	70	52	host	gene-SynWH7803_0469
gene-SynWH7803_0679	1186	1020	host	rbcS%2C cbbS
gene-SynWH7803_1364	322	278	host	gene-SynWH7803_1364
gene-SynWH7803_0764	186	176	host	proA
gene-SynWH7803_1921	333	289	host	gene-SynWH7803_1921
gene-SynWH7803_2080	306	301	host	gene-SynWH7803_2080
gene-SynWH7803_0572	2158	1218	host	gene-SynWH7803_0572
gene-SynWH7803_1126	129	122	host	gene-SynWH7803_1126
gene-SynWH7803_0608	719	548	host	gene-SynWH7803_0608
gene-SynWH7803_2227	92	89	host	gene-SynWH7803_2227
gene-SynWH7803_1791	26	27	host	gene-SynWH7803_1791
gene-SynWH7803_2464	270	220	host	gene-SynWH7803_2464
gene-SynWH7803_1570	171	230	host	folD
gene-SynWH7803_1236	2393	1970	host	ccp
gene-SynWH7803_0253	727	855	host	ndhK%2C nukC
gene-SynWH7803_0863	163	173	host	gene-SynWH7803_0863
gene-SynWH7803_0173	115	90	host	mreC
gene-SynWH7803_1270	151	98	host	gene-SynWH7803_1270
gene-SynWH7803_1544	259	256	host	gene-SynWH7803_1544_gene_rpoD
gene-SynWH7803_2241	483	465	host	gene-SynWH7803_2241
gene-SynWH7803_2076	314	299	host	gene-SynWH7803_2076
gene-SSBP1_gp39	38	470	phage	gene-SSBP1_gp39
gene-SynWH7803_1282	305	272	host	gene-SynWH7803_1282
gene-SynWH7803_1879	102	91	host	gene-SynWH7803_1879
gene-SynWH7803_1580	1028	1235	host	petF
gene-SynWH7803_1487	369	371	host	gene-SynWH7803_1487
gene-SynWH7803_2132	176	172	host	gene-SynWH7803_2132
gene-SynWH7803_0365	225	223	host	nctP
gene-SynWH7803_1567	245	247	host	gene-SynWH7803_1567
gene-SynWH7803_1462	138	172	host	gene-SynWH7803_1462
gene-SynWH7803_1449	394	397	host	gene-SynWH7803_1449
gene-SynWH7803_0813	100	164	host	gene-SynWH7803_0813
gene-SynWH7803_1718	589	458	host	gene-SynWH7803_1718
gene-SynWH7803_0124	269	219	host	gene-SynWH7803_0124
gene-SynWH7803_1912	205	219	host	gene-SynWH7803_1912
gene-SynWH7803_1427	259	258	host	gene-SynWH7803_1427
gene-SynWH7803_2286	167	170	host	gene-SynWH7803_2286
gene-SynWH7803_0496	1028	734	host	gene-SynWH7803_0496
gene-SynWH7803_1305	2753	1721	host	gene-SynWH7803_1305
gene-SynWH7803_1619	119	83	host	gene-SynWH7803_1619
gene-SynWH7803_0709	85	69	host	gene-SynWH7803_0709
gene-SynWH7803_1785	148	121	host	dppC
gene-SynWH7803_0313	1345	941	host	psbH
gene-SynWH7803_2451	108	86	host	gene-SynWH7803_2451
gene-SynWH7803_2480	458	860	host	ntrP or napA
gene-SynWH7803_0960	200	117	host	gene-SynWH7803_0960
gene-SynWH7803_2462	157	126	host	gene-SynWH7803_2462
gene-SynWH7803_1686	496	283	host	gene-SynWH7803_1686
gene-SynWH7803_1799	3020	1714	host	gene-SynWH7803_1799
gene-SynWH7803_0561	114	164	host	cobI
gene-SynWH7803_1455	244	372	host	gene-SynWH7803_1455
gene-SSBP1_gp12	12	167	phage	gene-SSBP1_gp12
gene-SynWH7803_1490	218	202	host	hslO
gene-SynWH7803_1877	185	233	host	gene-SynWH7803_1877
gene-SynWH7803_1534	77	97	host	gene-SynWH7803_1534
gene-SynWH7803_1040	758	647	host	acsA
gene-SynWH7803_2483	3378	1923	host	gene-SynWH7803_2483
gene-SynWH7803_1813	121	105	host	gene-SynWH7803_1813
gene-SynWH7803_2077	567	479	host	nusA
gene-SynWH7803_1375	1797	1769	host	gene-SynWH7803_1375
gene-SynWH7803_0921	220	233	host	gene-SynWH7803_0921
gene-SynWH7803_1290	577	575	host	pheT
gene-SynWH7803_1419	312	246	host	gene-SynWH7803_1419
gene-SynWH7803_0778	79	62	host	gene-SynWH7803_0778
gene-SynWH7803_0659	1062	880	host	gene-SynWH7803_0659
gene-SynWH7803_2317	95	80	host	menC
gene-SynWH7803_0092	3602	2142	host	galE
gene-SynWH7803_0816	75	85	host	gene-SynWH7803_0816
gene-SynWH7803_1263	131	153	host	nifS
gene-SynWH7803_1497	6586	2793	host	gene-SynWH7803_1497
gene-SynWH7803_0916	168	181	host	uraA
gene-SynWH7803_1264	96	99	host	gene-SynWH7803_1264
gene-SynWH7803_1347	1055	1826	host	glnAI
gene-SynWH7803_2058	297	339	host	gene-SynWH7803_2058
gene-SynWH7803_0129	4884	4060	host	gene-SynWH7803_0129
gene-SynWH7803_1477	319	354	host	gene-SynWH7803_1477
gene-SynWH7803_2436	454	436	host	gene-SynWH7803_2436
gene-SynWH7803_1322	127	137	host	gene-SynWH7803_1322
gene-SynWH7803_0751	219	255	host	gene-SynWH7803_0751
gene-SynWH7803_1049	748	571	host	gene-SynWH7803_1049
gene-SynWH7803_2160	837	670	host	gene-SynWH7803_2160
gene-SynWH7803_0384	278	224	host	gene-SynWH7803_0384
gene-SynWH7803_0507	282	263	host	gene-SynWH7803_0507
gene-SynWH7803_1542	611	489	host	aarF
gene-SynWH7803_1481	41	52	host	gene-SynWH7803_1481
gene-SSBP1_gp10	1	23	phage	gene-SSBP1_gp10
gene-SynWH7803_1241	196	239	host	suhB
gene-SynWH7803_1659	43	51	host	gene-SynWH7803_1659
