Geneid	0	2.5	5	10	20	30	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-b0435	1.0	0.5231890012367952	0.295286972015828	0.19495622719828568	0.19819221775453164	0.49277039828944247	host	bolA	None	None	44.57810887392974
gene-b1336	1.0	0.6794021762403545	0.5292310357695532	0.41882968609420995	0.27696301964147807	0.5842393729548225	host	abgT	None	None	0.09860070479024566
gene-b1145	1.0	0.5375661096075549	0.5390517985003438	0.47552281161878157	0.326155405513635	0.40541524969265336	host	ymfK	None	None	1.5652081825646424
gene-b3597	1.0	0.6777224020560145	0.33454714235214544	0.28121167870801705	0.2224568411885777	0.5371019544414984	host	yibH	None	None	0.3823953453833388
gene-b2545	1.0	0.837183141802491	0.6815590893247118	0.4988862490635371	0.3637848627314954	0.4820574817847273	host	yphC	None	None	0.3143469244236162
gene-b1674	0.7248537312401343	1.0	0.8967320960028714	0.7185871203663005	0.6571637941418522	0.8786144861489814	host	ydhY	None	None	0.023701725862249595
gene-b2966	1.0	0.7240351740072717	0.5406857345835382	0.3451467883531465	0.3462042836609549	0.4339655574439643	host	yqgA	None	None	0.24830500987584442
gene-b4722	1.0	0.6476139090611813	0.35599328097579785	0.5544337145901946	0.9391246927106203	0.5171364009603229	host	idlP	None	None	0.42254069711346376
gene-T7p35	5.949757914451532e-05	7.051788804630343e-05	0.00011573901436489167	0.14541755737521656	1.0	0.6773841001148108	phage	gene-T7p35	late	late	6561.675447361028
gene-b4839	1.0	0.8331762449484642	0.6539407202338131	0.6270698768688994	0.36438256385587353	0.5212167911962695	host	asflhD	None	None	0.3847341254050978
gene-b2071	1.0	0.7039996012337335	0.6725151065981664	0.3793948372586633	0.41022985052577327	0.4695193737227923	host	yegJ	None	None	0.1039719944650263
gene-b2889	1.0	0.816446445291289	0.6038125972339475	0.4171649488201765	0.31183752016602984	0.5348022391759014	host	idi	None	None	0.1885419577168533
gene-b1349	1.0	0.7302303129082797	0.732711533284878	0.4448759083884047	0.34289890372399423	0.6438894484808675	host	recT	None	None	0.10311380435114277
gene-b2433	1.0	0.9362516094848691	0.7173170527742471	0.415892275039752	0.3025297862314642	0.37735327648402467	host	yfeZ	None	None	3.5816782535588505
gene-b3088	0.8863961727669982	1.0	0.7340707215282707	0.43410711765143706	0.25421316380207776	0.3488270985535959	host	alx	None	None	0.28063361263450776
gene-b2120	0.9900765364641239	1.0	0.6141011508717831	0.47986928122702355	0.5410637651393042	0.7444780836370064	host	yehM	None	None	0.050048059383161356
gene-b4194	1.0	0.9165737468852752	0.7216441332086161	0.40508422246355696	0.2952503889266148	0.4363681228553461	host	ulaB	None	None	0.25215268748985326
gene-b4259	1.0	0.8708893520071179	0.6308747388644895	0.39153456673764725	0.33838650616827043	0.3005157624128709	host	holC	None	None	6.816642148918869
gene-b1192	1.0	0.7911558620391759	0.5445966484814879	0.37317846538134963	0.2619942455452854	0.37555298273098026	host	ldcA	None	None	1.0929959951744708
gene-b1772	1.0	0.7162899518123388	0.80985781192507	0.6096666610726175	0.4610524691530622	0.7563882409531043	host	ydjH	None	None	0.049767235739103535
gene-b2169	1.0	0.8429610746046342	0.6712689315219931	0.5792607267048646	0.4211366838127025	0.4473012109502124	host	fruB	None	None	0.1305054639359655
gene-b1554	1.0	0.6731003083752216	0.6441948913759928	0.49648384762116893	0.33548638295634625	0.47216095161837274	host	rrrQ	None	None	0.09057167049770551
gene-b3679	1.0	0.8596759025897892	0.5283902425904032	0.32170634394193043	0.385598895853212	0.5115330896660237	host	yidK	None	None	0.13633641557763573
