Geneid	0	2.5	5	10	20	30	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-b4834	0.04063296130170002	2.7098765826190085	1.147673981105978	0.5421398682429794	0.5845465129075045	0.32511027522352265	host	xylZ	None	None	1.968872571189647
gene-b2755	0.07966044697055352	0.28551533350718206	0.5123385871790385	0.16638340211307723	0.2400383774028796	0.527292984766182	host	cas1	None	None	0.3627298017845841
gene-b1515	0.08142770079212996	0.05802597481907204	0.012150394467256215	0.020288173153765937	0.091268665820739	0.2570624439913365	host	lsrD	None	None	0.08650945625475424
gene-b1119	1.6963323486216169	1.460763259192884	1.115074712731344	0.20793928683841578	1.4294249560814993	0.24599279998818524	host	nagK	None	None	4.405537154288292
gene-b1926	0.05156891621323592	0.13253564555736863	0.050689627329114584	0.059464375012736964	0.06496682254350586	0.2990163214310924	host	fliT	None	None	0.08198448046752463
gene-b1789	0.19595422268322515	0.013443186587235423	0.07622947093331767	0.13527958641617382	0.18372046163327255	0.3157250020309366	host	yeaL	None	None	0.08138219614405678
gene-b0170	40.77847034491401	161.19406038013454	38.23122403364653	4.940603580922186	29.5315026917786	36.889969342109794	host	tsf	None	None	117.45903041570904
gene-b2828	0.27725065505354785	0.1791143323170914	1.3826427256281963	0.5002927566116098	0.2733191326486417	2.39798799680588	host	lgt	None	None	1.7206692959662027
gene-b4170	1.6415849372398625	2.5608320873816837	1.4621162212835195	0.13652454483336385	0.8164215494353337	0.7001796099515563	host	mutL	None	None	3.5978144034146182
gene-b4315	3.374514897728293	3.9512092097083062	0.02481402915434927	2.684438844859219	1.7041932065944412	0.19887086701001078	host	fimI	None	None	6.551950934676772
gene-b2526	4.696887560639574	13.293882576797056	3.156661753827912	1.624819167345482	1.8752440496084866	0.14969671956530206	host	hscA	None	None	13.533774179522448
gene-b3728	0.12364715857353659	1.4013899770196092	0.6479053869358102	0.41828545117982685	0.6963301194088292	0.011658332693196272	host	pstS	None	None	6.1435357569432645
gene-b1638	2.696455012955738	0.11373326356579483	0.7126838733928622	0.6688408558438486	1.1910308480612972	0.4791908074271056	host	pdxH	None	None	3.7016605099890985
gene-b0424	3.194207957430123	1.8853198959092765	3.3722980485143754	0.6601031429427042	0.8509676231246832	1.1466779169948609	host	yajL	None	None	4.478836880417576
gene-b3365	0.00019674502822319972	0.0791954179483707	0.04839507384070685	0.1177571657040799	0.24227284714952102	0.1561919678681007	host	nirB	None	None	0.3159480840477897
gene-b3273	2.9152504828752583	9.742267795009187	26.974248776574576	3.7096209480185536	3.3857498353667097	29.726103317383163	host	thrV	None	None	11.697450202763411
gene-b0995	0.3200338049755065	0.03833529124919388	0.0012353091279448947	0.08380538563993156	0.3189004468095521	0.256914352551066	host	torR	None	None	0.31095724036441014
gene-b3962	3.84811383719272	2.504156192593417	0.12518546620471582	0.21736042610114126	0.6812756727655636	2.3258829467223237	host	sthA	None	None	3.6339814738776606
gene-b1093	26.673784297065595	53.69691292306703	72.63289061158656	21.499127192159165	15.29514401775657	10.826378109536336	host	fabG	None	None	89.43401344180046
gene-b3700	0.7349687781810026	0.5624383095907834	2.9252398756873106	0.384098125974619	1.0642415403697147	1.6178438330995824	host	recF	None	None	6.2195366199947015
gene-b2161	0.056081427629611325	0.13702882099501262	0.10099351162202164	0.0016697105735790085	0.0037090457906049645	0.13690718254254103	host	nupX	None	None	0.04264102135181591
gene-b3222	1.544972511813084	0.10540022592956255	0.9648771641174183	0.07194104397533319	0.5306629928927047	0.10906314962860231	host	nanK	None	None	1.4386170655151804
