Geneid	5	10	20	40	50	65	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-HB27c_C1143	987	445	236	287	165	57	host	gene-HB27c_C1143	None	None	7.375794872131533
gene-HB27c_C1655	9634	3559	3931	2371	870	340	host	gene-HB27c_C1655	None	None	125.30604711847279
gene-HB27c_C1828	1997	682	324	57609	79	139	host	gene-HB27c_C1828	None	None	10781.053757285752
gene-HB27c_C0331	381	182	150	260	65	45	host	gene-HB27c_C0331	None	None	4.774181191390973
gene-HB27c_C0405	93	51	41	55	11	5	host	gene-HB27c_C0405	None	None	0.9289300959193809
gene-HB27c_C1457	1577	655	364	354	1436	82	host	gene-HB27c_C1457	None	None	2060.3417330017032
gene-HB27c_C1186	372	182	124	196	47	19	host	gene-HB27c_C1186	None	None	1.9969583391364523
gene-HB27c_C1658	2951	915	408	1057	303	280	host	gene-HB27c_C1658	None	None	86.0621648438006
gene-HB27c_C0799	189	78	80	247	64	45	host	gene-HB27c_C0799	None	None	11.424838255158805
gene-HB27c_C1940	1871	779	625	1375	294	158	host	gene-HB27c_C1940	None	None	1.7308986549394147
gene-HB27c_P0227	252	154	148	251	86	29	host	gene-HB27c_P0227	None	None	9.664069369608654
gene-HB27c_P0010	1823	860	915	1596	421	313	host	gene-HB27c_P0010	None	None	39.925855641717604
gene-HB27c_C0210	252	168	119	190	65	25	host	gene-HB27c_C0210	None	None	4.548543577558255
gene-HB27c_C1739	184	353	26	7481	17	5	host	gene-HB27c_C1739	None	None	1527.3193237109988
gene-HB27c_C0162	992	492	401	436	154	74	host	gene-HB27c_C0162	None	None	11.846563590912869
gene-HB27c_C1981	2126	1497	1395	1383	308	191	host	gene-HB27c_C1981	None	None	57.06981062018669
gene-HB27c_C0573	252	126	110	138	67	37	host	gene-HB27c_C0573	None	None	16.068460514318858
gene-HB27c_C1038	126	105	54	72	19	16	host	gene-HB27c_C1038	None	None	2.2504334963048263
gene-HB27c_C0277	690	378	280	440	136	105	host	gene-HB27c_C0277	None	None	18.032623912819094
gene-HB27c_C0216	120	71	62	73	12	17	host	gene-HB27c_C0216	None	None	6.913482792690422
gene-HB27c_C0905	1691	667	559	21401	287	198	host	gene-HB27c_C0905	None	None	3352.2158150555374
gene-HB27c_C0391	104	67	54	103	11	17	host	gene-HB27c_C0391	None	None	2.6802733250198205
gene-HB27c_P0048	114	35	18	30	13	5	host	gene-HB27c_P0048	None	None	1.264134638173864
gene-HB27c_C0678	90	35	22	52	19	7	host	ybhR	None	None	4.26331927522091
gene-HB27c_C1216	2207	827	3433	1120	274	146	host	gene-HB27c_C1216	None	None	1043.7366202293508
gene-HB27c_C1760	27932	2360	5809	1763	525	332	host	gene-HB27c_C1760	None	None	1019.9198193090309
gene-HB27c_C0287	73	52	54	101	38	17	host	gene-HB27c_C0287	None	None	13.537421193311099
gene-HB27c_C0400	101	83	27	32	9	0	host	gene-HB27c_C0400	None	None	5.564587829196634
gene-HB27c_C1215	5	4	6	4	1	0	host	gene-HB27c_C1215	None	None	3.8356783883233407
gene-HB27c_C0727	46	19	23	56	18	10	host	gene-HB27c_C0727	None	None	5.244152688802373
gene-Lalka27a_37	2	1	0	42	71	36	phage	gene-Lalka27a_37	late	late	173.89595899167023
gene-HB27c_C0159	155	116	74	150	41	35	host	gene-HB27c_C0159	None	None	7.737942002955908
gene-HB27c_C1199	371	285	247	491	95	77	host	gene-HB27c_C1199	None	None	6.829689309412731
gene-HB27c_C1243	7764	4481	4784	2796	1061	688	host	gene-HB27c_C1243	None	None	159.4274536249852
gene-HB27c_C0003	1035	621	360	630	188	100	host	gene-HB27c_C0003	None	None	7.343821824244862
gene-HB27c_P0006	27	8	16	28	3	3	host	gene-HB27c_P0006	None	None	1.3723653905631492
gene-HB27c_C0192	162	95	94	85	36	11	host	gene-HB27c_C0192	None	None	8.489087464939695
gene-HB27c_C0839	192	119	73	88	21	20	host	gene-HB27c_C0839	None	None	3.6734929952131052
gene-HB27c_P0211	166	109	94	204	47	46	host	gene-HB27c_P0211	None	None	18.635295768045967
gene-HB27c_C1866	260	264	81	202	45	24	host	gene-HB27c_C1866	None	None	4.876361674878307
gene-HB27c_C0420	313	117	125	222	64	21	host	gene-HB27c_C0420	None	None	2.3539869535085325
gene-HB27c_P0041	380	144	144	229	31	16	host	gene-HB27c_P0041	None	None	2.744572924056405
gene-HB27c_C1412	981	697	558	1054	187	100	host	gene-HB27c_C1412	None	None	5.4839558121604295
gene-HB27c_C1374	291	123	113	240	47	28	host	gene-HB27c_C1374	None	None	5.1215820616558
gene-HB27c_C0056	81	31	29	55	7	6	host	gene-HB27c_C0056	None	None	0.4176152211623841
gene-HB27c_C0824	126	63	73	97	25	23	host	gene-HB27c_C0824	None	None	5.109440156130642
gene-HB27c_C0077	15	15	15	13	9	2	host	gene-HB27c_C0077	None	None	1.8288843823306573
gene-HB27c_C0454	91	55	52	78	19	15	host	gene-HB27c_C0454	None	None	5.876492961216894
gene-HB27c_C0231	30	10	7	21	8	3	host	gene-HB27c_C0231	None	None	1.2837920925702968
gene-HB27c_C1792	69651	38325	17280	44638	7189	1933	host	gene-HB27c_C1792	None	None	513.584859688836
gene-HB27c_C1966	618	265	85	150	34	28	host	gene-HB27c_C1966	None	None	8.649742704630997
gene-HB27c_C0173	273	144	116	175	53	22	host	gene-HB27c_C0173	None	None	2.256438263464873
gene-HB27c_P0231	9	13	11	9	3	0	host	gene-HB27c_P0231	None	None	2.300502538867695
gene-HB27c_C0074	5177	1636	1134	2144	537	251	host	gene-HB27c_C0074	None	None	10.758541255791318
gene-Lalka27a_3	10	13	75	1137	268	180	phage	gene-Lalka27a_3	middle	late	202.95779031159046
gene-HB27c_C0165	213	94	71	86	24	25	host	gene-HB27c_C0165	None	None	7.9018608360435625
gene-HB27c_C1009	168	401	139	188	38	44	host	gene-HB27c_C1009	None	None	13.34605820766887
gene-HB27c_P0193	5	0	1	6	0	0	host	gene-HB27c_P0193	None	None	1.1210537038141333
gene-HB27c_C0042	100	59	30	56	11	12	host	gene-HB27c_C0042	None	None	4.330386441112012
gene-HB27c_C1333	540	438	152	275	1152	77	host	gene-HB27c_C1333	None	None	1280.364601349772
gene-HB27c_C0717	39	20	28	45	8	5	host	gene-HB27c_C0717	None	None	1.0369118364147822
gene-HB27c_C1443	76	45	31	71	23	7	host	gene-HB27c_C1443	None	None	1.0710090133234058
gene-HB27c_P0172	91	49	39	107	28	15	host	gene-HB27c_P0172	None	None	0.5603963901195685
gene-HB27c_C0696	664	296	188	442	150	90	host	gene-HB27c_C0696	None	None	16.996792252036588
gene-HB27c_C0335	22	5	11	14	4	3	host	gene-HB27c_C0335	None	None	1.5158844878807765
gene-HB27c_C1555	3882	476	332	906	131	96	host	paaX	None	None	115.3946052800861
