run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	experiment_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
ERR11738556	PRJEB64420	SAMEA114093341	ERX11139336	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:535-24684	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/056/ERR11738556/ERR11738556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/056/ERR11738556/ERR11738556_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738556/18_S114_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738556/18_S114_L003_R2_001.fastq.gz		MinusP_Infected_3-3	ftp.sra.ebi.ac.uk/vol1/err/ERR117/056/ERR11738556.bam
ERR11738558	PRJEB64420	SAMEA114093343	ERX11139338	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:536-24688	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/058/ERR11738558/ERR11738558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/058/ERR11738558/ERR11738558_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738558/23_S119_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738558/23_S119_L003_R2_001.fastq.gz		PlusP_Infected_6-2	ftp.sra.ebi.ac.uk/vol1/err/ERR117/058/ERR11738558.bam
ERR11738566	PRJEB64420	SAMEA114093351	ERX11139346	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:540-24704	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/066/ERR11738566/ERR11738566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/066/ERR11738566/ERR11738566_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738566/40_S136_L004_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738566/40_S136_L004_R2_001.fastq.gz		MinusP_Infected_9-1	ftp.sra.ebi.ac.uk/vol1/err/ERR117/066/ERR11738566.bam
ERR11738567	PRJEB64420	SAMEA114093352	ERX11139347	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:540-24706	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/067/ERR11738567/ERR11738567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/067/ERR11738567/ERR11738567_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738567/41_S137_L004_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738567/41_S137_L004_R2_001.fastq.gz		MinusP_Infected_9-2	ftp.sra.ebi.ac.uk/vol1/err/ERR117/067/ERR11738567.bam
ERR11738569	PRJEB64420	SAMEA114093354	ERX11139349	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:541-24710	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/069/ERR11738569/ERR11738569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/069/ERR11738569/ERR11738569_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738569/49_S145_L005_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738569/49_S145_L005_R2_001.fastq.gz		MinusP_Infected_12-1	ftp.sra.ebi.ac.uk/vol1/err/ERR117/069/ERR11738569.bam
ERR11738570	PRJEB64420	SAMEA114093355	ERX11139350	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:542-24712	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/070/ERR11738570/ERR11738570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/070/ERR11738570/ERR11738570_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738570/50_S146_L005_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738570/50_S146_L005_R2_001.fastq.gz		MinusP_Infected_12-2	ftp.sra.ebi.ac.uk/vol1/err/ERR117/070/ERR11738570.bam
ERR11738573	PRJEB64420	SAMEA114093358	ERX11139353	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:543-24718	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/073/ERR11738573/ERR11738573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/073/ERR11738573/ERR11738573_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738573/59_S155_L005_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738573/59_S155_L005_R2_001.fastq.gz		MinusP_Infected_15-2	ftp.sra.ebi.ac.uk/vol1/err/ERR117/073/ERR11738573.bam
ERR11738554	PRJEB64420	SAMEA114093339	ERX11139334	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:534-24680	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/054/ERR11738554/ERR11738554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/054/ERR11738554/ERR11738554_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738554/16_S112_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738554/16_S112_L003_R2_001.fastq.gz		MinusP_Infected_3-1	ftp.sra.ebi.ac.uk/vol1/err/ERR117/054/ERR11738554.bam
ERR11738557	PRJEB64420	SAMEA114093342	ERX11139337	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:535-24686	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/057/ERR11738557/ERR11738557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/057/ERR11738557/ERR11738557_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738557/22_S118_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738557/22_S118_L003_R2_001.fastq.gz		PlusP_Infected_6-1	ftp.sra.ebi.ac.uk/vol1/err/ERR117/057/ERR11738557.bam
ERR11738564	PRJEB64420	SAMEA114093349	ERX11139344	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:539-24700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/064/ERR11738564/ERR11738564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/064/ERR11738564/ERR11738564_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738564/35_S131_L004_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738564/35_S131_L004_R2_001.fastq.gz		PlusP_Infected_9-2	ftp.sra.ebi.ac.uk/vol1/err/ERR117/064/ERR11738564.bam
ERR11738568	PRJEB64420	SAMEA114093353	ERX11139348	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:541-24708	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/068/ERR11738568/ERR11738568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/068/ERR11738568/ERR11738568_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738568/42_S138_L004_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738568/42_S138_L004_R2_001.fastq.gz		MinusP_Infected_9-3	ftp.sra.ebi.ac.uk/vol1/err/ERR117/068/ERR11738568.bam
ERR11738571	PRJEB64420	SAMEA114093356	ERX11139351	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:542-24714	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/071/ERR11738571/ERR11738571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/071/ERR11738571/ERR11738571_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738571/51_S147_L005_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738571/51_S147_L005_R2_001.fastq.gz		MinusP_Infected_12-3	ftp.sra.ebi.ac.uk/vol1/err/ERR117/071/ERR11738571.bam
ERR11738572	PRJEB64420	SAMEA114093357	ERX11139352	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:543-24716	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/072/ERR11738572/ERR11738572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/072/ERR11738572/ERR11738572_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738572/58_S154_L005_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738572/58_S154_L005_R2_001.fastq.gz		MinusP_Infected_15-1	ftp.sra.ebi.ac.uk/vol1/err/ERR117/072/ERR11738572.bam
ERR11738574	PRJEB64420	SAMEA114093359	ERX11139354	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:544-24720	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/074/ERR11738574/ERR11738574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/074/ERR11738574/ERR11738574_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738574/60_S156_L005_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738574/60_S156_L005_R2_001.fastq.gz		MinusP_Infected_15-3	ftp.sra.ebi.ac.uk/vol1/err/ERR117/074/ERR11738574.bam
