Geneid	40	90	140	190	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-FLV31_RS02445	76	51	52	30	host	gene-FLV31_RS02445	None	None	0.01003396605758377
gene-FLV31_RS15220	762	62	33	16	host	galB	None	None	4.308968450033535
gene-FLV31_RS04085	34	7	7	6	host	gene-FLV31_RS04085	None	None	0.16908577478127657
gene-FLV31_RS00535	175	34	18	13	host	gene-FLV31_RS00535	None	None	5.310984265053422
gene-FLV31_RS13270	323	72	20	20	host	gene-FLV31_RS13270	None	None	1.5476297323101538
gene-FLV31_RS08340	918	109	25	9	host	gene-FLV31_RS08340	None	None	19.331099751662677
gene-FLV31_RS11825	208	83	51	27	host	gene-FLV31_RS11825	None	None	1.1489603651416125
gene-FLV31_RS04970	95	54	19	9	host	gene-FLV31_RS04970	None	None	0.39491182798004093
gene-FLV31_RS18175	2972	715	250	153	host	hisS	None	None	18.26128460127374
gene-FLV31_RS08395	1638	677	906	285	host	gene-FLV31_RS08395	None	None	5.026536516322455
gene-FLV31_RS02775	3248	770	197	99	host	hemH	None	None	31.487765089084995
gene-FLV31_RS07175	934	318	89	61	host	gene-FLV31_RS07175	None	None	5.602747586692414
gene-FLV31_RS00170	12102	2350	637	357	host	fbaA	None	None	123.29857742301151
gene-FLV31_RS19290	178	31	17	5	host	gene-FLV31_RS19290	None	None	3.1722398947990618
gene-FLV31_RS03500	894	187	50	17	host	gene-FLV31_RS03500	None	None	8.318340132266892
gene-N356_gp014	100441	65565	17320	6552	phage	g015	early	early	2342.2465058411517
gene-FLV31_RS20010	20	9	6	8	host	gene-FLV31_RS20010	None	None	0.1313967896659262
gene-FLV31_RS08575	342	12	26	5	host	gene-FLV31_RS08575	None	None	3.6232920122577843
gene-FLV31_RS10175	12387	1622	783	450	host	gene-FLV31_RS10175	None	None	56.664595421935246
gene-FLV31_RS18025	1086	447	195	120	host	gene-FLV31_RS18025	None	None	8.221217713155406
gene-FLV31_RS11450	2045	486	102	54	host	greA	None	None	45.055168564353266
gene-FLV31_RS17795	1636	710	165	98	host	gene-FLV31_RS17795	None	None	24.81515055642406
gene-FLV31_RS19765	0	0	0	0	host	gene-FLV31_RS19765	None	None	0.005234071393072021
gene-FLV31_RS12640	1060	272	124	36	host	corA	None	None	8.014379499246825
gene-FLV31_RS02420	1692	334	180	113	host	gene-FLV31_RS02420	None	None	4.107140326452149
gene-FLV31_RS01020	946	272	80	43	host	gene-FLV31_RS01020	None	None	13.388808398805693
gene-FLV31_RS15100	2461	293	70	27	host	gene-FLV31_RS15100	None	None	21.723748923857514
gene-FLV31_RS03090	682	195	55	35	host	gene-FLV31_RS03090	None	None	6.361515312546229
gene-FLV31_RS12035	1140	236	83	52	host	gene-FLV31_RS12035	None	None	10.624373613457557
gene-FLV31_RS01350	1132	384	91	39	host	gene-FLV31_RS01350	None	None	19.262473084055777
gene-FLV31_RS17335	1724	198	26	29	host	gene-FLV31_RS17335	None	None	164.02499208533473
gene-FLV31_RS19200	209	65	17	16	host	gene-FLV31_RS19200	None	None	2.252272533230943
gene-FLV31_RS10385	167	28	10	13	host	gene-FLV31_RS10385	None	None	2.6446520989391544
gene-FLV31_RS12165	379	97	24	25	host	gene-FLV31_RS12165	None	None	11.607878097183272
gene-FLV31_RS16355	260	6	3	2	host	gene-FLV31_RS16355	None	None	29.163617197182944
gene-FLV31_RS19180	36	12	22	10	host	gene-FLV31_RS19180	None	None	0.04127162749694824
gene-FLV31_RS06850	375	43	23	16	host	gene-FLV31_RS06850	None	None	2.7236389524673874
gene-FLV31_RS07575	549	92	41	24	host	gene-FLV31_RS07575	None	None	4.644081547162977
gene-FLV31_RS05695	494	127	22	13	host	gene-FLV31_RS05695	None	None	16.171876798826943
gene-FLV31_RS17815	11313	2712	905	433	host	purL	None	None	28.142139555856506
gene-FLV31_RS01330	487	114	34	20	host	gene-FLV31_RS01330	None	None	3.4968139830873985
gene-FLV31_RS07115	453	131	35	27	host	crcB	None	None	9.572464237618467
gene-FLV31_RS08425	1483	280	108	47	host	gene-FLV31_RS08425	None	None	4.909183563263799
gene-FLV31_RS10550	618	161	39	21	host	gene-FLV31_RS10550	None	None	14.474155799521661
gene-FLV31_RS20225	75	34	10	2	host	gene-FLV31_RS20225	None	None	5.097064426900195
gene-FLV31_RS04235	675	232	98	55	host	gene-FLV31_RS04235	None	None	8.152853711584873
gene-FLV31_RS10510	160	26	14	4	host	gene-FLV31_RS10510	None	None	9.053632713626653
gene-FLV31_RS06675	1334	24	21	14	host	gene-FLV31_RS06675	None	None	7.894502670501096
gene-FLV31_RS01565	55	13	8	2	host	gene-FLV31_RS01565	None	None	0.6916347036316097
gene-FLV31_RS05155	619	228	158	104	host	gene-FLV31_RS05155	None	None	0.5004728566875382
gene-FLV31_RS17330	649	141	33	22	host	gene-FLV31_RS17330	None	None	3.2078114546339176
gene-FLV31_RS03665	154	109	147	65	host	gene-FLV31_RS03665	None	None	0.4479328479812426
gene-FLV31_RS05460	73	17	14	4	host	gene-FLV31_RS05460	None	None	0.742713128131632
gene-FLV31_RS01465	1291	348	165	81	host	gene-FLV31_RS01465	None	None	4.975933392017316
gene-FLV31_RS07295	42524	563	85	80	host	gene-FLV31_RS07295	None	None	689.7583616914172
gene-FLV31_RS04575	741	129	82	51	host	gene-FLV31_RS04575	None	None	15.05306639555503
gene-FLV31_RS07810	29	13	21	5	host	gene-FLV31_RS07810	None	None	0.6038733660646037
gene-FLV31_RS03310	29922	5640	2005	968	host	atpA	None	None	196.75305169018839
gene-FLV31_RS11805	369	179	84	42	host	gene-FLV31_RS11805	None	None	1.894762332694533
gene-FLV31_RS17135	113	36	12	5	host	gene-FLV31_RS17135	None	None	1.8176341166424181
gene-FLV31_RS18755	56	12	8	2	host	gene-FLV31_RS18755	None	None	1.5482948582442877
gene-FLV31_RS10625	5198	4060	632	240	host	gene-FLV31_RS10625	None	None	168.82724957879316
gene-FLV31_RS20180	1773	287	132	73	host	gene-FLV31_RS20180	None	None	6.99564239299627
gene-FLV31_RS07545	259	46	18	6	host	gene-FLV31_RS07545	None	None	2.7301643364767982
gene-FLV31_RS05700	508	36	15	3	host	gene-FLV31_RS05700	None	None	3.777152884771863
gene-FLV31_RS06310	3925	797	223	87	host	kdsA	None	None	52.351782401265595
gene-FLV31_RS06295	893	320	91	42	host	gene-FLV31_RS06295	None	None	10.584261777938506
gene-FLV31_RS16020	749	262	62	23	host	gene-FLV31_RS16020	None	None	5.621289282519505
gene-FLV31_RS08715	267	85	25	14	host	gene-FLV31_RS08715	None	None	4.869844292893648
gene-FLV31_RS01430	1746	632	150	76	host	gene-FLV31_RS01430	None	None	33.31760883639124
gene-FLV31_RS09525	154	84	30	5	host	gene-FLV31_RS09525	None	None	4.971633852994691
gene-FLV31_RS05660	93	38	21	12	host	gene-FLV31_RS05660	None	None	0.22861344507940481
gene-FLV31_RS05540	201	38	6	11	host	gene-FLV31_RS05540	None	None	5.633789052615927
gene-FLV31_RS12990	109	24	19	4	host	gene-FLV31_RS12990	None	None	1.0761669665287725
gene-FLV31_RS05595	1155	508	309	141	host	gene-FLV31_RS05595	None	None	1.4956307990459359
gene-FLV31_RS06745	606	131	25	9	host	gene-FLV31_RS06745	None	None	11.957661090785596
gene-FLV31_RS14675	68	17	2	3	host	gene-FLV31_RS14675	None	None	1.812692424462745
gene-FLV31_RS12440	226	88	30	14	host	tsaE	None	None	3.338501112998175
gene-FLV31_RS18435	69	20	8	7	host	gene-FLV31_RS18435	None	None	1.0255505094167818
gene-FLV31_RS07845	151	25	27	9	host	gene-FLV31_RS07845	None	None	1.3741990433485203
gene-FLV31_RS01090	972	319	91	49	host	gene-FLV31_RS01090	None	None	5.5488442113439715
gene-FLV31_RS07890	78	20	19	11	host	gene-FLV31_RS07890	None	None	0.4365389626360576
gene-FLV31_RS14985	3961	840	313	188	host	dnaB	None	None	23.143680339320365
gene-FLV31_RS19425	1445	682	136	53	host	gene-FLV31_RS19425	None	None	42.31586906585467
gene-FLV31_RS11500	51	43	42	21	host	gene-FLV31_RS11500	None	None	0.13446116077477008
gene-FLV31_RS16370	140	28	43	18	host	gene-FLV31_RS16370	None	None	0.6942570472278969
gene-FLV31_RS09945	742	215	74	36	host	gene-FLV31_RS09945	None	None	6.623801672757672
gene-FLV31_RS02810	10716	1655	598	328	host	gene-FLV31_RS02810	None	None	67.34272813438258
gene-FLV31_RS17380	9639	2308	652	318	host	gene-FLV31_RS17380	None	None	57.21999823020953
gene-FLV31_RS19280	317	46	24	16	host	gene-FLV31_RS19280	None	None	2.4259080842898615
gene-FLV31_RS19335	53	29	10	9	host	gene-FLV31_RS19335	None	None	0.2954823413431172
gene-FLV31_RS02770	1103	263	88	38	host	gene-FLV31_RS02770	None	None	7.416811977607462
gene-FLV31_RS17425	1492	273	44	23	host	gene-FLV31_RS17425	None	None	18.99791433807705
gene-FLV31_RS04245	108	33	45	12	host	arfB	None	None	0.8940839738768992
gene-FLV31_RS09420	799	230	49	43	host	gene-FLV31_RS09420	None	None	8.405678406529395
gene-FLV31_RS11495	69	40	39	18	host	gene-FLV31_RS11495	None	None	0.1341115733974795
gene-FLV31_RS12040	590	126	66	32	host	gene-FLV31_RS12040	None	None	5.3216398678908705
gene-FLV31_RS08725	2419	481	186	97	host	thrA	None	None	9.50715536246551
gene-FLV31_RS12275	2623	788	320	81	host	gene-FLV31_RS12275	None	None	19.7835075802497
gene-FLV31_RS17000	814	121	53	43	host	gene-FLV31_RS17000	None	None	5.479404989727079
