Geneid	15_R1	15_R2	15_R3	35_R1	35_R2	35_R3	45_R1	45_R2	45_R3	Entity	Symbol
gene-LUU82_02850	1320	2475	2023	2112	2755	2768	2381	3254	2766	host	proC
gene-LUU82_10545	114	183	149	174	222	199	172	234	187	host	gene-LUU82_10545_gene_argF
gene-SAM1_00180	3458	4394	3977	2688	2609	3011	6369	6453	7869	phage	gene-SAM1_00180
gene-LUU82_07790	50	48	52	32	38	55	49	46	40	host	gene-LUU82_07790
gene-LUU82_04115	15516	20896	19215	17967	22524	19263	18115	25579	19243	host	gene-LUU82_04115
gene-LUU82_07605	369	536	533	658	812	792	736	1051	900	host	gene-LUU82_07605
gene-LUU82_08950	1286	1877	1642	1798	2074	1934	1718	2438	1985	host	gene-LUU82_08950
gene-SAM1_00157	16780	20365	15981	117853	112699	157697	222984	165875	176902	phage	gene-SAM1_00157
gene-LUU82_07990	1263	2029	1580	1693	2140	2460	1960	2537	2093	host	gene-LUU82_07990
gene-LUU82_10625	634	876	855	930	1109	1306	1324	1497	1363	host	gene-LUU82_10625
gene-LUU82_11765	12	25	15	15	12	35	26	17	20	host	gene-LUU82_11765
gene-LUU82_11910	581	891	796	627	810	837	786	890	777	host	gene-LUU82_11910
gene-LUU82_11905	2259	3438	2958	3021	3554	3431	3106	4424	3595	host	gene-LUU82_11905
gene-LUU82_10070	393	1272	670	435	783	1103	890	540	776	host	gene-LUU82_10070
gene-SAM1_00030	8880	10474	9930	3126	3041	3572	7535	7542	8387	phage	gene-SAM1_00030
gene-LUU82_00195	1256	1725	1650	2276	2663	2688	2611	3302	2696	host	pmtB
gene-LUU82_11000	1467	1973	2743	1835	2084	2564	1736	2100	2422	host	farE
gene-LUU82_08230	490	722	678	571	700	742	657	854	754	host	gene-LUU82_08230
gene-LUU82_05840	2895	4011	3804	4839	5302	4552	4123	6305	4579	host	gene-LUU82_05840
gene-LUU82_09515	1490	2125	1903	1909	2237	2630	1940	2437	2120	host	gene-LUU82_09515
gene-LUU82_07700	1949	3359	2742	2704	3387	3879	2993	3514	3290	host	folK
gene-LUU82_10855	1113	1599	1686	1472	1890	1703	1383	2341	1706	host	gene-LUU82_10855
gene-LUU82_11080	510	689	736	793	1025	928	714	1142	936	host	gene-LUU82_11080
gene-LUU82_04410	911	1430	1107	1321	1383	1587	1350	1545	1574	host	gene-LUU82_04410
gene-LUU82_06885	1448	2005	1820	1683	2093	2008	1567	2549	1995	host	gene-LUU82_06885
gene-LUU82_08325	1779	2445	2273	2959	3609	3639	3182	4211	3804	host	nfsA
gene-LUU82_12475	316	450	379	346	449	389	397	495	407	host	gene-LUU82_12475
gene-LUU82_12860	20741	27845	33180	22007	25616	34388	28315	38522	35818	host	gene-LUU82_12860
gene-LUU82_06540	1950	2689	2616	3358	3822	3490	3204	4584	3443	host	gene-LUU82_06540
gene-LUU82_00730	1124	1804	1929	3548	3493	2677	11307	13991	10838	host	gene-LUU82_00730
gene-LUU82_02795	4020	5448	5201	5837	6470	6657	5406	7844	6336	host	gene-LUU82_02795
gene-LUU82_07380	1042	1583	1504	1677	1895	2054	1588	2267	1755	host	gene-LUU82_07380
gene-LUU82_13440	290	481	428	433	539	460	400	524	454	host	gene-LUU82_13440
gene-LUU82_03165	3778	4467	3500	2073	1798	1972	742	1024	1040	host	gene-LUU82_03165
gene-LUU82_02385	5695	7006	6929	6823	8051	7253	6409	9802	6851	host	aroE
gene-LUU82_10265	498	653	574	597	805	711	718	880	785	host	pcp
gene-LUU82_12945	1830	2603	2291	1875	2411	2411	2110	2561	2177	host	lmrS
gene-LUU82_03950	1522	1931	1927	1792	2333	2192	1873	2517	2106	host	gene-LUU82_03950
gene-SAM1_00046	23752	28584	26619	7190	7059	6844	15244	16900	17565	phage	gene-SAM1_00046
gene-LUU82_05395	1609	2315	2073	2097	2585	2667	1996	2638	2254	host	gene-LUU82_05395
gene-LUU82_12165	2936	4942	4044	4389	5583	6059	4850	5828	5256	host	gene-LUU82_12165
gene-LUU82_04650	1577	2410	2063	2085	2487	3364	2194	2670	2555	host	gene-LUU82_04650
gene-LUU82_11175	98	168	144	128	160	157	152	217	183	host	gene-LUU82_11175
gene-LUU82_02540	1161	1757	1553	1599	1973	2001	1537	2059	1810	host	gene-LUU82_02540
gene-LUU82_03880	186	289	270	241	274	329	279	326	342	host	gene-LUU82_03880
gene-LUU82_01675	19213	29496	28239	20947	27194	36226	27545	31193	29179	host	gene-LUU82_01675
gene-LUU82_13210	16585	23463	19501	21555	24148	23758	20169	24679	21030	host	rho
gene-LUU82_03065	3774	5083	4727	4262	5475	5390	4258	6355	4936	host	gene-LUU82_03065
gene-LUU82_13860	3170	3753	4678	4736	3779	3663	4325	4357	4320	host	gene-LUU82_13860_gene_ssb
gene-LUU82_05325	6	24	23	23	23	26	20	19	17	host	gene-LUU82_05325
gene-LUU82_06290	15828	22975	19659	28166	30278	29112	22095	28324	23092	host	clpP
gene-LUU82_02655	27	52	30	38	50	63	35	46	57	host	gene-LUU82_02655
gene-LUU82_02065	7657	10623	9870	9757	10173	9237	7470	11888	8818	host	hemL
gene-LUU82_09265	699	972	1010	987	1223	1284	1010	1638	1359	host	gene-LUU82_09265
gene-LUU82_04790	424	570	769	967	1617	1665	871	981	776	host	srtB
gene-LUU82_06500	3069	4310	3712	3320	4139	4249	3246	4170	3524	host	gene-LUU82_06500
gene-LUU82_01855	214	323	261	307	343	455	310	340	361	host	gene-LUU82_01855
gene-SAM1_00066	11870	15383	13563	4389	4484	6122	10319	9240	11042	phage	gene-SAM1_00066
gene-LUU82_08570	342	477	422	468	473	458	433	608	437	host	gene-LUU82_08570
gene-LUU82_10880	303	586	485	438	532	655	519	607	532	host	gene-LUU82_10880
gene-LUU82_03925	1271	1796	1781	1678	2018	2123	1828	2540	2166	host	miaA
gene-LUU82_02930	155	200	177	213	238	252	211	279	218	host	gene-LUU82_02930
gene-SAM1_00010	12288	16000	14658	9930	9919	9889	13532	13574	15516	phage	gene-SAM1_00010
gene-LUU82_06995	3591	5230	3393	10003	9107	6303	6218	9169	6848	host	gene-LUU82_06995
gene-LUU82_10380	84	115	98	89	108	146	97	143	139	host	pgaC
gene-LUU82_02830	661	860	793	1040	1027	928	854	1176	959	host	gene-LUU82_02830
gene-SAM1_00196	23210	28413	24106	9628	9219	11001	21278	20284	22837	phage	gene-SAM1_00196
gene-LUU82_10030	1345	2084	1932	1940	2344	1954	2191	3145	2432	host	rlmH
gene-LUU82_11105	907	1276	962	652	865	765	612	731	606	host	sdaAB
gene-LUU82_08550	1130	1607	1281	2025	2098	1941	1762	2223	1925	host	glpT
gene-LUU82_05585	196	311	235	281	299	372	249	308	325	host	gene-LUU82_05585
gene-LUU82_03860	37	72	68	60	95	100	87	100	94	host	gene-LUU82_03860
gene-LUU82_13775	3518	5097	4715	5928	7074	7114	5367	7616	6319	host	gene-LUU82_13775
gene-LUU82_00845	1382	1976	1928	1872	2363	2160	2421	3275	2627	host	mutY
gene-LUU82_03805	201	349	338	257	373	373	299	447	398	host	gene-LUU82_03805
gene-LUU82_06285	2022	2817	2855	2355	3066	3103	2454	3571	2889	host	gene-LUU82_06285
gene-LUU82_12650	105212	145448	118464	98726	148831	118226	117718	153044	116823	host	rplO
gene-LUU82_06910	194	249	270	378	372	339	242	421	318	host	dhaK
gene-LUU82_10195	194	289	266	331	265	327	181	261	248	host	gene-LUU82_10195
gene-LUU82_01215	7508	16346	10208	8053	12090	12704	14753	9569	11620	host	gene-LUU82_01215
gene-LUU82_05450	2243	3406	3153	3059	3823	3739	2950	4578	3712	host	gene-LUU82_05450
gene-LUU82_05305	61	120	75	77	106	121	92	98	106	host	gene-LUU82_05305
gene-SAM1_00026	12876	16099	14296	4427	4434	4707	8671	8015	8761	phage	gene-SAM1_00026
gene-LUU82_12505	2344	3161	2705	2924	3491	3222	2745	4017	3266	host	gene-LUU82_12505
gene-SAM1_00125	147477	155819	155967	45195	44616	42555	53150	54569	50030	phage	gene-SAM1_00125
gene-LUU82_02600	8649	11672	10508	10800	13131	12023	10209	14509	11225	host	gene-LUU82_02600
gene-LUU82_08035	2184	3097	2753	3682	3688	3329	2880	4732	3594	host	gene-LUU82_08035
gene-LUU82_10300	201	257	253	268	337	250	227	343	276	host	gene-LUU82_10300
gene-LUU82_11600	454	720	704	351	523	671	473	474	512	host	gene-LUU82_11600
gene-LUU82_03010	60867	109370	78750	78664	92646	120808	111703	105112	105050	host	gene-LUU82_03010
gene-LUU82_09680	3343	5220	5065	7801	13589	13060	6548	7874	6604	host	sirA
gene-LUU82_08845	3382	4823	3741	7165	7951	7943	10991	12679	10991	host	gene-LUU82_08845
gene-LUU82_10960	482	664	661	792	912	849	814	1291	1032	host	gene-LUU82_10960
gene-LUU82_12985	3608	7483	4850	4185	5789	6230	6011	5254	4864	host	gene-LUU82_12985
gene-LUU82_07370	6880	9650	8694	9795	12529	11344	9605	14617	10933	host	folE2
gene-LUU82_12270	3509	5531	4527	4704	6002	6156	5351	7098	5992	host	gene-LUU82_12270
gene-LUU82_00815	2489	3969	3409	3029	3920	3951	5309	6295	5668	host	sgtB
gene-LUU82_00470	9599	13916	14830	9947	13460	15580	13866	17345	15868	host	gene-LUU82_00470
gene-LUU82_00720	1908	3226	3259	5907	5806	5147	19752	21590	18432	host	gene-LUU82_00720
gene-LUU82_07005	3880	5701	3935	10993	10405	7151	7128	10184	7159	host	gene-LUU82_07005
gene-LUU82_09975	80	120	102	84	125	101	93	117	114	host	gene-LUU82_09975
gene-LUU82_01950	2367	3328	3033	3875	4331	4262	3635	5538	4268	host	mutM
gene-LUU82_04980	107879	142664	129557	124071	171273	136419	143598	212985	156283	host	gene-LUU82_04980_gene_lpdA
gene-LUU82_05445	2721	3876	3604	3441	4670	4158	3458	5275	3848	host	mgtE
gene-LUU82_06200	964	1264	1337	782	1183	1119	798	1232	932	host	gene-LUU82_06200
gene-LUU82_08015	1691	2494	1862	3533	5379	3589	3457	4959	3959	host	gene-LUU82_08015
gene-LUU82_10435	300	409	398	366	541	506	413	628	556	host	gene-LUU82_10435
gene-LUU82_06250	84286	112992	107081	155376	157553	132734	122663	188404	144517	host	eno
gene-LUU82_11190	359	500	416	896	748	681	563	787	627	host	gene-LUU82_11190
gene-LUU82_04040	4867	6470	6179	6044	7451	6749	6151	8869	6594	host	gene-LUU82_04040
gene-LUU82_11035	3567	5049	4347	4848	5714	5018	4862	6336	5030	host	gene-LUU82_11035
gene-LUU82_11965	270	412	319	349	398	359	321	495	379	host	gene-LUU82_11965
gene-LUU82_08940	1048	1730	1227	1291	1220	1055	1250	1362	1219	host	lrgB
gene-LUU82_08830	2396	3325	3325	4265	4764	5011	4937	6091	6147	host	esaA
gene-LUU82_12435	1636	2262	2233	2485	2740	2308	2211	3627	2449	host	mobB
gene-LUU82_03895	79700	128640	92853	90699	65819	71606	51760	82946	71777	host	glnA
gene-LUU82_05735	12515	16182	15524	19001	21583	16347	17207	26697	18915	host	mnhD1
gene-LUU82_06230	16904	22395	20198	20906	24407	22236	20773	27277	21516	host	rnr
gene-LUU82_12535	3128	3907	3825	4489	5006	4379	4211	5789	4354	host	gene-LUU82_12535
gene-LUU82_13955	1238	1851	1491	1425	1897	1765	1618	1917	1492	host	gene-LUU82_13955
gene-LUU82_02710	1611	2399	2127	2351	2667	3071	2246	2823	2523	host	gene-LUU82_02710
gene-LUU82_06855	1170	1488	1322	1878	2063	2037	1720	2022	1601	host	vraF
gene-LUU82_13165	3821	5771	4452	4431	5164	5117	3923	4881	4151	host	coaW
gene-LUU82_13960	443	865	538	587	843	906	813	800	761	host	gene-LUU82_13960
gene-SAM1_00092	352575	340539	342274	392135	376806	389993	450831	473462	418102	phage	gene-SAM1_00092
gene-SAM1_00205	2314	3489	2686	975	955	1218	4558	3416	5244	phage	gene-SAM1_00205
gene-LUU82_12520	6481	9106	8586	11999	14519	14893	12856	17935	14581	host	gene-LUU82_12520
gene-LUU82_03525	19	38	49	45	62	49	36	81	76	host	trpC
gene-LUU82_06960	2041	2966	2511	3101	3497	3219	2552	3926	2983	host	gene-LUU82_06960
gene-LUU82_05210	212	378	253	272	391	400	410	436	374	host	gene-LUU82_05210
gene-LUU82_00755	2669	4401	4651	7545	7142	5725	27878	33203	26680	host	gene-LUU82_00755
gene-LUU82_06435	2974	5070	4009	3480	4282	5231	4126	4664	4248	host	ytxJ
gene-LUU82_10320	95	95	96	82	131	102	90	147	134	host	hisG
gene-LUU82_11205	683	881	856	1269	1258	1342	1244	1308	1218	host	gene-LUU82_11205
gene-LUU82_00760	667	1071	1212	1764	1734	1513	7139	7488	6503	host	gene-LUU82_00760
gene-LUU82_11615	2325	3487	3125	2810	3508	2583	2525	4071	2902	host	gene-LUU82_11615
gene-LUU82_13125	6403	9765	8176	12630	13522	14666	11667	16333	13500	host	gene-LUU82_13125_gene_deoD
gene-LUU82_12830	325	419	462	415	528	500	421	543	503	host	lacG
gene-LUU82_13590	1663	2254	1923	2050	2369	2254	1994	2432	2005	host	tsaE
gene-LUU82_00290	1415	2059	1784	2351	2286	2234	1745	2521	1926	host	gene-LUU82_00290
gene-SAM1_00183	9686	12036	10485	6940	6734	7968	18333	16588	20678	phage	gene-SAM1_00183
gene-LUU82_10575	1625	2397	2261	2467	2951	3222	2314	3478	3018	host	gene-LUU82_10575
gene-LUU82_08745	340	538	473	442	523	703	522	579	559	host	gene-LUU82_08745
gene-LUU82_07665	5913	14214	8328	7242	9974	10654	12138	7701	9015	host	gene-LUU82_07665
gene-LUU82_00900	14010	20205	18400	19708	24150	18584	19642	28705	20892	host	gene-LUU82_00900
gene-LUU82_12300	1959	3919	2877	1982	2836	4832	3812	3073	3435	host	gene-LUU82_12300
gene-SAM1_00154	68868	79046	73070	24498	25500	30471	28367	25600	26227	phage	gene-SAM1_00154
gene-LUU82_08805	362	418	512	591	678	740	727	971	903	host	gene-LUU82_08805
gene-LUU82_01565	3269	4656	3893	3798	5002	4759	4427	5386	4577	host	gene-LUU82_01565
gene-LUU82_03665	22575	32033	29507	37813	41897	39116	36598	52737	41827	host	tkt
gene-LUU82_09550	222	357	289	282	414	301	290	447	349	host	gene-LUU82_09550_gene_phnE
gene-LUU82_03510	177	281	251	238	288	265	246	360	269	host	trpA
gene-LUU82_02675	761	1309	1054	1117	1345	1447	1316	1597	1495	host	gene-LUU82_02675
