Geneid	15_R1	15_R2	15_R3	35_R1	35_R2	35_R3	45_R1	45_R2	45_R3	Entity	Symbol
gene-LUU82_10270	2286	2987	2954	1498	3199	3313	2439	3120	2709	host	gene-LUU82_10270
gene-LUU82_03285	3111	4611	4619	3363	4607	4910	3888	5257	4629	host	gene-LUU82_03285
gene-LUU82_02245	1808	2697	2246	2349	2762	3182	2310	2931	2531	host	gene-LUU82_02245
gene-LUU82_01550	2346	4035	3143	3466	4122	4855	3633	4500	4323	host	gene-LUU82_01550
gene-LUU82_06715	3041	4251	3588	3416	3403	4175	2713	3814	3434	host	gene-LUU82_06715
gene-SAM1_00050	31329	43866	34954	10628	10981	13466	17166	14893	23893	phage	gene-SAM1_00050
gene-LUU82_00345	7994	10491	10159	10978	13111	11042	9743	14509	10960	host	pcrA
gene-LUU82_05130	1467	2296	2488	4060	2950	3350	2277	3490	3046	host	gene-LUU82_05130
gene-LUU82_09450	364	470	504	424	584	460	428	672	472	host	cap8L
gene-LUU82_07130	476	887	809	2251	770	842	652	830	753	host	adhP
gene-LUU82_01815	4040	5428	4544	3538	4375	3742	3075	3992	3108	host	gene-LUU82_01815
gene-LUU82_07085	8852	13717	11475	12058	14010	16128	12795	14278	13154	host	gene-LUU82_07085
gene-LUU82_04595	2256	3107	2785	3172	3745	3615	3742	4876	3998	host	gene-LUU82_04595
gene-LUU82_08575	86	120	148	129	159	87	123	162	124	host	gene-LUU82_08575
gene-LUU82_13380	885	1367	1080	959	1227	1257	937	1197	1017	host	csoR
gene-LUU82_05920	28002	35675	39191	27664	39835	34427	29752	48299	32679	host	sufD
gene-LUU82_03515	138	196	156	154	155	132	124	197	165	host	trpB
gene-LUU82_14065	1386	2387	1994	1674	2199	2629	2007	2268	2083	host	gene-LUU82_14065
gene-LUU82_09255	336	488	434	562	766	598	550	955	675	host	gene-LUU82_09255
gene-SAM1_00054	42524	56772	49245	14354	14579	17248	40081	37678	41552	phage	gene-SAM1_00054
gene-LUU82_07375	1748	2566	2229	2764	3092	2743	2617	3604	2751	host	gene-LUU82_07375
gene-LUU82_00140	6289	11535	5161	8209	11057	9478	15395	15234	10684	host	scn
gene-LUU82_08290	16728	22602	24081	27159	35677	28857	31872	51378	35827	host	gene-LUU82_08290
gene-LUU82_12015	1337	2040	1655	1646	2029	2018	1851	2300	1800	host	gene-LUU82_12015
gene-LUU82_04280	1818	2639	2255	2210	2698	2668	2200	2657	2257	host	rnc
gene-LUU82_11815	1026	2144	1487	19622	1115	800	991	1361	917	host	gene-LUU82_11815
gene-LUU82_11665	277	352	355	340	392	420	326	465	399	host	gene-LUU82_11665
gene-LUU82_12885	1314	1888	1966	1846	2546	2489	1611	2170	1836	host	sfaC
gene-LUU82_11375	337	592	482	444	609	698	562	600	612	host	gene-LUU82_11375
gene-LUU82_00485	590	800	746	938	1125	955	853	1236	996	host	gene-LUU82_00485
gene-LUU82_11280	75	98	77	81	76	101	73	103	78	host	gene-LUU82_11280
gene-LUU82_03040	2214	2915	2903	3028	3803	3471	3025	4500	3649	host	aroC
gene-LUU82_08920	419	537	503	554	595	603	457	574	440	host	gene-LUU82_08920
gene-LUU82_09710	616	942	923	729	968	1066	864	1169	1067	host	gene-LUU82_09710
gene-LUU82_10095	6292	8280	7626	8599	9829	8190	8106	11194	8593	host	gene-LUU82_10095
gene-LUU82_01865	2289	3714	3560	3215	3739	4608	3594	4775	4350	host	gene-LUU82_01865
gene-LUU82_07750	2419	3126	3206	3553	4258	4142	3555	5161	4308	host	gene-LUU82_07750
gene-LUU82_13605	4645	6484	5585	6304	7158	6451	5728	7618	6035	host	tsaD
gene-LUU82_05045	76462	111282	99794	106178	124393	117155	109042	146233	122538	host	ptsP
gene-LUU82_02175	34275	49102	38388	36887	46830	41284	37350	50306	37211	host	tgt
gene-LUU82_05590	164	279	253	232	232	292	221	231	273	host	gene-LUU82_05590
gene-LUU82_03780	441	679	644	570	751	817	623	913	749	host	gene-LUU82_03780
gene-LUU82_05165	147601	181696	175575	200972	200543	126154	109391	200986	135383	host	qoxB
gene-LUU82_12460	566	591	636	614	759	595	627	974	715	host	gene-LUU82_12460
gene-LUU82_09315	1429	1916	1855	1945	2861	2072	2331	3989	2603	host	gene-LUU82_09315
gene-LUU82_07425	1314	1906	1420	2012	2471	2284	2181	3099	2400	host	gene-LUU82_07425
gene-LUU82_00390	2709	3898	3411	3267	3781	3624	3302	4188	3509	host	rlmD
gene-LUU82_08615	805	890	918	1238	1566	1271	1082	1575	1100	host	gene-LUU82_08615
gene-LUU82_12815	117	151	152	137	181	126	136	178	144	host	lacD
gene-LUU82_03050	4336	5369	5551	5950	7004	5727	5491	8993	6358	host	aroA
gene-LUU82_00400	562	930	695	703	830	859	865	825	738	host	dinB
gene-LUU82_06275	48477	60902	57073	61218	75475	63058	51884	84501	63795	host	gene-LUU82_06275
gene-SAM1_00112	109047	106756	107910	79376	79196	85411	116899	121199	121341	phage	gene-SAM1_00112
gene-LUU82_02055	3062	4030	3647	3466	3652	3533	2667	4062	3018	host	gene-LUU82_02055
gene-LUU82_11750	96	179	122	102	184	281	155	164	161	host	gene-LUU82_11750
gene-LUU82_02045	3435	5202	4448	4103	4312	4844	3472	4760	4020	host	gene-LUU82_02045
gene-LUU82_05425	741	1032	893	844	1079	1027	944	1344	1190	host	gene-LUU82_05425
gene-LUU82_04900	6465	11584	8862	8147	11708	14052	9760	12546	11470	host	gene-LUU82_04900
gene-LUU82_10820	183	251	224	284	235	353	248	290	301	host	gene-LUU82_10820
gene-LUU82_08160	118	137	130	148	159	166	123	153	163	host	gene-LUU82_08160
gene-LUU82_11650	227	269	279	315	324	254	244	406	249	host	bioA
gene-LUU82_08190	7	12	4	10	17	6	14	10	13	host	gene-LUU82_08190
gene-LUU82_05335	9274	13770	11595	11122	13695	16907	12881	14934	13354	host	gene-LUU82_05335
gene-LUU82_05665	2240	3268	2927	2567	3098	3073	2853	3396	2960	host	gene-LUU82_05665
gene-LUU82_13585	222	316	328	345	336	351	323	371	295	host	gene-LUU82_13585
gene-LUU82_06795	2903	3860	3766	4148	4865	4436	3959	5885	4406	host	gene-LUU82_06795
gene-LUU82_06305	814	1216	1101	1310	1451	1707	1340	1596	1429	host	rapZ
gene-LUU82_02765	7076	9216	8826	9574	11239	9878	8625	13091	9492	host	recN
gene-LUU82_01795	107201	160657	125895	99315	136461	136854	116189	137025	121975	host	rpsD
gene-LUU82_08925	642	1051	887	765	983	991	734	1045	898	host	gene-LUU82_08925
gene-LUU82_09785	183	250	276	252	278	316	281	320	297	host	gene-LUU82_09785
gene-LUU82_00080	204	253	297	267	236	208	227	270	242	host	gene-LUU82_00080
gene-LUU82_12935	2422	3440	3229	2286	3469	3809	3061	3825	3484	host	gene-LUU82_12935
gene-LUU82_00775	2553	4034	4575	6544	6417	5199	24690	29477	24149	host	gene-LUU82_00775
gene-LUU82_02840	8460	11837	11075	13978	16801	14650	13065	20488	15492	host	zwf
gene-LUU82_12135	135	208	192	181	229	205	163	244	192	host	hutU
gene-LUU82_05680	559	840	776	3488	1027	870	761	1233	911	host	argH
gene-LUU82_01670	13943	19213	17956	16362	21047	19762	16675	23106	17898	host	murC
gene-LUU82_00340	2036	2784	2565	2663	3095	2877	2403	3302	2635	host	gene-LUU82_00340
gene-LUU82_04585	99	156	103	71	86	112	129	87	68	host	gene-LUU82_04585
gene-LUU82_02875	3072	4834	3991	3577	4806	4763	4597	6234	5078	host	gene-LUU82_02875
gene-LUU82_05085	1381	1960	1823	1643	2503	2017	2193	3593	2402	host	gene-LUU82_05085
gene-LUU82_07835	14993	20919	19870	20596	25840	22749	20643	31764	24275	host	metG
gene-LUU82_06980	1824	2805	2169	2528	3158	3097	2633	3273	2714	host	gene-LUU82_06980
gene-LUU82_10015	380	509	438	481	606	543	489	660	560	host	gene-LUU82_10015
gene-LUU82_06280	5048	6733	7054	6352	7383	8306	6862	8322	7507	host	gene-LUU82_06280
gene-LUU82_03355	771	1212	1062	1221	1309	1285	1085	1497	1170	host	gene-LUU82_03355
gene-LUU82_02980	3692	6099	5102	4932	6173	7603	5803	6700	6012	host	cmk
gene-SAM1_00216	2455	3251	2660	1183	1159	1370	4889	3906	5446	phage	gene-SAM1_00216
gene-LUU82_03335	3390	4546	4539	4850	5811	5247	4863	7085	5748	host	gene-LUU82_03335
gene-LUU82_09405	195	289	266	254	348	380	313	462	412	host	gene-LUU82_09405
gene-LUU82_05390	7421	10392	9484	9672	12118	10928	9566	13525	10781	host	gene-LUU82_05390
gene-LUU82_07645	10844	19658	15559	15554	20756	17750	18632	22522	17312	host	gene-LUU82_07645
gene-LUU82_12855	22737	31874	36661	25045	30417	36601	35220	45597	41756	host	amaP
gene-LUU82_05275	591	928	853	933	1174	1158	1065	1293	1215	host	gene-LUU82_05275
gene-LUU82_05610	5998	9118	9785	13139	12302	12005	9042	14698	11435	host	clpB
gene-LUU82_10410	196	304	279	220	327	351	243	307	304	host	gene-LUU82_10410
gene-LUU82_01995	59625	91849	74118	65438	88916	87006	74512	89936	78196	host	infC
gene-LUU82_12780	421	628	564	655	752	1009	727	928	908	host	gene-LUU82_12780
gene-LUU82_02210	4520	6731	6376	6866	8551	8540	7633	10380	8370	host	gene-LUU82_02210
gene-LUU82_13655	3604	5043	4823	6215	7085	6340	5244	8299	6279	host	gene-LUU82_13655
gene-LUU82_07280	1135	1657	1569	1640	2150	1896	1723	2555	2053	host	gene-LUU82_07280
gene-LUU82_06745	2310	3492	3454	2735	3653	4011	3452	4736	4032	host	gene-LUU82_06745
gene-LUU82_00060	90	138	130	114	130	122	143	147	145	host	gene-LUU82_00060
gene-LUU82_03400	118	193	222	313	262	202	250	425	343	host	dapA
gene-LUU82_03865	45	72	63	52	104	102	94	127	96	host	gene-LUU82_03865
gene-LUU82_07905	5249	9264	7367	8432	9954	13217	10115	11035	10663	host	recR
gene-LUU82_12790	951	1491	1339	1385	1733	1576	1409	1969	1602	host	gene-LUU82_12790
gene-LUU82_00895	5060	6778	6344	6817	8832	6573	6899	8155	7038	host	gene-LUU82_00895
gene-LUU82_08590	2263	3320	3622	3022	3720	4377	3429	4333	4012	host	gene-LUU82_08590
gene-LUU82_10140	9189	13255	11825	13405	15744	12994	12902	19284	14214	host	recF
gene-SAM1_00206	1393	1833	1552	615	608	757	3887	2971	4492	phage	gene-SAM1_00206
gene-LUU82_01700	5947	9520	7968	8244	10778	12352	10352	12648	11550	host	ccpA
gene-SAM1_00006	3429	4365	3913	1549	1565	2036	5632	5127	6565	phage	gene-SAM1_00006
gene-LUU82_02415	390	592	542	519	572	667	618	687	592	host	gene-LUU82_02415
gene-LUU82_10560	864	1330	1032	1039	1190	1183	976	1312	970	host	gene-LUU82_10560
gene-LUU82_13560	150	189	182	166	228	164	157	216	201	host	gene-LUU82_13560
gene-LUU82_07535	3431	4166	4028	4863	5444	4553	3956	6328	4358	host	rlmB
gene-LUU82_02770	7052	9277	8515	9503	11332	8578	7865	13000	8735	host	lpdA
gene-LUU82_07445	1342	2075	1850	2395	2850	2846	2457	3443	2715	host	gene-LUU82_07445
gene-LUU82_03960	3977	4941	4939	5258	5749	5205	4690	6300	5097	host	mutS
gene-LUU82_07800	7339	11568	10990	8164	10164	13738	11676	12326	12541	host	gene-LUU82_07800
gene-LUU82_05100	2130	2678	3862	5299	4766	4556	3913	6612	5219	host	purN
gene-LUU82_10340	91	106	120	133	111	110	106	156	143	host	hisH
gene-LUU82_03990	8912	11333	11912	8273	13997	11368	10582	17595	12789	host	gene-LUU82_03990
gene-LUU82_06055	3512	4849	4606	5380	6669	5848	5689	8534	6395	host	gene-LUU82_06055
gene-LUU82_08865	2960	4014	3709	3452	4303	4347	3836	4769	3929	host	lytM
gene-LUU82_01175	415	577	544	470	571	469	355	610	453	host	gene-LUU82_01175
gene-LUU82_10385	1720	2950	2204	2267	2743	4145	2784	2773	2971	host	icaR
gene-LUU82_13070	10304	17224	13351	14712	15294	22691	21663	18248	19271	host	gene-LUU82_13070
gene-LUU82_00505	1999	2597	2327	2079	2560	2315	2192	2918	2236	host	gene-LUU82_00505
gene-LUU82_05530	25	38	33	32	45	52	36	47	46	host	gene-LUU82_05530
gene-LUU82_11610	2568	3648	3391	3077	3482	2957	2821	4328	3293	host	gene-LUU82_11610
gene-LUU82_05145	2229	3404	3078	4304	4025	4385	3866	5099	4486	host	folD
gene-LUU82_11125	2100	3191	2300	2299	2021	1919	1631	2358	1954	host	gene-LUU82_11125
gene-LUU82_12080	1053	1454	1238	1761	2189	1881	2073	2856	2340	host	gene-LUU82_12080
gene-LUU82_12940	1085	1607	1425	1291	1635	1950	1473	1814	1535	host	sepA
gene-LUU82_13315	1511	2149	2124	1847	2238	2136	2008	2622	2139	host	gene-LUU82_13315
gene-LUU82_07405	1323	1938	1559	1533	1970	2166	1597	1914	1663	host	gene-LUU82_07405
gene-LUU82_08285	36167	48023	51987	56585	75817	57464	64926	106760	73225	host	guaB
gene-LUU82_09150	828	1494	1391	10193	707	733	436	542	465	host	pflA
gene-LUU82_10020	132	222	178	155	244	235	187	287	228	host	gene-LUU82_10020
gene-LUU82_05485	6197	8350	8205	13030	14072	12687	12657	19821	14805	host	pepF
gene-SAM1_00022	20860	26257	23340	6952	7045	7537	10338	10132	10669	phage	gene-SAM1_00022
gene-LUU82_03765	777	1248	906	714	901	1088	777	834	740	host	gene-LUU82_03765
gene-LUU82_04240	90287	151007	108521	79422	110970	113624	100699	107095	94599	host	rplS
gene-LUU82_01655	3691	4929	4524	4224	5452	5406	4196	5461	4327	host	gene-LUU82_01655
gene-LUU82_04885	4196	6505	5036	4400	4160	4796	2967	3637	3319	host	gene-LUU82_04885
gene-LUU82_07930	310225	550133	462106	508100	620488	846095	899433	594425	760564	host	ffs
gene-LUU82_07815	9151	14922	10776	10337	11611	11684	13433	14288	12910	host	gene-LUU82_07815
gene-LUU82_02095	104	102	95	94	83	102	90	116	112	host	gene-LUU82_02095
gene-LUU82_01015	5909	11436	7293	6907	9455	10223	13469	9187	9420	host	gene-LUU82_01015
gene-LUU82_02190	7630	13165	11587	8456	10343	9924	8384	11692	8880	host	recJ
gene-LUU82_02505	2082	2932	2532	2772	3281	3140	2746	3284	2934	host	gene-LUU82_02505
gene-LUU82_11590	352	406	365	393	532	443	413	573	470	host	gene-LUU82_11590
gene-LUU82_05155	33	65	37	33	28	65	36	21	41	host	gene-LUU82_05155
gene-LUU82_03520	29	44	28	44	34	37	32	40	57	host	gene-LUU82_03520
gene-LUU82_08185	64	101	79	106	99	91	79	92	78	host	gene-LUU82_08185
gene-LUU82_03710	7211	11050	11122	4190	5783	5755	6000	9417	7576	host	gene-LUU82_03710
gene-LUU82_06000	132	205	197	190	236	248	188	305	230	host	gene-LUU82_06000
gene-LUU82_12660	104705	136622	118412	101683	145409	111545	112929	163571	119229	host	gene-LUU82_12660
gene-LUU82_08460	624	1054	853	857	1156	1010	930	1264	961	host	gene-LUU82_08460
gene-LUU82_01690	4430	6246	6119	6529	8608	8992	8456	10978	9545	host	gene-LUU82_01690
gene-LUU82_05830	1712	2241	1644	2537	2973	2230	1865	2702	1820	host	gene-LUU82_05830
gene-LUU82_09935	983	1494	1321	1437	1616	1880	1641	1863	1664	host	gene-LUU82_09935
gene-LUU82_02665	47	75	53	59	64	89	82	70	60	host	gene-LUU82_02665
gene-LUU82_13970	542	786	743	690	829	990	717	940	902	host	gene-LUU82_13970
gene-LUU82_12980	1610	3539	2295	1891	2666	3138	2795	2314	2182	host	gene-LUU82_12980
gene-LUU82_03350	1411	1879	1875	2134	2354	2449	1982	2732	2202	host	gene-LUU82_03350
gene-LUU82_08180	62	84	92	73	82	64	65	88	70	host	gene-LUU82_08180
gene-LUU82_00480	7037	10658	10630	9092	11079	13426	11370	14218	12999	host	gene-LUU82_00480
gene-LUU82_04250	4123	6202	4651	3263	4549	4233	3654	4314	3474	host	rimM
gene-LUU82_05690	2380	3832	3153	4180	4426	4052	3539	4788	3910	host	gene-LUU82_05690
gene-LUU82_13415	174	246	329	240	326	279	270	330	293	host	gene-LUU82_13415
gene-LUU82_06210	36	50	46	25	40	59	38	37	37	host	gene-LUU82_06210
gene-LUU82_12310	983	1567	1162	1507	2164	1837	2178	2687	2232	host	gene-LUU82_12310
gene-LUU82_09310	95	143	85	110	114	177	100	111	109	host	gene-LUU82_09310
gene-LUU82_01805	14650	21686	19027	20740	24543	25686	21984	27549	23904	host	ezrA
gene-LUU82_08045	812	1084	922	1273	1295	1199	1127	1554	1259	host	gene-LUU82_08045
gene-LUU82_04130	7567	10750	9031	7716	10149	9137	8388	11361	8354	host	gene-LUU82_04130
gene-LUU82_05785	992	1533	1268	1380	1821	2291	1586	1867	1745	host	gene-LUU82_05785
gene-LUU82_07675	1657	4356	2338	1945	2744	4516	3661	1967	2732	host	gene-LUU82_07675
gene-LUU82_02425	601	840	753	711	881	917	800	900	831	host	gene-LUU82_02425
gene-LUU82_11595	1522	2061	1878	2147	2573	2555	2298	2688	2268	host	gene-LUU82_11595
gene-LUU82_12120	1556	2444	2587	1903	2661	3055	2351	3370	2947	host	hutG
gene-LUU82_00885	6259	10189	8076	6596	8609	8644	7839	10338	8740	host	perR
gene-LUU82_04960	2468	3797	3401	2080	3225	2821	2398	3218	2658	host	gene-LUU82_04960
gene-LUU82_04100	4535	6053	5642	4679	5898	5291	4429	6393	4847	host	gene-LUU82_04100
gene-SAM1_00005	4190	5140	4886	1852	1927	2208	7738	6800	9182	phage	gene-SAM1_00005
gene-LUU82_13720	13385	19623	18837	27390	29619	26320	18435	27542	22470	host	groL
gene-LUU82_02085	20335	27440	24674	23605	29563	26528	22880	31600	23740	host	gene-LUU82_02085
gene-SAM1_00033	37300	37190	36325	35492	35605	41654	33867	34252	35082	phage	gene-SAM1_00033
gene-LUU82_11115	34	64	34	35	26	46	28	24	23	host	gene-LUU82_11115
gene-LUU82_00090	40	56	66	58	63	70	81	79	63	host	gene-LUU82_00090
gene-LUU82_03320	2866	4431	3758	4439	4990	5248	4265	5699	5061	host	gene-LUU82_03320
gene-LUU82_11585	785	1044	972	830	982	801	772	987	745	host	gene-LUU82_11585
gene-LUU82_01465	613	952	753	831	958	1242	925	942	955	host	gene-LUU82_01465
gene-LUU82_09790	140	177	184	228	222	268	231	318	249	host	gene-LUU82_09790
gene-LUU82_09775	477	594	567	556	649	636	606	726	658	host	gene-LUU82_09775
gene-SAM1_00173	11416	13116	12145	14526	13395	16868	20535	20500	21120	phage	gene-SAM1_00173
gene-LUU82_13270	37628	48616	45127	51763	57068	43895	36829	62915	44130	host	atpB
gene-LUU82_08605	589	786	730	919	1169	1036	826	1097	869	host	gene-LUU82_08605
gene-LUU82_13905	3110	3417	4365	4522	3591	4205	4153	4076	4259	host	gene-LUU82_13905
gene-LUU82_01220	6550	15298	8892	6887	11027	14839	14522	7939	10766	host	gene-LUU82_01220
gene-LUU82_01620	3825	5103	5126	6315	6893	6793	6004	8933	6685	host	dat
gene-LUU82_12155	265	424	385	390	553	540	407	604	510	host	gene-LUU82_12155
gene-LUU82_02090	11668	15912	13816	12979	16961	15497	13373	17968	14122	host	gene-LUU82_02090
gene-LUU82_03540	184	215	235	237	297	259	290	341	278	host	gene-LUU82_03540
gene-LUU82_03360	486	903	631	768	989	1270	879	868	887	host	msaA
gene-LUU82_06145	628	898	801	720	852	1049	785	967	959	host	gene-LUU82_06145
gene-LUU82_02565	4846	6898	6162	5452	6834	6737	5930	7641	6268	host	gene-LUU82_02565
gene-LUU82_11260	4240	5926	2539	5854	9459	5101	10961	17715	8455	host	fnbA
gene-LUU82_01960	318	398	432	424	586	559	468	615	543	host	gap
gene-LUU82_11780	356	639	446	477	464	665	417	495	459	host	gene-LUU82_11780
gene-LUU82_02205	3644	5179	5244	5347	6401	6547	5737	8620	6947	host	dtd
gene-SAM1_00070	218493	299062	242189	64126	58313	66714	75352	69273	75754	phage	gene-SAM1_00070
gene-LUU82_07920	815	1127	1028	970	1310	1117	912	1408	1104	host	gene-LUU82_07920
gene-LUU82_04325	89513	167963	114555	91623	124055	151681	154300	146368	150386	host	rpmB
gene-LUU82_04925	2461	3775	3103	3555	3893	3773	3317	4574	3932	host	gene-LUU82_04925
gene-LUU82_07160	400	520	543	627	685	713	576	827	687	host	gene-LUU82_07160
gene-LUU82_04705	2392	3292	3113	3864	4368	4348	3723	4889	3984	host	racE
gene-LUU82_05055	3783	5191	5850	4343	5186	6295	5414	6795	6048	host	gene-LUU82_05055
gene-LUU82_08505	1230	1652	1519	1954	2335	2066	1971	2571	1999	host	tatC
gene-LUU82_12825	278	373	344	295	390	339	297	476	343	host	gene-LUU82_12825
gene-LUU82_02960	12010	16058	16479	19725	22022	21040	18422	27840	22505	host	ebpS
gene-LUU82_05410	4487	5958	5503	6721	7605	7200	5992	8126	6350	host	gene-LUU82_05410
gene-LUU82_03185	216	423	333	2012	284	238	183	303	240	host	tdcB
gene-LUU82_09850	765	1145	1325	868	1213	1429	1118	1557	1265	host	sqr
gene-LUU82_03025	6595	8883	8219	8384	9889	8858	8071	10896	8942	host	gene-LUU82_03025
gene-LUU82_09925	6852	9122	8808	9287	11010	11621	9714	12584	10465	host	gene-LUU82_09925
gene-LUU82_04970	1612	2547	2191	1446	2089	2018	1591	2145	1763	host	gene-LUU82_04970
gene-SAM1_00212	1590	1946	1946	597	577	688	2293	2402	2704	phage	gene-SAM1_00212
gene-LUU82_09700	257135	401752	332982	444360	576610	462354	592017	856257	609615	host	spa
gene-LUU82_01870	7713	12602	10795	12004	14324	15956	13566	18323	15880	host	gene-LUU82_01870
gene-LUU82_11935	2679	4011	3629	3963	4548	4734	3440	4579	3932	host	gene-LUU82_11935
gene-LUU82_02305	4131	5556	4801	4349	5254	4912	4319	4957	4351	host	gene-LUU82_02305
gene-LUU82_07120	1701	2701	2234	2271	2959	2908	2471	3086	2666	host	gene-LUU82_07120
gene-LUU82_10105	447	594	531	524	691	650	580	948	758	host	gene-LUU82_10105
gene-LUU82_13340	546	812	731	641	698	867	611	851	729	host	sceD
gene-SAM1_00051	40864	60268	45893	14317	14436	19457	23526	19093	21973	phage	gene-SAM1_00051
gene-LUU82_09870	643	1071	996	680	953	1029	840	1059	955	host	gene-LUU82_09870
gene-LUU82_03635	7395	12851	9877	8286	11462	14487	11066	12217	11334	host	mscL
gene-LUU82_02820	183	339	259	275	276	361	307	317	276	host	gene-LUU82_02820
gene-LUU82_05850	350	655	481	481	637	780	649	701	604	host	gene-LUU82_05850
gene-LUU82_09990	4279	6568	5799	5716	7111	6746	5968	8126	7123	host	gene-LUU82_09990
gene-LUU82_10850	1761	2599	2959	2370	3022	2874	2587	4218	3358	host	gene-LUU82_10850
gene-LUU82_13055	431	639	596	533	668	735	516	692	636	host	gene-LUU82_13055
gene-LUU82_02330	320	388	404	288	422	466	512	648	646	host	pxpB
gene-LUU82_09270	1382	2157	1751	1720	2138	2291	2019	2722	2340	host	gene-LUU82_09270
gene-LUU82_10555	1485	2029	1692	1754	2013	1846	1605	1922	1598	host	arcC
gene-LUU82_01665	32706	41339	41889	39152	49730	41470	37641	56638	40071	host	gene-LUU82_01665
gene-LUU82_03445	160	208	199	191	293	285	224	295	219	host	pstB
gene-LUU82_12215	2795	4108	3786	3648	4744	5035	4253	5894	4837	host	gene-LUU82_12215
gene-SAM1_00059	88610	111561	97704	24257	24971	28806	36858	34163	34624	phage	gene-SAM1_00059
gene-SAM1_00061	114027	131476	119344	44985	43800	46816	68943	66198	64828	phage	gene-SAM1_00061
gene-LUU82_08735	503	628	678	565	689	773	638	806	724	host	gene-LUU82_08735
gene-LUU82_08370	501	987	761	708	1006	1340	1095	1317	1256	host	gene-LUU82_08370
gene-LUU82_04855	1265	1859	1589	1560	2073	1791	1566	2076	1710	host	gene-LUU82_04855
gene-LUU82_08260	311	498	435	373	508	546	426	507	488	host	gene-LUU82_08260
gene-LUU82_04160	83883	117608	95780	77566	104167	98843	91686	109345	90160	host	rpsB
gene-LUU82_05810	6370	8469	6593	9253	11301	9344	7898	10770	7672	host	dltC
gene-LUU82_01505	2521	3818	3048	2619	3578	3370	2770	3405	2888	host	arsB
gene-LUU82_09520	607	831	728	686	802	1104	742	834	822	host	gene-LUU82_09520
gene-SAM1_00073	84151	68305	71497	235108	208384	243908	315821	313224	293207	phage	gene-SAM1_00073
gene-LUU82_13185	2057	3309	2755	3032	3718	3940	3246	4194	3394	host	gene-LUU82_13185
gene-LUU82_12570	239838	305848	269317	217228	318827	197238	219396	347525	220881	host	rplB
gene-LUU82_02495	19040	27471	24779	26628	32138	27051	29114	42801	31735	host	floA
gene-LUU82_03495	1381	1986	1747	1600	2179	2014	1831	2530	2099	host	gene-LUU82_03495
gene-LUU82_09055	5679	9711	9379	81827	3765	4162	2678	2677	2842	host	gene-LUU82_09055
gene-LUU82_07200	485	687	658	818	1003	1069	864	1112	899	host	gene-LUU82_07200
gene-SAM1_00109	188519	188299	185414	131598	128107	143696	191086	172062	164984	phage	gene-SAM1_00109
gene-LUU82_01915	15689	21425	20498	21431	25011	23546	21634	30761	25265	host	gene-LUU82_01915
gene-LUU82_07455	526868	658767	603545	524029	752153	451003	523861	852659	531783	host	fusA
gene-LUU82_07190	207	276	321	404	405	429	328	525	458	host	gene-LUU82_07190
gene-LUU82_02005	33197	58033	41213	34996	50635	52469	46458	47450	43139	host	rplT
gene-LUU82_12755	22	23	30	23	26	25	18	23	22	host	gene-LUU82_12755
gene-LUU82_10615	107	142	129	171	191	196	239	304	312	host	gene-LUU82_10615
gene-LUU82_03105	2265	3223	2983	2750	3625	3310	2800	3969	3059	host	gene-LUU82_03105
gene-LUU82_13780	5314	7472	6842	8622	10327	8896	8203	12003	9431	host	gene-LUU82_13780
gene-LUU82_08135	2791	4337	1099	3633	3628	2048	2484	3460	1851	host	gene-LUU82_08135
gene-LUU82_00805	1552	2529	2055	2103	2539	2865	2917	3334	3010	host	gene-LUU82_00805
gene-SAM1_00115	24638	24742	24472	25251	23716	23290	41023	39496	37259	phage	gene-SAM1_00115
gene-LUU82_04340	2158	3083	2752	2894	3184	3350	2683	3289	2836	host	rsgA
gene-LUU82_05865	2439	3128	3264	3736	4380	3417	3162	5250	3630	host	gene-LUU82_05865
gene-LUU82_08900	490	681	628	792	823	582	637	1004	752	host	rbsU
gene-LUU82_08785	2220	3079	2984	2574	3159	3625	3096	3796	3542	host	gene-LUU82_08785
gene-LUU82_13325	7960	11211	10123	9524	11443	10671	9404	13188	10622	host	fabZ
gene-LUU82_00455	1874	2618	2610	3022	3326	3182	3110	3998	3391	host	liaF
gene-LUU82_08930	183	273	212	207	275	249	164	325	286	host	gene-LUU82_08930
gene-LUU82_08685	3806	6154	5252	5547	6997	7586	7395	9388	8388	host	gene-LUU82_08685
gene-LUU82_09985	1458	2293	1952	2010	2548	2387	2271	2881	2518	host	gene-LUU82_09985
gene-LUU82_09675	80	110	134	199	303	277	126	172	184	host	sbnA
gene-LUU82_10590	554	766	804	820	874	1052	687	1049	892	host	gene-LUU82_10590
gene-LUU82_04260	9537	13710	12045	11743	14675	14276	12658	16619	13750	host	ffh
gene-LUU82_09400	708	1033	940	1668	2159	2116	1810	2669	2340	host	gene-LUU82_09400
gene-LUU82_11160	679	858	782	789	919	809	765	945	900	host	gene-LUU82_11160
gene-LUU82_11220	905	1163	988	1310	1403	1344	1441	1585	1525	host	gene-LUU82_11220
gene-LUU82_04390	2449	3486	3338	3178	4004	3255	3046	4767	3447	host	coaBC
gene-LUU82_06215	650	1011	954	1539	1552	1868	2109	2239	2124	host	gene-LUU82_06215
gene-LUU82_11870	11391	16352	13073	14038	15163	17017	16777	18037	16708	host	gene-LUU82_11870
gene-LUU82_13510	2088	4682	2659	1828	2574	3615	3020	1740	2390	host	gene-LUU82_13510
