Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-b3967	25.720854134833388	45.56402682353829	25.704794873995645	17.691099493054793	9.219858100390573	4.75653289159956	5.993126276569271	2.7355193116588725	2.575181092278549	1.8350621353912857	6.925587706490033	0.8377168188439738	host	murI	None	None	13.754068978037289
gene-T4p149	0.3784619170943226	0.0711545294146693	1.7877713857126725	49.2996556895853	3.595417802988415	112.35216657771282	36.40146320154447	406.47793346995365	1005.8735451843346	2195.6074171755536	2373.5995085341683	2567.2618260216955	phage	5.3	late	late	1354.409075928041
gene-b2180	8.42541916942625	21.771272193452543	21.50674520639954	12.039081244256382	9.306026683282091	3.2271787212231815	5.54890885324938	2.048759784454518	1.766473758534534	1.2583678914841676	3.2795871241592	1.035069961142607	host	yejF	None	None	6.662163593057596
gene-b1573	5.614715838536321	5.278106531238826	4.985468149981523	2.404274955247078	0.9357936747504095	2.7680331280730472	2.718727507727026	1.0528271074926008	0.5130033380949605	0.9512157699069349	0.5537372334515374	0.4600953978799958	host	ydfC	None	None	1.4982119162261063
gene-b1619	15.083777109817866	8.349261363622075	8.359227924601832	6.583177085752763	3.78923329393076	2.019918367480716	1.4800459053073618	1.254766601768275	0.8289546127289662	0.8263514178433883	3.0001310265518844	0.44607686622583975	host	hdhA	None	None	4.184928678035672
gene-b4823	1.7976941061980325	5.745728250234547	1.2131305831621706	5.818948614804979	1.1385489709463315	3.3147378338145086	1.5035386974550977	2.7917915393126447	1.040256768914781	3.36428058155069	3.368568170163519	2.052536691653537	host	ytiE	None	None	0.9140511863087327
gene-b0931	113.45646493680749	254.1403791878717	138.20612858149778	99.22293750429337	43.849751389763455	8.288663143946344	23.35171822381633	3.5924300106865954	7.564560444278058	2.26723986124254	19.45537127705414	1.3680475795650417	host	pncB	None	None	93.4915367835585
gene-b1627	23.462688025223805	45.55467019015553	33.692513309679256	28.337582582769976	13.02875626546833	4.781423893889959	5.487141225763965	2.509057041395597	1.9947191651355594	1.1403870672307908	3.958935787614858	0.5424698660227718	host	rsxA	None	None	15.559788999590497
gene-T4p165	0.2131653090353398	0.02404629353736848	1.6974238199186105	74.4484777054517	0.9450406478210658	119.83052405581385	2.8169064924652822	147.39179372976568	543.1620540995273	1034.142085721838	1117.2195856064068	1905.0446353580796	phage	17	late	late	857.9330759890341
gene-b1043	2.1377983965598224	1.278858434074462	0.6557462611687409	1.649198000397613	0.6154318761872063	1.7917501804402747	0.16254472404919976	1.1895073649217627	0.11246019123403038	0.8292497001011432	0.36416953190956963	0.3025852616688261	host	csgC	None	None	0.4565443291930059
gene-b0973	1.3347427811905124	1.2547232653473042	1.7770942990803704	1.2844501959101293	0.708261232762601	1.4340952715125244	0.27154210589490063	1.2687464992744855	0.18787245993778653	0.888440116117868	0.06759668568890005	0.3182711197152034	host	hyaB	None	None	0.33563335335841366
gene-b3359	32.17298248045815	13.263588901972277	35.73220990404939	6.431408509516839	14.065415788496697	3.967912217775009	8.999066995087514	3.394211653229942	3.833870155705581	1.7021441212602413	10.428491141046768	0.9077557850064784	host	argD	None	None	10.718794054960341
gene-T4p002	0.31724013638788806	0.0596442378917081	28.90105212827524	298.98664591714174	611.4007973981801	3244.5979812509936	572.3175830136435	5014.299109063928	828.47272907866	1073.9496052197662	98.08477907240837	442.12957474062097	phage	rIIA.1	early	middle	2135.027962125635
gene-b2686	24.095408721671873	22.17649500090527	29.2570206138058	15.8813979264189	11.958093285494805	3.675288264860999	7.6319975987779225	2.393238567584145	2.019679808653259	1.5833760304280675	6.855331714718741	0.7638360893979138	host	emrB	None	None	8.446955423587994
gene-b3050	1.9517821724435782	2.491425022790778	2.1489741758872736	2.992602144756847	0.845779235560132	2.5229890255091	0.08591649699743416	2.0926706328293103	0.6538756833178624	1.514887484721111	0.577468829170889	1.0769153551013364	host	yqiJ	None	None	0.49229676259395205
gene-b3042	58.489923702690625	118.12018658759922	28.664899965027786	43.79533017083091	10.000450755116232	9.759681704509521	5.394138832106949	4.855584072012531	3.7320552121891115	2.513845943822619	10.418252072670679	2.100627991832861	host	ubiK	None	None	43.988169497111635
gene-b4107	5.3930823185940975	4.795719127779233	2.262324601032156	3.685192439032811	1.3847217214212142	3.0423918063875868	0.3657256291106995	2.6231300472714993	0.08434514342552278	1.8221671041696172	0.27312714893217727	0.8623679957561543	host	yjdN	None	None	1.2851938017610047
gene-b3667	2.9907092857658175	4.986800508091267	6.782502805861227	4.816716924638324	3.0740822215550954	3.908979925476528	1.3531848277095881	3.892085851865275	0.4823008655877621	2.337869160488498	1.5617906970758135	1.5826584572832645	host	uhpC	None	None	0.9660750947403415
gene-b0408	203.081067308618	148.5308062609333	222.54644223970445	84.99566062857207	85.457711397199	9.734997581023546	48.3573192759422	3.0359933202532843	20.852419776882655	1.7537950979668144	60.568605605083015	1.1159305153559076	host	secD	None	None	76.28359563932935
gene-b0714	11.521584953360119	12.274964898228351	17.480108857382184	7.784809633320176	5.226974821162703	2.4287988127768125	3.0754200629763364	1.4705426022582646	0.4255595872833195	0.7646092230797024	1.6842840850817595	0.34774381966031	host	nei	None	None	5.452599510521022
gene-b2491	1.6396256229406794	1.8556380182225012	0.8895085647031118	1.780349364726251	0.5904844141420618	1.9989202937029846	0.24200026725059695	1.8179563034991078	0.1674332802426175	0.989128573961729	0.3012132491949496	0.38375567463512816	host	hyfR	None	None	0.4501444600574386
