Geneid	0_R1	0_R2	10_R1	10_R2	30_R1	30_R2	50_R1	50_R2	70_R1	70_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-HB27c_C1735	118	197	83	53	146	111	72	55	57	53	host	gene-HB27c_C1735	None	None	4.217637054056059
gene-HB27c_C1855	22	42	13	11	29	20	19	12	10	6	host	gene-HB27c_C1855	None	None	8.150751231480726
gene-HB27c_C1445	9	8	5	6	9	5	1	7	4	4	host	gene-HB27c_C1445	None	None	1.20003779855709
gene-HB27c_C1555	122	191	66	55	163	113	72	46	73	46	host	paaX	None	None	17.295656525100554
gene-HB27c_P0266	20	12	4	7	24	6	6	3	8	1	host	gene-HB27c_P0266	None	None	4.451730809688966
gene-HB27c_C1417	96	148	49	60	105	74	51	47	69	38	host	gene-HB27c_C1417	None	None	8.316230129317562
gene-HB27c_C1575	63	85	29	21	62	38	35	23	46	22	host	gene-HB27c_C1575	None	None	8.374814267033813
gene-HB27c_C0211	274	450	171	215	321	268	178	160	218	157	host	gene-HB27c_C0211	None	None	10.922020098235082
gene-HB27c_C0437	38	69	27	34	44	29	31	26	23	10	host	gene-HB27c_C0437	None	None	3.61071743968194
gene-HB27c_P0044	9	12	5	5	17	8	8	4	5	2	host	gene-HB27c_P0044	None	None	1.3844821501968068
gene-HB27c_C0819	58	87	33	41	94	55	29	34	44	24	host	gene-HB27c_C0819	None	None	4.446605800953279
gene-HB27c_C0162	197	295	129	141	318	236	144	155	122	72	host	gene-HB27c_C0162	None	None	44.86755065799294
gene-HB27c_C1393	254	337	147	189	342	227	200	151	187	101	host	gene-HB27c_C1393	None	None	7.423187499645577
gene-HB27c_C0773	411	611	183	242	570	367	308	220	435	300	host	gene-HB27c_C0773	None	None	10.017090940087202
gene-HB27c_C0702	340	516	327	356	515	368	334	282	225	193	host	gene-HB27c_C0702	None	None	80.93248568842878
gene-HB27c_C1115	62	101	38	32	107	51	67	40	54	25	host	gene-HB27c_C1115	None	None	9.57670815091463
gene-HB27c_C1585	50	99	40	46	103	64	43	42	39	35	host	gene-HB27c_C1585	None	None	29.43199686876844
gene-HB27c_C1826	71	94	27	41	58	48	35	33	34	27	host	gene-HB27c_C1826	None	None	8.661940047908256
