Geneid	0_R1	0_R2	10_R1	10_R2	30_R1	30_R2	50_R1	50_R2	70_R1	70_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-HB27c_C1178	14	27	17	14	20	4	7	12	15	5	host	gene-HB27c_C1178	None	None	7.56581421903682
gene-HB27c_C0908	44	55	16	17	37	26	21	11	27	18	host	gene-HB27c_C0908	None	None	18.942339636093813
gene-HB27c_C1268	249	360	176	206	292	225	187	141	172	95	host	gene-HB27c_C1268	None	None	8.662126125278228
gene-HB27c_C1673	101	129	36	40	106	73	76	54	118	82	host	gene-HB27c_C1673	None	None	6.80814448863079
gene-HB27c_C1076	53	98	45	57	91	61	40	32	36	24	host	gene-HB27c_C1076	None	None	8.209967658107447
gene-HB27c_C0117	77	91	46	48	74	46	23	31	28	15	host	gene-HB27c_C0117	None	None	12.073034190778202
gene-HB27c_C0669	8	9	2	2	10	4	3	3	7	0	host	gene-HB27c_C0669	None	None	2.060878161853252
gene-HB27c_C0182	343	539	161	235	650	444	387	258	478	254	host	gene-HB27c_C0182	None	None	28.297089409715824
gene-HB27c_C1468	72	121	49	70	84	57	53	39	36	15	host	gene-HB27c_C1468	None	None	5.519926713938824
gene-HB27c_P0199	263	317	200	121	165	153	84	107	79	61	host	gene-HB27c_P0199	None	None	19.873027977409677
gene-HB27c_C1936	192	295	131	136	264	185	186	138	238	180	host	gene-HB27c_C1936	None	None	6.184937563953101
gene-HB27c_C1203	54	65	21	26	41	35	22	18	23	24	host	gene-HB27c_C1203	None	None	9.921927921334518
gene-HB27c_C1287	177	265	120	147	224	167	120	96	100	87	host	gene-HB27c_C1287	None	None	24.98411579521675
gene-HB27c_C0944	99	163	71	91	154	100	78	64	70	42	host	gene-HB27c_C0944	None	None	7.17208991653012
gene-HB27c_C1327	218	329	158	155	259	190	128	102	119	81	host	gene-HB27c_C1327	None	None	30.85715318801553
gene-HB27c_C1732	35	83	43	33	49	36	44	22	39	26	host	gene-HB27c_C1732	None	None	13.616185530791139
gene-HB27c_C0864	51	76	25	16	51	50	23	11	18	13	host	gene-HB27c_C0864	None	None	14.778790148855506
gene-HB27c_C1106	119	168	68	64	121	84	72	47	64	37	host	gene-HB27c_C1106	None	None	17.17934847431388
gene-HB27c_C1670	349	452	116	183	360	258	200	119	229	116	host	gene-HB27c_C1670	None	None	12.044567168559634
gene-HB27c_P0099	4	20	2	7	7	6	6	6	8	7	host	gene-HB27c_P0099	None	None	1.1007103805560545
gene-HB27c_C1093	167	195	184	172	216	186	169	131	126	73	host	gene-HB27c_C1093	None	None	24.155759535912598
gene-HB27c_C1462	346	458	165	118	322	235	174	179	237	147	host	gene-HB27c_C1462	None	None	105.18268653665443
gene-HB27c_P0013	144	223	91	99	320	162	146	66	102	43	host	gene-HB27c_P0013	None	None	25.562059370306844
gene-HB27c_C0617	24	44	12	9	39	24	13	16	17	15	host	gene-HB27c_C0617	None	None	2.0725202378379586
gene-HB27c_C1947	614	907	799	1108	1005	819	811	707	509	386	host	gene-HB27c_C1947	None	None	49.23158344269382
gene-HB27c_P0257	15	30	9	15	47	31	19	10	16	11	host	gene-HB27c_P0257	None	None	3.095576453592758
gene-HB27c_C0359	6	6	5	4	6	5	0	2	2	0	host	gene-HB27c_C0359	None	None	0.8355566954426684
gene-HB27c_C1978	110	163	44	55	160	104	87	53	73	56	host	gene-HB27c_C1978	None	None	9.701098254023321
gene-HB27c_C2031	144	195	76	94	154	105	77	58	55	30	host	gene-HB27c_C2031	None	None	21.92519405197899
gene-HB27c_P0014	167	243	102	114	322	205	152	71	134	34	host	gene-HB27c_P0014	None	None	20.61493351163199
gene-HB27c_C0980	98	165	60	82	144	114	54	63	64	31	host	gene-HB27c_C0980	None	None	9.229196639781692
gene-HB27c_C1742	168	256	111	132	209	157	110	80	81	54	host	gene-HB27c_C1742	None	None	17.666316150901583
gene-HB27c_C0756	91	143	49	36	139	61	69	46	49	32	host	gene-HB27c_C0756	None	None	21.491044055995026
gene-HB27c_C0570	183	250	75	93	199	124	97	73	72	56	host	gene-HB27c_C0570	None	None	6.431429662873926
gene-HB27c_C0406	189	288	124	124	240	174	147	118	157	90	host	gene-HB27c_C0406	None	None	8.529016351942207
gene-HB27c_C0578	87	166	46	66	144	77	63	67	94	64	host	gene-HB27c_C0578	None	None	23.390637533548063
gene-HB27c_C0951	94	138	39	54	126	71	66	34	56	34	host	gene-HB27c_C0951	None	None	6.6265918731786675
gene-HB27c_C1144	91	155	51	80	105	72	66	39	57	29	host	mltF	None	None	5.932371763473342
gene-HB27c_C0746	101	142	64	39	55	66	49	52	35	21	host	ftsW	None	None	11.253094773762417
gene-HB27c_C0705	62	68	32	30	79	45	41	27	39	14	host	gene-HB27c_C0705	None	None	12.496733410718598
gene-HB27c_C0822	82	149	45	48	158	95	65	62	79	59	host	gene-HB27c_C0822	None	None	10.577970471817558
gene-HB27c_C1186	105	124	53	56	74	55	44	38	38	18	host	gene-HB27c_C1186	None	None	41.467508977822774
gene-HB27c_C0611	60	78	30	18	71	41	20	27	19	14	host	gene-HB27c_C0611	None	None	9.609715609593534
gene-HB27c_P0267	12	14	6	7	11	7	9	5	7	2	host	gene-HB27c_P0267	None	None	0.7988805412435417
gene-HB27c_C1666	145	226	74	78	168	125	93	74	154	109	host	gene-HB27c_C1666	None	None	13.086347532473319
gene-HB27c_C1903	81	108	44	57	96	58	51	43	48	32	host	gene-HB27c_C1903	None	None	4.941554576092974
gene-HB27c_C2040	40	66	34	33	47	34	13	14	20	12	host	gene-HB27c_C2040	None	None	14.955179432288938
gene-HB27c_C1132	133	193	86	110	136	116	86	60	81	43	host	gene-HB27c_C1132	None	None	29.000537698125292
gene-HB27c_C0893	34	39	23	25	43	46	27	27	23	25	host	gene-HB27c_C0893	None	None	18.42438932437891
gene-HB27c_C2046	132	209	75	84	165	103	75	47	93	44	host	gene-HB27c_C2046	None	None	10.167846981735856
gene-HB27c_C0443	514	780	264	321	584	433	326	243	313	207	host	gene-HB27c_C0443	None	None	18.205024581034554
gene-HB27c_C1223	28	42	18	15	37	31	18	6	15	8	host	gene-HB27c_C1223	None	None	5.252191892970571
gene-HB27c_C1987	30	41	17	17	55	12	27	17	22	16	host	gene-HB27c_C1987	None	None	4.536994126026377
gene-HB27c_C0028	139	223	79	100	155	115	72	54	69	30	host	lptD_1	None	None	6.650158435333205
gene-HB27c_C0742	98	169	42	54	90	62	45	35	45	27	host	gene-HB27c_C0742	None	None	11.345447853780794
gene-HB27c_C0805	161	226	88	100	186	151	90	65	95	44	host	gene-HB27c_C0805	None	None	5.317321456335547
gene-HB27c_C0649	34	60	12	14	52	21	24	17	28	22	host	gene-HB27c_C0649	None	None	4.6682481363037205
gene-HB27c_C1419	125	169	80	70	135	84	66	63	79	39	host	gene-HB27c_C1419	None	None	18.117715767575298
gene-HB27c_C1153	201	259	125	168	237	162	136	115	133	97	host	gene-HB27c_C1153	None	None	26.3729887841773
gene-HB27c_C1470	98	160	65	108	136	99	78	54	82	54	host	gene-HB27c_C1470	None	None	6.764088213856373
gene-HB27c_C1996	1116	1687	552	607	2017	847	2255	1471	1739	1172	host	gene-HB27c_C1996	None	None	22.757947565136494
gene-HB27c_C0047	109	165	74	74	170	107	89	54	69	49	host	gene-HB27c_C0047	None	None	12.927310046940349
gene-HB27c_C1181	46	55	28	23	46	35	15	13	22	12	host	gene-HB27c_C1181	None	None	7.169895370292989
gene-HB27c_P0150	44	81	13	16	54	38	16	14	16	18	host	gene-HB27c_P0150	None	None	9.1764447762467
gene-HB27c_C2004	85	119	59	54	88	60	53	27	41	19	host	gene-HB27c_C2004	None	None	8.998746430658052
gene-phiKo_12	5	5	39	57	250	190	11401	9000	56750	40075	phage	gene-phiKo_12	middle	late	32826.61872316884
gene-HB27c_P0149	53	66	6	16	52	41	32	25	17	15	host	gene-HB27c_P0149	None	None	9.756238858463755
gene-HB27c_C0246	88	177	68	79	108	88	70	37	81	59	host	gene-HB27c_C0246	None	None	7.618967516172771
gene-HB27c_C0571	25	56	28	26	48	30	26	24	20	15	host	gene-HB27c_C0571	None	None	5.016905207350209
gene-HB27c_C0582	134	243	53	63	180	131	81	61	77	66	host	gene-HB27c_C0582	None	None	15.305955323114905
gene-HB27c_C0865	111	150	37	41	154	105	60	68	30	40	host	gene-HB27c_C0865	None	None	15.516753286145974
gene-HB27c_C0941	446	635	339	259	531	416	274	229	217	113	host	gene-HB27c_C0941	None	None	141.52758346513912
gene-HB27c_P0113	10	11	7	7	13	10	5	3	3	3	host	gene-HB27c_P0113	None	None	4.121718086403366
gene-HB27c_C0755	172	260	110	152	236	156	132	94	113	61	host	gene-HB27c_C0755	None	None	12.588435206269326
gene-HB27c_C1523	117	208	96	94	139	104	92	57	69	42	host	gene-HB27c_C1523	None	None	10.194728792805824
gene-HB27c_P0206	38	50	19	21	65	30	59	44	50	21	host	gene-HB27c_P0206	None	None	8.00030849452607
gene-HB27c_C1134	57	64	17	12	47	29	17	14	25	20	host	gene-HB27c_C1134	None	None	4.303716042806585
gene-phiKo_16	0	3	14	7	169	113	4651	3529	14308	9579	phage	gene-phiKo_16	middle	late	7543.977411666082
gene-HB27c_C1795	529	712	195	284	901	474	470	318	721	525	host	gene-HB27c_C1795	None	None	60.18769482262627
gene-HB27c_C1879	73	113	23	34	62	51	36	27	36	32	host	gene-HB27c_C1879	None	None	11.642437835286962
gene-HB27c_C0388	65	76	41	36	64	49	35	35	29	24	host	gene-HB27c_C0388	None	None	5.270154069538745
gene-HB27c_C1372	38	69	13	24	69	27	32	14	33	30	host	gene-HB27c_C1372	None	None	10.161689877560358
gene-HB27c_C2021	131	174	88	106	146	118	65	75	76	55	host	gene-HB27c_C2021	None	None	10.974820650036346
gene-HB27c_P0163	12	15	2	4	18	4	6	3	10	0	host	gene-HB27c_P0163	None	None	6.581882072646365
gene-HB27c_C1905	73	109	47	46	85	53	51	31	44	29	host	gene-HB27c_C1905	None	None	5.123253241551084
gene-HB27c_P0088	33	43	13	23	28	24	11	12	12	13	host	gene-HB27c_P0088	None	None	2.662188759454193
gene-HB27c_C1635	31	75	22	16	46	29	27	21	21	18	host	gene-HB27c_C1635	None	None	9.531255655794066
gene-HB27c_C1104	156	231	90	142	266	176	114	72	132	64	host	gene-HB27c_C1104	None	None	18.48088628796142
gene-HB27c_P0223	9	12	7	3	12	6	0	2	1	0	host	gene-HB27c_P0223	None	None	2.672048486044421
gene-HB27c_C0280	26	41	27	28	68	47	38	36	25	21	host	gene-HB27c_C0280	None	None	33.960301910640624
gene-HB27c_C0368	236	397	98	98	306	219	178	114	231	154	host	gene-HB27c_C0368	None	None	11.888606800532985
gene-HB27c_C1312	148	184	62	63	168	93	67	55	85	57	host	gene-HB27c_C1312	None	None	19.413223467185652
gene-HB27c_C0716	133	243	86	81	168	110	103	67	75	53	host	gene-HB27c_C0716	None	None	10.90000814167377
gene-HB27c_C0841	21	44	17	9	34	22	10	13	16	9	host	gene-HB27c_C0841	None	None	4.038595665467613
gene-HB27c_C0104	126	171	62	75	140	93	67	46	65	33	host	gene-HB27c_C0104	None	None	11.106175307120589
gene-HB27c_C1627	35	56	18	21	40	21	29	19	27	14	host	gene-HB27c_C1627	None	None	6.525603747410892
gene-HB27c_C0038	293	491	245	287	369	300	190	170	186	127	host	gene-HB27c_C0038	None	None	26.352016173381493
gene-HB27c_C1363	175	266	80	95	277	152	140	83	216	144	host	gene-HB27c_C1363	None	None	41.08663821802385
gene-HB27c_C1660	233	343	146	178	243	170	124	93	129	79	host	gene-HB27c_C1660	None	None	33.668570614974506
gene-HB27c_C0871	23	36	17	9	48	24	13	18	25	14	host	gene-HB27c_C0871	None	None	3.2574977875651823
gene-HB27c_C0494	187	274	180	192	301	280	218	185	239	170	host	gene-HB27c_C0494	None	None	7.403671768825718
gene-HB27c_C0720	133	198	65	99	196	148	92	80	89	67	host	gene-HB27c_C0720	None	None	8.222218444710306
gene-HB27c_C2026	196	290	144	192	214	167	160	100	140	94	host	gene-HB27c_C2026	None	None	11.89375661003618
gene-HB27c_C0713	102	146	45	66	102	79	33	46	41	28	host	gene-HB27c_C0713	None	None	12.217930654158264
gene-HB27c_C0879	141	211	79	88	208	162	153	120	320	296	host	gene-HB27c_C0879	None	None	4.511373763846553
gene-HB27c_C0348	64	94	29	36	82	49	37	30	35	14	host	gene-HB27c_C0348	None	None	6.298761585541623
gene-HB27c_P0005	41	80	25	20	85	54	36	30	30	22	host	gene-HB27c_P0005	None	None	5.610715677810533
gene-HB27c_C0472	47	52	9	19	42	36	21	19	51	26	host	gene-HB27c_C0472	None	None	3.26555964718108
gene-HB27c_C1412	181	287	140	179	261	184	150	118	107	89	host	gene-HB27c_C1412	None	None	11.491974434927087
gene-HB27c_C1302	113	155	71	61	154	81	62	29	33	30	host	gene-HB27c_C1302	None	None	15.025862845542031
gene-HB27c_C0082	19	37	17	24	49	24	28	19	13	20	host	gene-HB27c_C0082	None	None	2.506452618968575
gene-HB27c_C1917	269	360	139	116	253	198	156	122	148	126	host	gene-HB27c_C1917	None	None	11.261306204925873
gene-HB27c_C1935	153	175	85	62	134	82	65	60	65	48	host	gene-HB27c_C1935	None	None	14.025785210274424
gene-HB27c_C1162	22	37	16	13	20	13	14	11	19	14	host	gene-HB27c_C1162	None	None	6.791933336953037
gene-HB27c_P0175	17	35	10	10	31	14	23	7	18	11	host	gene-HB27c_P0175	None	None	4.655902698711448
gene-HB27c_C0243	64	101	25	28	68	39	29	18	34	21	host	clcB_1	None	None	5.8378224445141305
gene-HB27c_C1174	24	35	17	20	32	15	17	5	15	6	host	gene-HB27c_C1174	None	None	1.1785511012607384
gene-HB27c_C0900	48	80	19	31	80	46	30	15	36	27	host	gene-HB27c_C0900	None	None	7.995800649525219
gene-HB27c_C1601	157	202	92	80	185	94	82	73	135	123	host	gene-HB27c_C1601	None	None	5.280223446478265
gene-HB27c_C0934	37	48	18	31	76	41	36	28	26	28	host	gene-HB27c_C0934	None	None	3.3279995381976355
gene-HB27c_C0801	457	658	185	253	593	420	363	237	361	246	host	gene-HB27c_C0801	None	None	15.554206282864993
gene-HB27c_P0272	38	59	25	25	38	41	27	29	10	6	host	gene-HB27c_P0272	None	None	1.5995818430107565
gene-HB27c_C0024	23	42	12	14	26	10	20	11	22	6	host	gene-HB27c_C0024	None	None	6.905307764916463
gene-HB27c_C0975	15	18	7	13	19	14	9	8	9	6	host	gene-HB27c_C0975	None	None	5.432588713403476
gene-HB27c_C0091	61	105	35	49	93	73	57	46	29	29	host	gene-HB27c_C0091	None	None	8.162724498705462
gene-HB27c_C0796	42	29	9	22	21	24	18	7	11	6	host	gene-HB27c_C0796	None	None	10.61498535753282
gene-HB27c_C1835	1375	1876	947	1071	2078	1686	1593	1619	1478	1233	host	gene-HB27c_C1835	None	None	100.6998601825827
gene-HB27c_C0037	163	200	71	61	128	98	63	38	59	38	host	gene-HB27c_C0037	None	None	19.278593321509636
gene-HB27c_C0342	21	31	11	15	22	18	13	5	11	6	host	gene-HB27c_C0342	None	None	2.9127484626498767
gene-HB27c_C1643	183	215	59	67	194	121	106	38	103	49	host	gene-HB27c_C1643	None	None	26.088395342229585
gene-HB27c_P0007	107	143	82	60	127	72	66	45	55	31	host	gene-HB27c_P0007	None	None	15.077255289563796
gene-HB27c_C1032	79	109	29	44	65	52	33	37	31	33	host	gene-HB27c_C1032	None	None	6.143082634458065
gene-HB27c_P0191	46	73	36	41	66	59	37	26	43	24	host	gene-HB27c_P0191	None	None	1.212958921459769
gene-HB27c_C0513	30	50	9	18	29	20	13	21	11	15	host	gene-HB27c_C0513	None	None	8.29192465533329
gene-HB27c_C1684	51	79	31	34	57	37	37	26	31	13	host	gene-HB27c_C1684	None	None	13.356803087934363
gene-HB27c_C1123	105	152	84	88	159	90	92	63	81	57	host	gene-HB27c_C1123	None	None	11.979024777868966
gene-HB27c_C1930	110	120	70	101	141	81	66	51	67	44	host	gene-HB27c_C1930	None	None	34.652023454115316
gene-HB27c_C1699	77	75	30	41	67	51	30	25	38	17	host	gene-HB27c_C1699	None	None	10.670846555128138
gene-HB27c_C1055	75	106	50	42	82	78	36	43	51	18	host	gene-HB27c_C1055	None	None	12.001577701264951
gene-HB27c_C1543	360	568	274	299	453	343	258	196	200	125	host	gene-HB27c_C1543	None	None	47.698141773030265
gene-HB27c_C1603	151	232	102	86	188	136	100	79	82	49	host	gene-HB27c_C1603	None	None	19.332864126885962
gene-HB27c_C0519	28	35	9	13	23	28	5	8	10	8	host	gene-HB27c_C0519	None	None	14.216945018155059
gene-HB27c_C0332	39	45	9	10	33	22	29	10	39	17	host	gene-HB27c_C0332	None	None	5.7903470580244125
gene-HB27c_P0260	30	35	8	4	21	11	5	6	19	13	host	gene-HB27c_P0260	None	None	3.6348340512668016
gene-HB27c_C0139	45	64	25	28	52	33	11	18	18	9	host	gene-HB27c_C0139	None	None	4.855182027257487
gene-HB27c_C1173	10	13	5	7	12	8	9	3	1	1	host	gene-HB27c_C1173	None	None	1.5558735246340034
gene-HB27c_C0463	47	84	37	35	55	47	28	20	25	16	host	gene-HB27c_C0463	None	None	10.014986550410617
gene-HB27c_C1059	31	54	12	30	46	26	21	20	13	14	host	gene-HB27c_C1059	None	None	10.486362211186085
gene-HB27c_P0169	6	6	0	2	7	4	3	1	2	2	host	gene-HB27c_P0169	None	None	0.5750820043427817
gene-HB27c_C0983	235	382	211	239	451	321	264	226	130	105	host	gene-HB27c_C0983	None	None	21.425399032843053
gene-HB27c_P0161	43	80	26	27	77	44	28	13	36	15	host	gene-HB27c_P0161	None	None	5.232330617693761
gene-HB27c_P0187	19	33	15	12	31	14	11	16	22	10	host	gene-HB27c_P0187	None	None	4.841373100640375
gene-HB27c_C1688	111	180	94	95	193	143	101	103	137	95	host	gene-HB27c_C1688	None	None	10.551245178050682
gene-HB27c_C0484	88	115	41	36	97	52	37	22	45	22	host	gene-HB27c_C0484	None	None	12.370511031038358
gene-HB27c_P0123	6	12	3	6	4	4	5	2	5	2	host	narG	None	None	0.22856866686214883
gene-HB27c_C0029	57	104	40	36	75	32	29	23	34	18	host	gene-HB27c_C0029	None	None	7.395441802775803
gene-HB27c_C1707	156	211	124	151	227	155	129	116	90	53	host	gene-HB27c_C1707	None	None	46.192058969934216
gene-HB27c_C0776	35	62	24	32	55	48	26	16	33	14	host	gene-HB27c_C0776	None	None	3.8352862506298053
gene-HB27c_C1435	86	121	73	56	111	77	45	54	73	42	host	gene-HB27c_C1435	None	None	22.681365677706225
gene-HB27c_C0979	94	145	53	71	119	87	79	44	61	29	host	tagO	None	None	7.654557891906948
gene-HB27c_C0621	14	22	26	17	38	22	19	9	17	12	host	gene-HB27c_C0621	None	None	1.4383668777828789
gene-HB27c_P0235	13	14	6	4	8	12	6	8	5	4	host	gene-HB27c_P0235	None	None	2.767402256323152
gene-HB27c_C0173	62	71	36	38	81	56	44	25	38	27	host	gene-HB27c_C0173	None	None	8.690180637672315
gene-HB27c_C1345	685	969	241	363	1058	616	569	398	801	514	host	gene-HB27c_C1345	None	None	34.711918688177974
gene-HB27c_C1929	82	111	39	53	108	60	56	44	45	38	host	gene-HB27c_C1929	None	None	10.880901572814537
gene-HB27c_C0930	142	241	66	80	203	115	76	47	60	55	host	gene-HB27c_C0930	None	None	16.22291691546975
gene-HB27c_C1036	69	111	37	54	87	51	39	33	28	28	host	lutC	None	None	13.08798824030916
gene-HB27c_C0911	14	32	9	22	22	21	5	7	6	5	host	gene-HB27c_C0911	None	None	23.405741009766206
gene-HB27c_C1551	96	180	57	94	167	103	76	65	65	56	host	gene-HB27c_C1551	None	None	15.220779366320938
gene-HB27c_P0227	5	20	6	3	8	3	3	3	8	2	host	gene-HB27c_P0227	None	None	2.9646919710010438
gene-HB27c_C1364	345	521	142	132	565	276	239	159	383	249	host	gene-HB27c_C1364	None	None	52.24455840403766
gene-HB27c_C0030	101	216	62	76	133	97	66	54	63	35	host	gene-HB27c_C0030	None	None	13.7113775049787
gene-HB27c_C0599	10	10	3	10	13	16	3	8	5	6	host	gene-HB27c_C0599	None	None	2.487491900459704
gene-HB27c_C1310	95	140	52	75	104	71	66	47	54	31	host	gene-HB27c_C1310	None	None	7.096931195242292
gene-HB27c_C0940	231	290	117	118	346	221	118	88	127	74	host	gene-HB27c_C0940	None	None	45.565270285967195
gene-HB27c_P0221	10	9	2	7	10	7	6	5	5	3	host	gene-HB27c_P0221	None	None	0.9128284671889786
gene-HB27c_C1275	83	126	61	45	102	62	51	37	55	28	host	gene-HB27c_C1275	None	None	19.833185493247818
gene-HB27c_C1451	101	108	53	53	98	86	38	47	34	20	host	gene-HB27c_C1451	None	None	7.862345967225303
gene-HB27c_P0212	25	35	15	2	12	17	8	6	13	7	host	gene-HB27c_P0212	None	None	7.7941016738180675
gene-HB27c_C0724	117	177	46	46	88	52	29	40	45	45	host	gene-HB27c_C0724	None	None	12.518407215479447
gene-HB27c_C1111	80	141	54	44	105	82	38	34	52	17	host	gene-HB27c_C1111	None	None	10.696566850788397
gene-HB27c_C1403	31	60	49	49	63	67	34	39	17	15	host	gene-HB27c_C1403	None	None	19.52282744517459
gene-HB27c_C0102	249	385	123	168	371	249	182	110	160	94	host	gene-HB27c_C0102	None	None	25.86397309587466
gene-HB27c_C0827	35	70	28	25	36	28	29	15	19	16	host	gene-HB27c_C0827	None	None	5.404936168152008
gene-HB27c_C1249	281	392	128	183	311	222	142	98	131	68	host	gene-HB27c_C1249	None	None	24.142951351677972
gene-HB27c_P0049	47	62	16	16	15	10	6	4	3	2	host	gene-HB27c_P0049	None	None	9.65384286037043
gene-HB27c_C1887	84	118	38	68	79	60	60	47	48	22	host	gene-HB27c_C1887	None	None	10.980033309458076
gene-HB27c_C1286	101	143	53	68	111	80	68	49	55	40	host	gene-HB27c_C1286	None	None	12.87599688115671
gene-HB27c_C2039	70	110	56	78	93	73	31	32	37	32	host	gene-HB27c_C2039	None	None	8.12708279135972
gene-HB27c_C1874	264	357	167	196	325	212	185	159	219	165	host	gene-HB27c_C1874	None	None	18.881127763533993
gene-HB27c_C1734	9	20	2	4	7	9	4	1	5	0	host	gene-HB27c_C1734	None	None	2.074344692295495
gene-HB27c_C1760	3508	537	175	231	415	317	221	159	195	142	host	gene-HB27c_C1760	None	None	1182.9226718618804
gene-HB27c_C0623	12	9	6	11	26	10	12	4	3	3	host	gene-HB27c_C0623	None	None	2.410207295325186
gene-HB27c_C0040	86	128	48	39	129	83	52	53	68	55	host	gene-HB27c_C0040	None	None	7.091416529902311
gene-HB27c_C0354	6	11	2	2	1	1	2	3	0	3	host	gene-HB27c_C0354	None	None	1.8733857417641768
gene-HB27c_C1114	99	156	52	49	116	86	61	44	90	50	host	gene-HB27c_C1114	None	None	10.202726934487172
gene-phiKo_13	13	14	51	88	861	770	40985	33541	184314	130752	phage	gene-phiKo_13	middle	late	38198.70060453851
gene-HB27c_C1469	185	252	153	195	229	196	143	133	116	78	host	gene-HB27c_C1469	None	None	8.260778090792405
gene-HB27c_C1609	117	200	69	90	162	101	73	49	68	46	host	gene-HB27c_C1609	None	None	10.24166467754583
gene-HB27c_C1504	90	144	38	35	118	61	51	41	78	38	host	gene-HB27c_C1504	None	None	22.17096883776071
gene-HB27c_C1661	158	196	117	175	246	161	142	90	150	85	host	gene-HB27c_C1661	None	None	14.947158460900225
gene-HB27c_C1772	90	139	50	58	109	87	37	38	39	17	host	gene-HB27c_C1772	None	None	12.527565537775203
gene-HB27c_C1869	143	185	84	81	161	90	70	57	80	44	host	gene-HB27c_C1869	None	None	27.181067202294596
gene-HB27c_C0391	161	218	116	66	109	98	67	64	67	33	host	gene-HB27c_C0391	None	None	17.8568286139624
gene-HB27c_C1512	81	153	46	77	120	95	68	49	33	16	host	gene-HB27c_C1512	None	None	17.264194806732277
gene-HB27c_C0562	78	85	52	28	55	37	44	41	57	50	host	gene-HB27c_C0562	None	None	3.7154104643793886
gene-HB27c_C0632	146	216	47	74	150	94	80	59	178	119	host	gene-HB27c_C0632	None	None	5.205008082142395
gene-HB27c_C0242	62	107	52	42	88	67	29	30	28	15	host	gene-HB27c_C0242	None	None	5.039412195360043
gene-HB27c_C0366	236	350	119	136	284	188	142	80	169	82	host	gene-HB27c_C0366	None	None	10.144074254463105
gene-HB27c_C1394	318	478	195	273	390	281	246	241	396	274	host	gene-HB27c_C1394	None	None	4.07539032193072
gene-HB27c_P0031	18	28	12	5	39	22	18	14	18	13	host	gene-HB27c_P0031	None	None	2.818125883472053
gene-HB27c_C0678	18	19	5	12	20	17	8	4	5	6	host	ybhR	None	None	8.231788778598835
gene-HB27c_C2042	82	106	55	67	92	79	55	35	38	24	host	gene-HB27c_C2042	None	None	5.789908636075033
gene-HB27c_C0304	140	152	149	168	190	164	132	110	78	46	host	gene-HB27c_C0304	None	None	10.064247376584142
gene-HB27c_C1579	103	221	60	64	162	111	66	62	82	46	host	gene-HB27c_C1579	None	None	16.09626854681542
gene-HB27c_C0020	174	257	130	171	231	142	126	91	103	78	host	gene-HB27c_C0020	None	None	19.133894971408573
gene-HB27c_P0157	32	39	10	10	17	11	9	8	4	6	host	gene-HB27c_P0157	None	None	5.546180794463773
gene-HB27c_C0324	15	20	5	9	9	15	5	1	1	5	host	gene-HB27c_C0324	None	None	5.366808499938044
gene-HB27c_C0598	16	25	13	5	24	15	18	6	9	9	host	gene-HB27c_C0598	None	None	2.856163843161989
gene-HB27c_C0667	55	81	34	26	42	47	25	19	21	15	host	gene-HB27c_C0667	None	None	2.9163512275723513
gene-HB27c_C1075	8	15	9	6	17	7	11	7	5	3	host	gene-HB27c_C1075	None	None	11.003065243162178
gene-HB27c_C0947	87	99	54	67	95	64	35	28	43	26	host	gene-HB27c_C0947	None	None	12.289820513328477
gene-HB27c_C1053	401	620	299	408	513	404	290	226	269	173	host	gene-HB27c_C1053	None	None	13.936005875023888
gene-HB27c_C1946	53	93	28	34	86	58	48	34	27	29	host	gene-HB27c_C1946	None	None	7.526041177338732
gene-HB27c_C1827	104	144	56	50	109	73	52	49	41	24	host	gene-HB27c_C1827	None	None	13.76259287992502
gene-HB27c_C0590	78	107	46	35	84	44	32	35	40	34	host	gene-HB27c_C0590	None	None	5.605429744669515
gene-HB27c_C1116	104	143	63	63	142	100	86	35	94	64	host	gene-HB27c_C1116	None	None	7.047380849895616
gene-HB27c_C0528	59	79	29	28	71	54	30	26	34	17	host	gene-HB27c_C0528	None	None	9.086423104066231
gene-HB27c_C1230	202	345	140	150	242	184	148	101	119	78	host	gene-HB27c_C1230	None	None	11.236029068991101
gene-HB27c_P0105	8	21	6	10	17	14	7	3	6	6	host	gene-HB27c_P0105	None	None	1.2270249620844793
gene-HB27c_P0165	34	68	25	30	52	37	29	36	31	19	host	gene-HB27c_P0165	None	None	4.327902394690128
gene-HB27c_C1128	824	1231	588	569	945	775	623	669	601	450	host	gene-HB27c_C1128	None	None	93.88475839222811
gene-HB27c_C1790	406	583	308	199	398	318	233	278	310	216	host	gene-HB27c_C1790	None	None	313.26029111056914
gene-HB27c_C0467	40	44	32	36	49	44	34	47	51	33	host	gene-HB27c_C0467	None	None	1.1703450130413795
gene-HB27c_C0729	146	168	55	50	293	158	109	79	101	82	host	gene-HB27c_C0729	None	None	15.660878252887933
gene-HB27c_C1572	10821	16264	4276	5794	12017	7742	8175	4896	11975	8081	host	gene-HB27c_C1572	None	None	234.05506160181562
gene-HB27c_C0381	99	181	45	47	115	65	75	36	32	28	host	gene-HB27c_C0381	None	None	17.123030047499892
gene-HB27c_C0504	38	62	23	15	44	36	30	48	20	19	host	gene-HB27c_C0504	None	None	34.66737674921397
gene-HB27c_C0987	10	19	12	3	14	6	4	1	2	0	host	gene-HB27c_C0987	None	None	4.910362266518625
